"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",0.914805149986783,0.457795125581013,1.82804144404164,0.800966829755783,"Dx Status: Case"
"2","Country: USA",0.50441731606467,0.218807882181791,1.16283209822621,0.10828522546858,"Country: USA"
"3","Sex:Male",2.2093596740473,1.04853957980751,4.65530368458052,0.0371047435849332,"Sex:Male"
"4","Delivery Mode: Vaginal",1.47639872892873,0.598597067849573,3.64143649185087,0.397634356977207,"Delivery Mode: Vaginal"
"5","month18",1.90290719575338,0.828568935499833,4.37025290293511,0.129353062744532,"month18"
"6","month24",1.10588678952577,0.420512395313161,2.9083223345577,0.838343751175513,"month24"
"7","month30",0.854521550315627,0.295287729369125,2.47286631758756,0.771829644689674,"month30"
"8","month36",0.320097314467059,0.062175148241505,1.64796214608178,0.173046540622855,"month36"
"9","month48",0.178263733222371,0.0197226912084884,1.61123845860852,0.124711669048714,"month48"
"10","month60",1.24953576306318e-07,0,Inf,0.993263896205485,"month60"
"11","month72",1.32543879583016e-08,0,Inf,0.998898608307143,"month72"
"12","month84",1.12659707262448e-08,0,Inf,0.998975479532847,"month84"
"13","month54",5.43952451197155e-09,0,Inf,0.999185637447673,"month54"
