"","Contig","total_PA"
"1","virus_comp_1212_cycle_1",306
"2","virus_comp_1340_cycle_1",306
"3","virus_comp_9975_cycle_1",305
"4","virus_comp_18378_cycle_1",304
"5","virus_comp_2001_cycle_1",303
"6","virus_comp_14513_cycle_1",303
"7","virus_comp_3318_cycle_1",302
"8","virus_comp_4769_cycle_1",302
"9","virus_comp_2455_cycle_1",301
"10","virus_comp_1854_cycle_1",299
"11","virus_comp_12981_cycle_1",295
"12","virus_comp_1028_cycle_1",289
"13","virus_comp_1952_cycle_1",289
"14","virus_comp_2813_cycle_1",288
"15","virus_comp_18126_cycle_1",285
"16","virus_comp_4430_cycle_1",283
"17","virus_comp_1099_cycle_1",279
"18","virus_comp_1904_cycle_1",272
"19","virus_comp_3899_cycle_1",260
"20","virus_comp_13555_cycle_1",260
"21","virus_comp_2244_cycle_1",236
"22","virus_comp_2756_cycle_1",221
"23","virus_comp_1392_cycle_1",209
"24","virus_comp_12489_cycle_1",208
"25","virus_comp_4017_cycle_1",187
"26","virus_comp_1087_cycle_1",152
"27","edge_1989",140
"28","virus_comp_1588_cycle_1",136
"29","virus_comp_36_cycle_2",135
"30","virus_comp_12_cycle_1",132
"31","edge_1631",129
"32","virus_comp_14504_cycle_1",127
"33","edge_2044",122
"34","virus_comp_733_cycle_1",121
"35","edge_16",115
"36","edge_72",114
"37","virus_comp_62_cycle_1",112
"38","virus_comp_853_cycle_1",111
"39","virus_comp_17783_cycle_1",111
"40","virus_comp_17874_cycle_1",109
"41","virus_comp_14847_cycle_1",107
"42","edge_3739",107
"43","virus_comp_69_cycle_1",106
"44","virus_comp_5117_cycle_1",103
"45","edge_1633",103
"46","virus_comp_729_cycle_1",102
"47","virus_comp_1354_cycle_1",102
"48","virus_comp_547_cycle_1",101
"49","virus_comp_11_cycle_1",100
"50","virus_comp_34_cycle_1",96
"51","edge_187",96
"52","virus_comp_720_cycle_1",95
"53","virus_comp_2552_cycle_1",92
"54","edge_1468",92
"55","virus_comp_42_cycle_1",91
"56","virus_comp_887_cycle_1",90
"57","edge_329",89
"58","virus_comp_103_cycle_1",88
"59","virus_comp_1898_cycle_1",88
"60","edge_1980",87
"61","virus_comp_18003_cycle_1",86
"62","virus_comp_5552_cycle_1",85
"63","virus_comp_14463_cycle_1",85
"64","virus_comp_17846_cycle_1",85
"65","edge_1987",85
"66","edge_311",84
"67","virus_comp_250_cycle_1",83
"68","virus_comp_301_cycle_1",83
"69","virus_comp_1027_cycle_1",83
"70","virus_comp_4094_cycle_1",83
"71","virus_comp_7998_cycle_1",83
"72","virus_comp_391_cycle_1",82
"73","virus_comp_2551_cycle_1",82
"74","virus_comp_17862_cycle_1",82
"75","edge_959",82
"76","virus_comp_490_cycle_1",81
"77","virus_comp_1006_cycle_1",81
"78","virus_comp_1470_cycle_1",81
"79","virus_comp_18116_cycle_1",81
"80","virus_comp_634_cycle_1",80
"81","virus_comp_6161_cycle_1",80
"82","virus_comp_8200_cycle_1",80
"83","virus_comp_13180_cycle_1",80
"84","virus_comp_16559_cycle_1",80
"85","virus_comp_18123_cycle_1",80
"86","edge_1476",80
"87","virus_comp_60_cycle_1",79
"88","virus_comp_3085_cycle_1",79
"89","virus_comp_17772_cycle_1",79
"90","virus_comp_464_cycle_1",78
"91","virus_comp_475_cycle_1",78
"92","virus_comp_4028_cycle_1",78
"93","virus_comp_7129_cycle_1",78
"94","edge_75",78
"95","edge_2486",78
"96","virus_comp_3063_cycle_1",77
"97","virus_comp_17778_cycle_1",77
"98","virus_comp_17794_cycle_1",77
"99","virus_comp_18362_cycle_1",77
"100","edge_61",77
"101","virus_comp_722_cycle_1",76
"102","virus_comp_1480_cycle_1",76
"103","virus_comp_17840_cycle_1",76
"104","edge_4",76
"105","virus_comp_1188_cycle_1",75
"106","virus_comp_1692_cycle_1",75
"107","virus_comp_17832_cycle_1",75
"108","virus_comp_1364_cycle_1",74
"109","virus_comp_15228_cycle_1",74
"110","virus_comp_99_cycle_1",73
"111","virus_comp_1098_cycle_1",73
"112","edge_48754",73
"113","edge_1907",73
"114","virus_comp_104_cycle_1",72
"115","virus_comp_230_cycle_1",72
"116","virus_comp_636_cycle_1",72
"117","virus_comp_8074_cycle_1",72
"118","virus_comp_18128_cycle_1",72
"119","virus_comp_29_cycle_1",71
"120","virus_comp_1611_cycle_1",71
"121","virus_comp_17776_cycle_1",71
"122","virus_comp_17838_cycle_1",71
"123","edge_1979",71
"124","virus_comp_952_cycle_1",70
"125","virus_comp_1171_cycle_1",70
"126","virus_comp_2188_cycle_1",70
"127","virus_comp_12691_cycle_1",70
"128","virus_comp_18037_cycle_1",70
"129","virus_comp_54_cycle_1",69
"130","virus_comp_67_cycle_1",69
"131","virus_comp_609_cycle_1",69
"132","virus_comp_708_cycle_1",69
"133","virus_comp_862_cycle_1",69
"134","virus_comp_2885_cycle_1",69
"135","virus_comp_17860_cycle_1",69
"136","virus_comp_18004_cycle_1",69
"137","virus_comp_18020_cycle_1",69
"138","edge_2461",69
"139","edge_1782",69
"140","virus_comp_2283_cycle_1",68
"141","virus_comp_14666_cycle_1",68
"142","edge_192",68
"143","virus_comp_716_cycle_1",67
"144","virus_comp_1444_cycle_1",67
"145","virus_comp_2273_cycle_1",67
"146","virus_comp_17985_cycle_1",67
"147","virus_comp_18120_cycle_1",67
"148","virus_comp_18459_cycle_1",67
"149","edge_295",67
"150","virus_comp_37_cycle_1",66
"151","virus_comp_17797_cycle_1",66
"152","virus_comp_465_cycle_1",65
"153","virus_comp_18131_cycle_1",65
"154","edge_330",65
"155","edge_2484",65
"156","virus_comp_105_cycle_1",64
"157","virus_comp_330_cycle_1",64
"158","virus_comp_984_cycle_1",64
"159","virus_comp_1173_cycle_1",64
"160","virus_comp_2465_cycle_1",64
"161","virus_comp_2554_cycle_1",64
"162","virus_comp_17817_cycle_1",64
"163","edge_3513",64
"164","edge_1512",64
"165","edge_1594",64
"166","virus_comp_155_cycle_1",63
"167","virus_comp_505_cycle_1",63
"168","virus_comp_542_cycle_2",63
"169","virus_comp_551_cycle_1",63
"170","virus_comp_719_cycle_1",63
"171","virus_comp_2171_cycle_1",63
"172","virus_comp_2223_cycle_1",63
"173","virus_comp_2265_cycle_1",63
"174","virus_comp_2276_cycle_1",63
"175","virus_comp_2332_cycle_1",63
"176","virus_comp_2814_cycle_1",63
"177","virus_comp_2928_cycle_1",63
"178","virus_comp_3200_cycle_1",63
"179","virus_comp_4406_cycle_1",63
"180","edge_1474",63
"181","virus_comp_757_cycle_1",62
"182","virus_comp_858_cycle_1",62
"183","virus_comp_2239_cycle_1",62
"184","virus_comp_2324_cycle_1",62
"185","virus_comp_2844_cycle_1",62
"186","virus_comp_17169_cycle_1",62
"187","virus_comp_17889_cycle_1",62
"188","edge_1291",62
"189","virus_comp_448_cycle_1",61
"190","virus_comp_1727_cycle_1",61
"191","virus_comp_1845_cycle_1",61
"192","virus_comp_2170_cycle_1",61
"193","virus_comp_2251_cycle_1",61
"194","virus_comp_2266_cycle_1",61
"195","virus_comp_3236_cycle_1",61
"196","virus_comp_4826_cycle_1",61
"197","virus_comp_17798_cycle_1",61
"198","virus_comp_17849_cycle_1",61
"199","virus_comp_17906_cycle_1",61
"200","virus_comp_17910_cycle_1",61
"201","edge_2063",61
"202","virus_comp_88_cycle_1",60
"203","virus_comp_95_cycle_1",60
"204","virus_comp_718_cycle_1",60
"205","virus_comp_2204_cycle_1",60
"206","virus_comp_2334_cycle_1",60
"207","virus_comp_2375_cycle_1",60
"208","virus_comp_6408_cycle_1",60
"209","virus_comp_7041_cycle_1",60
"210","virus_comp_8676_cycle_1",60
"211","virus_comp_15056_cycle_1",60
"212","edge_2194",60
"213","virus_comp_285_cycle_1",59
"214","virus_comp_1676_cycle_1",59
"215","virus_comp_1925_cycle_1",59
"216","virus_comp_3003_cycle_1",59
"217","virus_comp_17945_cycle_1",59
"218","virus_comp_73_cycle_1",58
"219","virus_comp_753_cycle_1",58
"220","virus_comp_1073_cycle_1",58
"221","virus_comp_2216_cycle_1",58
"222","virus_comp_2237_cycle_1",58
"223","virus_comp_2264_cycle_1",58
"224","virus_comp_2650_cycle_1",58
"225","virus_comp_3295_cycle_1",58
"226","virus_comp_17777_cycle_1",58
"227","virus_comp_18040_cycle_1",58
"228","edge_1641",58
"229","edge_1986",58
"230","virus_comp_229_cycle_1",57
"231","virus_comp_845_cycle_1",57
"232","virus_comp_2269_cycle_1",57
"233","virus_comp_2397_cycle_1",57
"234","virus_comp_2431_cycle_1",57
"235","virus_comp_2597_cycle_1",57
"236","virus_comp_17712_cycle_1",57
"237","virus_comp_17869_cycle_1",57
"238","virus_comp_18153_cycle_1",57
"239","edge_1627",57
"240","virus_comp_971_cycle_1",56
"241","virus_comp_1149_cycle_1",56
"242","virus_comp_2277_cycle_1",56
"243","virus_comp_2365_cycle_1",56
"244","virus_comp_2679_cycle_1",56
"245","virus_comp_3747_cycle_1",56
"246","virus_comp_5098_cycle_1",56
"247","edge_48755",56
"248","virus_comp_357_cycle_1",55
"249","virus_comp_426_cycle_1",55
"250","virus_comp_714_cycle_1",55
"251","virus_comp_2254_cycle_1",55
"252","virus_comp_2263_cycle_1",55
"253","virus_comp_2290_cycle_1",55
"254","virus_comp_2304_cycle_1",55
"255","virus_comp_2319_cycle_1",55
"256","virus_comp_2489_cycle_1",55
"257","virus_comp_2731_cycle_1",55
"258","virus_comp_2864_cycle_1",55
"259","virus_comp_17870_cycle_1",55
"260","virus_comp_18052_cycle_1",55
"261","virus_comp_1058_cycle_1",54
"262","virus_comp_2399_cycle_1",54
"263","virus_comp_4215_cycle_1",54
"264","virus_comp_17907_cycle_1",54
"265","virus_comp_18138_cycle_1",54
"266","virus_comp_18294_cycle_1",54
"267","virus_comp_1118_cycle_1",53
"268","virus_comp_1933_cycle_1",53
"269","virus_comp_2176_cycle_1",53
"270","virus_comp_17806_cycle_1",53
"271","virus_comp_17851_cycle_1",53
"272","virus_comp_432_cycle_1",52
"273","virus_comp_2384_cycle_1",52
"274","virus_comp_2432_cycle_1",52
"275","virus_comp_3136_cycle_1",52
"276","virus_comp_4351_cycle_1",52
"277","virus_comp_11007_cycle_1",52
"278","virus_comp_17919_cycle_1",52
"279","virus_comp_17935_cycle_1",52
"280","virus_comp_17965_cycle_1",52
"281","virus_comp_18028_cycle_1",52
"282","edge_294",52
"283","edge_303",52
"284","edge_1515",52
"285","virus_comp_10_cycle_1",51
"286","virus_comp_491_cycle_1",51
"287","virus_comp_590_cycle_2",51
"288","virus_comp_752_cycle_1",51
"289","virus_comp_1518_cycle_1",51
"290","virus_comp_1597_cycle_1",51
"291","virus_comp_1638_cycle_1",51
"292","virus_comp_2268_cycle_1",51
"293","virus_comp_2402_cycle_1",51
"294","virus_comp_3359_cycle_1",51
"295","virus_comp_17787_cycle_1",51
"296","virus_comp_18174_cycle_1",51
"297","virus_comp_18176_cycle_1",51
"298","edge_48622",51
"299","edge_1896",51
"300","edge_1990",51
"301","virus_comp_424_cycle_1",50
"302","virus_comp_589_cycle_1",50
"303","virus_comp_905_cycle_1",50
"304","virus_comp_1037_cycle_1",50
"305","virus_comp_1236_cycle_1",50
"306","virus_comp_2440_cycle_1",50
"307","virus_comp_2506_cycle_1",50
"308","virus_comp_2532_cycle_1",50
"309","virus_comp_3404_cycle_1",50
"310","virus_comp_3744_cycle_1",50
"311","virus_comp_9222_cycle_1",50
"312","virus_comp_17782_cycle_1",50
"313","virus_comp_18354_cycle_1",50
"314","edge_1496",50
"315","virus_comp_257_cycle_1",49
"316","virus_comp_280_cycle_1",49
"317","virus_comp_861_cycle_1",49
"318","virus_comp_911_cycle_1",49
"319","virus_comp_1103_cycle_1",49
"320","virus_comp_1740_cycle_1",49
"321","virus_comp_2391_cycle_1",49
"322","virus_comp_2496_cycle_1",49
"323","virus_comp_3026_cycle_1",49
"324","virus_comp_3877_cycle_1",49
"325","virus_comp_3984_cycle_1",49
"326","virus_comp_4360_cycle_1",49
"327","virus_comp_17785_cycle_1",49
"328","edge_1495",49
"329","edge_965",49
"330","virus_comp_197_cycle_1",48
"331","virus_comp_493_cycle_1",48
"332","virus_comp_872_cycle_1",48
"333","virus_comp_1007_cycle_1",48
"334","virus_comp_1706_cycle_1",48
"335","virus_comp_2191_cycle_1",48
"336","virus_comp_2838_cycle_1",48
"337","virus_comp_5420_cycle_1",48
"338","virus_comp_17843_cycle_1",48
"339","virus_comp_17857_cycle_1",48
"340","virus_comp_17909_cycle_1",48
"341","virus_comp_17934_cycle_1",48
"342","virus_comp_18480_cycle_1",48
"343","edge_1877",48
"344","edge_1957",48
"345","virus_comp_155_cycle_2",47
"346","virus_comp_407_cycle_1",47
"347","virus_comp_1102_cycle_1",47
"348","virus_comp_1416_cycle_1",47
"349","virus_comp_1556_cycle_1",47
"350","virus_comp_2338_cycle_1",47
"351","virus_comp_2340_cycle_1",47
"352","virus_comp_2344_cycle_1",47
"353","virus_comp_2387_cycle_1",47
"354","virus_comp_2413_cycle_1",47
"355","virus_comp_2530_cycle_1",47
"356","virus_comp_2969_cycle_1",47
"357","virus_comp_3620_cycle_1",47
"358","virus_comp_5297_cycle_1",47
"359","virus_comp_5634_cycle_1",47
"360","virus_comp_5946_cycle_1",47
"361","virus_comp_6559_cycle_1",47
"362","virus_comp_10516_cycle_1",47
"363","virus_comp_17871_cycle_1",47
"364","virus_comp_17966_cycle_1",47
"365","virus_comp_238_cycle_1",46
"366","virus_comp_305_cycle_1",46
"367","virus_comp_998_cycle_1",46
"368","virus_comp_1054_cycle_1",46
"369","virus_comp_1174_cycle_1",46
"370","virus_comp_1176_cycle_1",46
"371","virus_comp_1589_cycle_1",46
"372","virus_comp_1935_cycle_1",46
"373","virus_comp_2285_cycle_1",46
"374","virus_comp_2376_cycle_1",46
"375","virus_comp_2484_cycle_1",46
"376","virus_comp_2486_cycle_1",46
"377","virus_comp_3235_cycle_1",46
"378","virus_comp_3528_cycle_1",46
"379","virus_comp_3850_cycle_1",46
"380","virus_comp_4108_cycle_1",46
"381","virus_comp_5225_cycle_1",46
"382","virus_comp_5629_cycle_1",46
"383","virus_comp_17047_cycle_1",46
"384","virus_comp_17792_cycle_1",46
"385","virus_comp_18162_cycle_1",46
"386","edge_48666",46
"387","edge_48967",46
"388","virus_comp_150_cycle_1",45
"389","virus_comp_332_cycle_1",45
"390","virus_comp_613_cycle_1",45
"391","virus_comp_1272_cycle_1",45
"392","virus_comp_1415_cycle_1",45
"393","virus_comp_2042_cycle_1",45
"394","virus_comp_2721_cycle_1",45
"395","virus_comp_3029_cycle_1",45
"396","virus_comp_3621_cycle_1",45
"397","virus_comp_3658_cycle_1",45
"398","virus_comp_4195_cycle_1",45
"399","virus_comp_17138_cycle_1",45
"400","virus_comp_17810_cycle_1",45
"401","virus_comp_17881_cycle_1",45
"402","virus_comp_18095_cycle_1",45
"403","virus_comp_18133_cycle_1",45
"404","virus_comp_18364_cycle_1",45
"405","edge_1329",45
