"vertebrate_contig_id","term","estimate","std.error","statistic","p.value","p.adj","conf.low","conf.high","OR","source"
"contig_1","TP (CONTROL): (t0-12) vs t0",-8.22229187517723,NA,NA,NA,NA,NA,NA,0.0002685987640931,"model_or_emmeans"
"contig_1","TP (CONTROL): (t0-18) vs t0",-39.2234163861552,NA,NA,NA,NA,NA,NA,9.23605907591106e-18,"model_or_emmeans"
"contig_1","TP (CONTROL): (t0-24) vs t0",-54.9526609312702,NA,NA,NA,NA,NA,NA,1.36258182471251e-24,"model_or_emmeans"
"contig_1","TP (CONTROL): (t0-30) vs t0",-19.7479981762229,NA,NA,NA,NA,NA,NA,2.65187691929276e-09,"model_or_emmeans"
"contig_1","TP (CONTROL): (t0-36) vs t0",-3.98752792202841,NA,NA,NA,NA,NA,NA,0.0185455034296288,"model_or_emmeans"
"contig_1","TP (CONTROL): (t0-6) vs t0",-38.6647490189439,NA,NA,NA,NA,NA,NA,1.61477812277028e-17,"model_or_emmeans"
"contig_1","TP (CONTROL): (t0-over42) vs t0",-3.49098996172414,NA,NA,NA,NA,NA,NA,0.030470692416081,"model_or_emmeans"
"contig_10","(Intercept)",-1.72342649073301,2.43936616421534,-0.70650586042189,0.479873609538351,0.703930960319166,-6.50449631770069,3.05764333623468,NA,"model_or_emmeans"
"contig_10","Age.at.Gluten.Introduction..months.",0.042421727234644,0.162245607246526,0.261466106568825,0.793733083675705,0.902457513964993,-0.275573819618379,0.360417274087666,NA,"model_or_emmeans"
"contig_10","CONTROL vs CELIAC @ t0",2.24406455335045,1.54420545399733,-1.45321631104298,0.146163704795598,0.999995281952802,NA,NA,9.43158868053714,"between_groups"
"contig_10","CONTROL vs CELIAC @ t0-12",1.48200823829802,1.8287611947879,-0.810389154429703,0.417716549237476,0.7889135695294,NA,NA,4.40177662703044,"between_groups"
"contig_10","CONTROL vs CELIAC @ t0-18",-0.384444476702586,1.943645233516,0.197795600798576,0.843204988230235,0.999999864139361,NA,NA,0.680828747400805,"between_groups"
"contig_10","CONTROL vs CELIAC @ t0-24",-2.18507545898703,2.02212219957785,1.08058526801357,0.279881638602021,0.999999469035034,NA,NA,0.112469246518664,"between_groups"
"contig_10","CONTROL vs CELIAC @ t0-30",-1.04525194101681,2.54702156954856,0.410382053106078,0.681525709353766,0.999999461805229,NA,NA,0.351603224944245,"between_groups"
"contig_10","CONTROL vs CELIAC @ t0-36",-1.90549369306131,2.48066924937621,0.768136942698211,0.442405831168315,0.999999986758816,NA,NA,0.148749188049611,"between_groups"
"contig_10","CONTROL vs CELIAC @ t0-6",2.28748342752133,2.22488328078531,-1.0281363733894,0.303885682880507,0.999999587591978,NA,NA,9.85011792822863,"between_groups"
