Contig,US,Italy,filtered
contig_48716,NO,YES,NO
contig_2664,YES,YES,NO
contig_2451,NO,YES,NO
contig_2453,NO,YES,NO
contig_48715,NO,YES,NO
contig_13045,NO,YES,NO
contig_2450,NO,YES,NO
contig_2464,YES,YES,NO
contig_33906,YES,NO,NO
contig_2452,NO,YES,NO
contig_5040,NO,YES,NO
contig_8600,NO,YES,NO
contig_7385,NO,YES,NO
contig_48956,NO,YES,NO
