contigID	evalue	pident	fident	nident	mismatch	qcov	tcov	qstart	qend	qlen	tstart	tend	tlen	alnlen	bits	target	kingdom	phylum	class	order	family	genus	species
contig_7353	0.00E+00	98.9	0.989	0	30	0.999	0.382	4	2744	2744	832	3572	7173	2741	4773	tid|122928|MK956174.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_37552	0.00E+00	96.9	0.969	0	35	1	0.149	1114	1	1114	3572	4685	7457	1114	1845	tid|122929|MH260509.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_6302	0.00E+00	95.8	0.958	0	128	0.991	0.407	1	3059	3086	4108	7165	7506	3059	4905	tid|122929|MK588004.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_3246	0.00E+00	98.8	0.988	0	88	0.995	0.972	15	7345	7365	168	7498	7545	7331	12768	tid|1682363|LC066046.2	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_48995	0.00E+00	97.7	0.977	0	113	1	0.668	4933	1	4933	121	5053	7388	4933	8333	tid|1398550|MG012437.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus
contig_48991	0.00E+00	98.8	0.988	0	84	0.995	0.947	33	7070	7070	1	7038	7428	7038	12257	tid|1398550|MG012438.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus
contig_3242	0.00E+00	99.4	0.994	0	44	0.991	0.992	1	7315	7382	61	7375	7375	7315	12914	tid|1398549|MG012411.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus
contig_11605	0.00E+00	94.7	0.947	0	106	0.982	0.266	1	2003	2039	4207	6209	7543	2003	3115	tid|1529923|KJ196295.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_3640	0.00E+00	96.4	0.964	0	221	0.995	0.814	19	6154	6166	1390	7525	7541	6136	10009	tid|122929|MN248514.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_4341	0.00E+00	95.2	0.952	0	223	0.995	0.624	9	4660	4674	2656	7307	7458	4652	7337	tid|234601|HV042517.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus
contig_3213	0.00E+00	97.4	0.974	0	27	0.967	0.136	1	1022	1057	6399	7419	7499	1022	1712	tid|1398550|MN102402.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus
contig_22772	0.00E+00	96.3	0.963	0	51	0.979	0.184	12	1401	1420	1	1390	7550	1390	2263	tid|122929|MH218640.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_5160	0.00E+00	98.5	0.985	0	55	0.994	0.517	3704	17	3710	3446	7133	7134	3688	6367	tid|122928|MK956173.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_3210	0.00E+00	97.6	0.976	0	121	0.989	0.684	56	5107	5107	1	5052	7388	5052	8524	tid|1398550|MG012437.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus
contig_3270	0.00E+00	99.2	0.992	0	58	0.999	0.96	7260	5	7260	204	7459	7557	7256	12755	tid|122929|MT755733.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_9439	0.00E+00	96.5	0.965	0	81	0.999	0.305	3	2306	2306	1300	3602	7547	2304	3767	tid|122929|KY887603.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_3231	0.00E+00	96.2	0.962	0	282	1	0.994	7420	1	7420	37	7455	7463	7420	12042	tid|1398548|MG012406.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus
contig_3211	0.00E+00	98.8	0.988	0	16	1	0.184	1	1350	1350	5022	6371	7346	1350	2353	tid|1398550|MG012400.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus
contig_30594	0.00E+00	97.3	0.973	0	33	1	0.753	1230	1	1230	301	1530	1633	1230	2057	tid|122929|MH469188.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_14281	0.00E+00	94.4	0.944	0	101	1	0.24	1	1811	1811	1852	3662	7543	1811	2794	tid|1529923|KJ196295.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_7879	0.00E+00	96	0.96	0	104	0.996	0.346	2609	12	2609	1258	3855	7506	2598	4195	tid|122929|MK588004.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus
contig_3212	0.00E+00	97.5	0.975	0	26	0.974	0.136	1	1022	1049	6399	7420	7499	1022	1721	tid|1398550|MN102402.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus
contig_9179	0.00E+00	95.4	0.954	0	103	0.957	0.3	2245	1	2345	455	2699	7483	2245	3567	tid|1398549|MN102401.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus
