query_id	query_length	hit_accession	hit_description	hit_length	e_value	identity	align_length	percent_identity	coverage	query_start	query_end	subject_start	subject_end	strand	Species	mapping_completeness
contig_11605	2039	OP205528	Norovirus GII isolate RIVM-NOV-2016-0195_R01-02 nonstructural polyprotein (ORF1) gene, partial cds; and VP1 (ORF2) and VP2 (ORF3) genes, complete cds	7465	0.0	1976	2003	98.65	98.23	1	2003	4198	6200	plus	Norovirus GII	complete cds
contig_14281	1811	OP205528	Norovirus GII isolate RIVM-NOV-2016-0195_R01-02 nonstructural polyprotein (ORF1) gene, partial cds; and VP1 (ORF2) and VP2 (ORF3) genes, complete cds	7465	0.0	1798	1811	99.28	100.0	1	1811	1843	3653	plus	Norovirus GII	complete cds
contig_22772	1420	OP901692	Norovirus GII isolate GII/Hu/RU/2022/GII.6[P7]/Nizhny_Novgorod496, complete genome	7587	0.0	1371	1390	98.63	97.89	12	1401	1	1390	plus	Norovirus GII	complete genome
contig_30594	1230	PP658559	Norovirus GII isolate PBH23425-STN nonstructural polyprotein (ORF1), VP1 (ORF2), and VP2 (ORF3) genes, complete cds	7526	0.0	1217	1230	98.94	100.0	1	1230	6574	5345	minus	Norovirus GII	complete cds
contig_3210	5107	LC504312	Sapovirus GI Hu/GI.1/JPN/2013/EH-33 genomic RNA, complete genome	7429	0.0	4958	5060	97.98	99.08	48	5107	1	5060	plus	Sapovirus GI Hu/GI.1/JPN/2013/EH-33	complete genome
contig_3211	1350	LC549544	Sapovirus GI.1 SaV/Hu/13699/JPN/2015 genes for polyprotein, hypothetical protein, minor structural protein, partial and complete cds	2871	0.0	1342	1350	99.41	100.0	1	1350	489	1838	plus	Sapovirus GI.1 SaV/Hu/13699/JPN/2015	complete cds
contig_3212	1049	LC549544	Sapovirus GI.1 SaV/Hu/13699/JPN/2015 genes for polyprotein, hypothetical protein, minor structural protein, partial and complete cds	2871	0.0	1007	1022	98.53	97.43	1	1022	1839	2860	plus	Sapovirus GI.1 SaV/Hu/13699/JPN/2015	complete cds
contig_3213	1057	LC549544	Sapovirus GI.1 SaV/Hu/13699/JPN/2015 genes for polyprotein, hypothetical protein, minor structural protein, partial and complete cds	2871	0.0	1003	1018	98.53	96.31	2	1019	1840	2857	plus	Sapovirus GI.1 SaV/Hu/13699/JPN/2015	complete cds
contig_3231	7420	LC816488	Sapovirus GII.1 Hu/JPN/GII.1/2013/Mie-205 RNA, complete genome	7479	0.0	7200	7420	97.04	100.0	1	7420	7469	50	minus	Sapovirus GII.1 Hu/JPN/GII.1/2013/Mie-205 RNA	complete genome
contig_3242	7382	MG012411	Sapovirus GII.2 strain Hu/US/2016/GII.2/Nashville9331 ORF1 polyprotein gene, partial cds; and ORF2 protein gene, complete cds	7375	0.0	7272	7315	99.41	99.09	1	7315	61	7375	plus	Sapovirus GII.2	complete cds
