"Metric","Value"
"Total ORFs in dataset",3909
"ALL significant ORFs",2966
"ALL non-significant ORFs",943
"Significant ORFs analyzed",2966
"Non-significant ORFs analyzed",943
"Significant: Mean inter-timepoint correlation",0.273
"Non-significant: Mean inter-timepoint correlation",0.292
"Significant: Consistency score",0.925
"Non-significant: Consistency score",0.901
"Significant: Mean pattern correlation",0.918
"Non-significant: Mean pattern correlation",0.885
"Significant: High variance outliers",149
"Non-significant: High variance outliers",48
"Significant: Low correlation outliers",149
"Non-significant: Low correlation outliers",48
