"","T-72","T-66","T-60","T-54","T-48","T-42","T-36","T-30","T-24","T-18","T-12","T-6","T0"
"virus_comp_2089_cycle_1_3",1.46864050668669,2.19564244322871,2.92264437977074,3.64964631631277,-0.981245592804396,-2.49451207033125,-0.442994948912523,-0.856656116888931,0.93306777609956,0.341472974164501,2.15795622239989,1.27173678473844,3.47641021682664
"edge_1627_29",0.157348195227224,0.80551257082054,1.45367694641386,2.10184132200717,-1.83887386070476,-3.08513886162988,-1.2911233127009,-1.61340580283268,-0.0430888485721681,-0.456454850485943,1.09754939416309,0.412583971407885,2.27726479682484
"virus_comp_2103_cycle_1_9",0.555163717880689,1.35649126887188,2.15781881986307,2.95914637085427,-1.62339628036723,-3.18794178612095,-0.914316639365457,-1.2543428453185,0.642748275678478,0.307525158895331,2.13678461940979,1.15837967271908,3.5141689456831
"edge_1633_38",1.0194174466092,1.63603465752856,2.25265186844793,2.8692690793673,-0.75362532498016,-2.03123704171725,-0.310699050416854,-0.60859452359608,1.03041973838533,0.620837494640108,2.17704071014362,0.977886654375173,3.19668233673664
"virus_comp_7609_cycle_1_2",2.00969858599786,2.58234425979988,3.15498993360189,3.7276356074039,-0.598708273470495,-2.10089550080881,-0.304067820747824,-0.776811319592677,0.920910516888207,0.361067446959139,1.90458261209388,0.766234654667021,2.88007894124875
"edge_1633_26",2.04918042997259,2.58961158143586,3.13004273289913,3.6704738843624,-0.479671395697459,-1.98811475069106,-0.357588806091222,-0.844313317326758,0.734982650375083,0.0418479341775706,1.72945760581533,0.736153704333545,2.61083527338506
"virus_comp_2103_cycle_1_8",-0.701184336678653,0.0658511954758598,0.83288672763037,1.59992225978488,-2.13619938319025,-3.31946355323083,-1.45024699572072,-1.65617070937877,-0.0438670233274499,-0.36977084491131,1.39459137460679,0.803099244348616,2.76665328230378
"edge_1633_13",0.180562950002636,0.825924856813859,1.47128676362508,2.11664867043631,-1.89164018516675,-3.15508194788877,-1.34419464129325,-1.6800925585117,-0.120645484545006,-0.515782072366073,1.02668229081071,0.420331910693425,2.20447860005912
"edge_1633_25",1.97266889425505,2.51910069009552,3.06553248593599,3.61196428177647,-0.547677625234999,-2.01176203552928,-0.251511149047599,-0.705583138360851,0.925950841190716,0.426474609442182,1.90722091964233,0.817576379773786,2.81750226786635
"edge_1627_22",0.635325040148991,1.23206868496399,1.828812329779,2.425555974594,-1.4963597196113,-2.74701143618177,-0.912418792779953,-1.24807618465931,0.319009937412023,0.0398137047701379,1.3543942566706,0.534703335891785,2.43126682803951
"virus_comp_2089_cycle_1_11",1.91467036704815,2.67774181030545,3.44081325356275,4.20388469682005,-0.918776563212856,-2.70038841864744,-0.443227835524686,-0.941306730834047,0.978521810520404,0.262359267594892,2.31026486662227,1.23331051362084,3.63656617156366
"edge_1847_24",0.917957938237882,1.48837734753417,2.05879675683046,2.62921616612676,-1.44407608378147,-2.60156813573868,-0.920312273552257,-1.30639953108649,0.0803363125118794,-0.595135020550524,0.796016494247273,-0.118777633123441,1.98448403762209
"edge_1627_13",2.13890664870161,2.6778790393562,3.21685143001079,3.75582382066538,-0.66504558895172,-2.18881920888072,-0.37573338062874,-0.881938148748312,0.801480833312617,0.330517120497515,1.70628254990618,0.65895928476936,2.63087965688133
"virus_comp_315_cycle_1_1",-0.744752720790233,0.217979063038075,1.18071084686638,2.14344263069469,-1.11627486924247,-2.01568600219328,-0.0761068426661158,-0.0420559360824866,1.79269627028062,1.1811600195329,3.59121792588771,2.34710975750368,5.34597968505519
"edge_1627_34",-0.0168976369796336,0.648396999607469,1.31369163619457,1.97898627278167,-1.96692690817298,-3.21806471417106,-1.41087743318307,-1.72480963581889,-0.140015899789902,-0.525547261833887,1.04716118755582,0.408269945977088,2.25272265666353
"edge_1633_14",0.121476925916186,0.814603417006405,1.50772990809662,2.20085639918685,-1.89840032877682,-3.13576476474059,-1.09323174365727,-1.37709936458791,0.34669797680902,0.24180210776098,1.54626120411714,0.794152874353994,2.82523029960815
"virus_comp_2103_cycle_1_7",-0.752339610656591,0.108244357849688,0.968828326355966,1.82941229486225,-2.46474381104048,-3.67380208289368,-1.49309666087461,-1.70601466714209,0.159408158388339,0.195673631750378,1.76038131302694,1.56450445225721,3.36784248118009
"edge_1627_35",1.45009202567547,2.03447945766788,2.61886688966029,3.2032543216527,-1.18828456632903,-2.69321864724268,-0.926345755888281,-1.41155148271736,0.20831769552469,-0.474768884732979,1.2132608421879,0.225436974883768,2.23430603788985
"edge_1631_4",1.96720405891629,2.50015258036591,3.03310110181554,3.56604962326516,-0.865135755103242,-2.46824508018796,-0.787296374404912,-1.3365645005951,0.248896536598441,-0.419140562052226,1.16823922846441,0.277847293426046,2.05758190927506
"virus_comp_2089_cycle_1_7",1.58032955816608,2.38876622711277,3.19720289605945,4.00563956500613,-1.1340673909658,-2.88549137540135,-0.530786316250312,-0.988119808775722,0.990396903388081,0.408822471075934,2.42024289963885,1.44994875953492,3.8375819392531
"virus_comp_2375_cycle_1_4",-0.641908858759813,-0.0370802808839183,0.567748296991977,1.17257687486787,-1.12892133467193,-2.18148252664404,-0.63614677953172,-0.690083544933512,0.490676265273818,0.49444003850058,2.0304034715101,1.06315486336011,2.84760129180073
"edge_1627_15",2.91794965974821,3.48482635543145,4.05170305111468,4.61857974679791,-0.737802733991653,-2.58710352253826,-0.499849057560594,-1.17280125122431,0.683736189902944,0.198885311561275,1.62205971693319,0.675401214112524,2.60302718213692
"virus_comp_2012_cycle_1_1",-1.38425644955406,-0.643038162291745,0.0981801249705709,0.839398412232888,-2.26975937982999,-3.23655864648708,-1.54350541428311,-1.63984325216678,-0.218668828695672,-0.378079426186086,1.29004505203898,0.938567355268715,2.59524681950385
"edge_1476_19",2.43959155919573,2.91565712965837,3.391722700121,3.86778827058364,-0.142270990694896,-1.61247500280283,-0.0428809396865333,-0.53751826407082,0.911837526510547,0.163301295228416,1.7108411674001,0.40735480683457,2.49495651574429
"virus_comp_6322_cycle_1_4",3.06247494911215,3.49431038254816,3.92614581598417,4.35798124942018,0.159367114128377,-1.39840459390426,0.0719794962293872,-0.511004716425298,0.899856792853022,0.0553156737325997,1.59561723364121,0.536604244506611,2.30404554749932
"virus_comp_126_cycle_1_210",0.950026932435188,1.59130415465952,2.23258137688384,2.87385859910817,-0.861961312523249,-2.1378819522311,-0.424209118667806,-0.732368148161471,0.87950212180252,0.266118409192935,2.02463727380068,0.74247851853351,3.12831413619564
"edge_1633_2",0.49384987531907,1.11884242688095,1.74383497844284,2.36882753000472,-1.48174676697083,-2.71771192498937,-0.882506246792145,-1.18957031913617,0.439559645796123,0.194190881629392,1.53316850572081,0.694564219646285,2.6475446864447
"edge_1627_21",1.13396725670019,1.7346511044737,2.33533495224721,2.93601880002072,-1.14003146003446,-2.45259328421575,-0.503746481387577,-0.856120238110217,0.814564409053019,0.646747181405071,1.86681016354268,0.936365807742791,2.93277230132373
"virus_comp_73_cycle_1_19",3.14865058232443,3.56508473187853,3.98151888143262,4.39795303098672,-0.0395807488132061,-1.6417819087882,-0.10822978357482,-0.738247500061418,0.691484289872116,-0.0985893999734015,1.32212245959091,0.382409772770928,2.03104320407454
"virus_comp_3264_cycle_1_8",-1.54066345573003,-0.679104857128237,0.182453741473561,1.04401234007536,-1.97464515502238,-2.95584632145126,-1.08209708112182,-1.0770448856114,0.564840737000491,0.335131843598643,2.31281624682057,1.35829070634618,3.78551344458564
"virus_comp_285_cycle_1_126",-5.98209475637742,-5.10322289392343,-4.22435103146943,-3.34547916901543,-1.65514209605722,-0.125651938480327,0.233271733328033,1.28344092577866,1.77302955527053,3.36360879408332,3.58896698700536,6.89286261094059,5.54831517086632
"virus_comp_4_cycle_1_4",1.05089330148571,1.61955294624739,2.18821259100907,2.75687223577074,-0.940393219965667,-2.26447112123942,-0.632289271866278,-0.990018798363156,0.416369291449525,-0.0904121335146009,1.49391776046636,0.586358203349163,2.44374467501963
"edge_1633_46",1.83588801763147,2.37287622607176,2.90986443451206,3.44685264295235,-1.01500506603623,-2.57709200615551,-0.830543621952382,-1.3641664844622,0.232586445372381,-0.415448282366597,1.14847788712993,0.168410226938883,2.06950715851567
"virus_comp_169_cycle_1_6",-0.902176354907168,-0.180111821225211,0.541952712456741,1.2640172461387,-1.48512536558465,-2.10596715743197,-0.565836900335817,-0.57032650256666,0.777162974273391,1.59812859916902,2.38661783847184,3.87789977432714,3.73182810121406
"virus_comp_4767_cycle_1_2",1.58798170424144,2.11491615340617,2.64185060257091,3.16878505173565,-0.564863732398784,-1.94182684157898,-0.407160753878255,-0.817817059824084,0.58146020037464,-0.0631539443732008,1.56230002292021,0.536861929763647,2.42205991339717
"virus_comp_501_cycle_1_8",1.23338110934358,1.7372014791038,2.24102184886401,2.74484221862423,-0.69106214879447,-1.75228425038288,-0.387295465703398,-0.727765785690142,0.58298753935431,0.0353787418377189,1.40359893170331,0.736230614128393,2.35174387846212
"virus_comp_4511_cycle_1_1",2.17448822818051,2.65608250166876,3.13767677515701,3.61927104864527,-0.353865899812448,-1.70806238176247,-0.15563912338121,-0.623079939436819,0.747686221474991,0.0542225608566254,1.49616328499935,0.519458210189718,2.36384197820912
"virus_comp_10080_cycle_1_1",2.2209152348704,2.7362424827297,3.25156973058899,3.76689697844829,-1.13513773794192,-3.123451613507,-1.15765251936745,-1.81878549721608,0.0949099013274433,-0.499611214388057,1.11689819659672,-0.704220579786866,1.79825107541871
"edge_1896_6",1.29170282207706,1.94633036622953,2.60095791038201,3.25558545453448,-0.807947488924633,-2.262720437902,-0.492843452879304,-0.876818006885232,0.836900573885288,0.171076284551941,2.0862187564802,0.943414640653172,3.16289741589273
"virus_comp_18200_cycle_1_5",2.08797356809299,2.61581446610842,3.14365536412385,3.67149626213927,-0.331211273528833,-1.69023967731483,-0.108492465622537,-0.555835462481308,0.905877766137501,0.201732231661325,1.76750015381351,0.755266373101557,2.70750223661639
"virus_comp_6059_cycle_1_2",-0.307533761461443,0.408356840555141,1.12424744257173,1.84013804458831,-1.44557388321706,-2.27713361852011,-0.612679757466021,-0.73324181146836,0.723023973510155,1.43881384568093,2.26939230894225,3.6122036983638,3.60199717836577
"edge_1631_21",2.7773898312571,3.18209287761374,3.58679592397039,3.99149897032703,-0.0298970032931347,-1.55672025082622,-0.174366189677388,-0.747840288606991,0.617772499660583,-0.198853904135095,1.31179727826463,0.219969031446256,1.94471328308864
"virus_comp_500_cycle_1_6",1.01705109931874,1.53484617366805,2.05264124801737,2.57043632236668,-0.549662687264513,-1.46309406890806,-0.127866763727538,-0.38310592740407,0.851550001082607,0.390325727498755,1.71665812696428,1.13903648110757,2.70650626587518
"virus_comp_499_cycle_1_1",2.74109386106058,3.19056854737641,3.64004323369224,4.08951792000808,0.0130721176708208,-1.45939990899147,0.0432243389470361,-0.488158727465955,0.91130684667541,0.12741932380859,1.64385156673323,0.56818377757309,2.40185066687791
"virus_comp_17970_cycle_1_39",2.45796918490146,2.9166255428341,3.37528190076675,3.83393825869939,-0.0627746322841505,-1.59131075592064,-0.14422476045103,-0.659046964872632,0.76147337724488,-0.00389241963643094,1.6079368082394,0.405978485654048,2.29827751865067
"virus_comp_425_cycle_1_2",2.87536071651087,3.30973579980523,3.74411088309959,4.17848596639394,-0.198168034001865,-1.75363855320658,-0.128473153299804,-0.714113409928504,0.767889940856117,0.130461386100615,1.4468262393631,0.429593509348915,2.18695910909175
"virus_comp_36_cycle_2_46",1.60527733895696,2.16978473164285,2.73429212432874,3.29879951701463,-0.441765295183091,-1.82109189521216,-0.303984172620121,-0.702441483151034,0.823913008727397,0.0808777034510086,1.9079387313053,0.714594639202067,2.8145575363044
"virus_comp_18064_cycle_1_7",1.76828046689369,2.33996060820923,2.91164074952477,3.48332089084031,-0.665094941852751,-2.14464123854158,-0.245877034384519,-0.664058411100154,1.09652367248317,0.868653567197392,2.17606756093277,1.10084607185488,3.09308869493207
"virus_comp_636_cycle_1_73",2.93982530835544,3.38100770539537,3.8221901024353,4.26337249947522,0.138972309434259,-1.37237097016501,0.0935541113243739,-0.464057233321268,0.945606983992461,0.0620092926728262,1.6420408650722,0.473681821044706,2.37940973486455
"virus_comp_2028_cycle_1_7",0.077831408825408,0.744076962381324,1.41032251593724,2.07656806949316,-1.79435356004773,-3.15047992070202,-1.39703804484667,-1.72576390492849,-0.144451339356299,-0.656685683850926,1.1290496809908,0.129084769868917,2.25342581936138
"virus_comp_126_cycle_1_209",0.853776808830813,1.52011579710391,2.18645478537701,2.8527937736501,-0.853647267747821,-2.11918668471533,-0.411647968340269,-0.702301472214384,0.92300750700254,0.239365888778761,2.11588994638414,0.768988098203212,3.26458913975226
"edge_1468_15",3.0238105251631,3.44624048801028,3.86867045085746,4.29110041370465,-0.160574388365945,-1.85248011659084,-0.339751009229494,-0.989710375741528,0.466867490476933,-0.436397972102749,1.16098655644197,-0.0192014077710017,1.8261204002282
"virus_comp_126_cycle_1_211",0.859259065410232,1.51926671313701,2.17927436086379,2.83928200859056,-0.790842637283147,-1.96771117759896,-0.160664292978911,-0.406105598843007,1.25197510641966,0.94329111097897,2.44308119329326,1.4135388203927,3.59830981615947
"virus_comp_9870_cycle_1_4",2.69445884117887,3.14698317298147,3.59950750478406,4.05203183658666,-0.326202013665199,-1.96069802083453,-0.39407010758261,-0.996759401157662,0.510735705763128,-0.264297370720352,1.28480239411439,0.176955498460566,2.00658417503716
"virus_comp_2109_cycle_1_9",-0.0745057720880995,0.727435004360625,1.52937578080935,2.33131655725807,-1.25864423028747,-2.6631460647798,-0.817482982001427,-1.0254734543901,0.637754212575181,-0.100293410188302,2.29951260105817,0.925168241020149,3.56336914981331
"virus_comp_126_cycle_1_203",1.68318850310757,2.28928285282432,2.89537720254106,3.5014715522578,-0.514254808798096,-1.90930171526032,-0.0638319333767505,-0.436571499075422,1.26972448537746,0.880976542745866,2.36556213301969,1.1343147332208,3.38084950670827
"virus_comp_2089_cycle_1_8",1.53846738092993,2.24205355937515,2.94563973782038,3.6492259162656,-0.893328170481115,-2.34712064656059,-0.363992860463852,-0.773857102394103,0.968444997973259,0.377784928248991,2.11832922949764,1.28271061581889,3.41785319638479
"virus_comp_7421_cycle_1_3",2.59300057991929,3.03941219997802,3.48582382003676,3.93223544009549,-0.548982609465435,-2.21913450050056,-0.638404727746131,-1.26651584005428,0.228895520216168,-0.445599374982564,0.999273854198149,0.10173355885938,1.71239000235947
"virus_comp_729_cycle_1_55",3.8031684361318,4.25550337839877,4.70783832066574,5.16017326293271,-0.125620502149574,-2.08758631569616,-0.327204667668229,-1.11930295401978,0.560088455843903,-0.357912345942375,1.31838293913169,0.178927827010109,2.0374476912683
"virus_comp_17845_cycle_1_5",2.48227306233303,2.9594717938583,3.43667052538357,3.91386925690884,-0.248878087898331,-1.81154124298875,-0.308176266312517,-0.858912392568551,0.59133310781308,-0.260056534592023,1.41999786058186,0.287731115944224,2.18813152204369
"virus_comp_1430_cycle_1_14",2.35940159086677,2.85905971418598,3.35871783750519,3.8583759608244,-0.675387596878861,-2.3807011650923,-0.768420966596911,-1.38253944280115,0.25859614875697,-0.611315311281216,1.11816644696277,-0.00151674761041765,1.90948788005676
"virus_comp_17846_cycle_1_6",2.99263995614912,3.44102250934718,3.88940506254525,4.33778761574331,-0.369627158229114,-2.15922488267218,-0.61444204454226,-1.31103718586779,0.253468276336058,-0.706546678437219,0.963662169676303,-0.126045177661517,1.67520375085551
"edge_1631_22",2.51961098924434,2.98850365194475,3.45739631464515,3.92628897734555,-0.534527609017444,-2.09744816264468,-0.486858658158132,-1.07611610884044,0.410723727138618,-0.208128176599931,1.17093753095284,0.510743454839697,1.98671608095152
"edge_1672_54",1.33267477425939,1.80416954963208,2.27566432500478,2.74715910037747,-0.500711355166892,-1.49979565933574,-0.235545590066857,-0.563539726796419,0.659431762243451,0.126466709289233,1.40894685524958,0.804479877684777,2.30476628417225
"edge_1627_28",0.903421853618276,1.57276212987426,2.24210240613025,2.91144268238623,-1.35906272997278,-2.7468318514642,-0.848322412651518,-1.22767048617839,0.517325214132851,0.0672567021019734,1.6850791246629,0.774768862173456,2.87891400422541
"virus_comp_2332_cycle_1_10",1.74888375596171,2.28547799288692,2.82207222981214,3.35866646673735,-0.97352524529036,-2.58083428642598,-0.832070258700546,-1.3501159192687,0.231169649204666,-0.331958293494145,1.23214158310847,0.105924437634203,2.08742021939427
