"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"virus_comp_2089_cycle_1_3",0.121166989423671,0.461146881179976,9.06251480919193,1.66553449956799e-15,4.97582308552298e-12,24.7260410504632
"edge_1627_29",0.108027395932219,0.273204385928202,8.96011753469309,2.5458291560619e-15,4.97582308552298e-12,24.332453998881
"virus_comp_2103_cycle_1_9",0.133554591831865,0.537807360334716,8.72135237753591,6.1013948853399e-15,6.10075623311687e-12,23.4446479008185
"edge_1633_38",0.102769535153228,0.269342276281096,8.75367304188363,6.24277946596763e-15,6.10075623311687e-12,23.4575656792119
"virus_comp_7609_cycle_1_2",0.0954409456336691,0.293240042743378,8.67752652390644,8.51714052284017e-15,6.65870046075644e-12,23.151905490815
"edge_1633_26",0.0900718585772117,0.274569759723585,8.39034495212103,1.10152869271497e-13,7.17645943303806e-11,20.7001420539737
"virus_comp_2103_cycle_1_8",0.127839255359085,0.663574641223623,8.37694110639192,1.36739085056877e-13,7.6359011926762e-11,20.4758729380125
"edge_1633_13",0.10756031780187,0.380515687565748,8.15785378510785,1.69622674953223e-13,8.28818795490186e-11,20.251220844339
"edge_1633_25",0.0910719659734122,0.296065772539153,8.12372733313086,2.35807387432601e-13,1.02419008608226e-10,19.93885201513
"edge_1627_22",0.0994572741358338,0.310516558801323,8.01395838587804,3.24788905273102e-13,1.26959983071256e-10,19.6178229251408
"virus_comp_2089_cycle_1_11",0.127178573876217,0.518999907873554,8.62469510948713,4.7857022556398e-13,1.70066455611782e-10,19.3460016371152
"edge_1847_24",0.095069901549382,0.451541052142261,8.23508412111815,5.94139640927637e-13,1.93540988032178e-10,19.0950660390928
"edge_1627_13",0.0898287317757647,0.199123307170397,8.31947323901087,7.24162342550452e-13,2.17750045925363e-10,18.9298632621552
"virus_comp_315_cycle_1_1",0.160455297304718,0.649833406722499,7.88630580411266,1.19088488938704e-12,3.32512073758137e-10,18.3771218511942
"edge_1627_34",0.110882439431184,0.268352000746662,8.9761246897019,1.4438492680442e-12,3.59907208019504e-10,18.3795512987678
"edge_1633_14",0.11552108184837,0.37938468238631,8.01400420514537,1.47314283149451e-12,3.59907208019504e-10,18.2093500328872
"virus_comp_2103_cycle_1_7",0.143430661417713,0.631147586844665,8.86737033683405,1.89143138074851e-12,4.34917956902701e-10,18.0871210204574
"edge_1627_35",0.0973979053320682,0.244186926800784,7.6472764879359,2.1722521189883e-12,4.71740751840292e-10,17.7709717537601
"edge_1631_4",0.0888247535749374,0.243563425653352,7.47532800546272,2.74715644671841e-12,5.65191292116961e-10,17.5128853171526
"virus_comp_2089_cycle_1_7",0.134739444824447,0.584845154457606,8.09060186775068,3.98383522957221e-12,7.78640595619888e-10,17.2886199637857
"virus_comp_2375_cycle_1_4",0.100804762979316,0.852371472627007,7.90314745232726,4.29884619756297e-12,8.00199513632078e-10,17.1911797455983
"edge_1627_15",0.0944794492805388,0.203707373757005,7.43375324756871,5.22616349841648e-12,9.28594232514092e-10,16.9069381786163
"virus_comp_2012_cycle_1_1",0.123536381210386,0.305623249634706,8.38967990357809,9.37600438794677e-12,1.59351309358626e-09,16.5488531573785
"edge_1476_19",0.0793442617437724,0.262114549756406,7.2808638344642,1.36114207193301e-11,2.16065417561636e-09,15.9863699866203
"virus_comp_6322_cycle_1_4",0.0719725722393351,0.234787332130164,7.38974822336157,1.38184585291402e-11,2.16065417561636e-09,16.0005359080958
"virus_comp_126_cycle_1_210",0.106879537037388,0.396061868668669,7.54181068110483,1.59658902608854e-11,2.40041019345388e-09,15.9031214073849
"edge_1633_2",0.104165425260314,0.224885999394132,8.0883103257203,1.83311839163476e-11,2.62849390475395e-09,15.8861974513378
"edge_1627_21",0.100113974628919,0.299134705351789,7.24345944292009,1.88277895454363e-11,2.62849390475395e-09,15.6779740813772
"virus_comp_73_cycle_1_19",0.0694056915923495,0.246034638993771,7.27859831672785,2.15603369966196e-11,2.90618473516504e-09,15.5633972245801
"virus_comp_3264_cycle_1_8",0.143593099766966,1.03693138955528,7.15873377935364,2.83631785530171e-11,3.69572216545813e-09,15.2860900955879
"virus_comp_285_cycle_1_126",0.146478643742333,1.09827168248784,7.27103136400607,4.22306660221686e-11,5.21928465444988e-09,14.9461356273043
"virus_comp_4_cycle_1_4",0.0947766074602796,0.201835849827931,7.36012154234286,4.27263005736496e-11,5.21928465444988e-09,14.9535848725618
"edge_1633_46",0.0894980347400492,0.2221074404645,7.1490351045175,4.5227830597561e-11,5.35744211532927e-09,14.8471559195353
"virus_comp_169_cycle_1_6",0.120344088946992,0.78858826791775,7.26761804380099,5.23699102876698e-11,6.02099939160298e-09,14.7488456167986
"virus_comp_4767_cycle_1_2",0.0878224081941228,0.196648226954594,7.42541984765095,5.53159827292826e-11,6.17800504253617e-09,14.7317172424865
"virus_comp_501_cycle_1_8",0.0839700616267027,0.311766682835575,7.06786408521225,5.87230139287382e-11,6.30282738727656e-09,14.5887161803306
"virus_comp_4511_cycle_1_1",0.0802657122480421,0.284396177032608,7.22197152689067,5.96583815116993e-11,6.30282738727656e-09,14.6148772465249
