"Category","Count"
"Total ORFs in limma results","3909"
"Significant ORFs (adj.p < 0.05)","3176"
"ORFs with taxonomy annotation","3176"
"ORFs without taxonomy annotation","0"
"Unique taxonomies","27"
"Most common taxonomy","root"
"Significant ORFs (adj.p < 0.01)","2611"
