"Timepoint","Valid_ORFs","Mean_Difference","SD_Difference","Range_Min","Range_Max"
"t0-over42",529,0.143,0.639,-2.173,1.993
"t0-36",529,-1.786,0.88,-5.211,-0.326
"t0-30",529,2.004,0.982,-2.473,4.803
"t0-24",529,-1.95,1.002,-6.723,0.092
"t0-18",529,2.479,1.088,-3.406,4.198
"t0-12",529,2.963,1.073,-3.867,5.836
"t0-6",529,3.315,1.087,-2.161,11.616
"t0",529,2.264,0.776,-0.159,6.046
