"","t0-over42","t0-36","t0-30","t0-24","t0-18","t0-12","t0-6","t0"
"virus_comp_15228_cycle_1_3",-0.222526163503728,-1.21964937259653,0.58011437698402,-4.13877617422541,0.818977654645053,0.863294506499845,3.37959893734091,3.1864275533345
"virus_comp_1727_cycle_1_2",-0.208316441604603,-2.14149760135007,1.91688796911808,-1.54766804709377,3.06751132299294,3.15045095208268,3.63598282652627,4.49485158773123
"virus_comp_99_cycle_1_2",-1.32292598242727,-3.86973131838311,0.97349145424747,-4.67835977029036,1.51148473816761,0.972014887758389,4.37801138427623,3.62948015151782
"virus_comp_99_cycle_1_1",-1.31551264100484,-4.2418719809331,-0.984308811391348,-6.72096596808445,-1.95781431061177,-2.56738628678302,3.84384364940443,3.43497195622637
"virus_comp_17959_cycle_1_11",-0.20962602098872,-2.17900017405699,1.6259244218482,-3.27174508576738,1.97984013174147,3.44977427602238,3.36859726801617,4.23511158141811
"virus_comp_17959_cycle_1_10",-0.274035251782904,-2.62922519541046,1.6319800426443,-2.72473563515053,2.1523782972,3.38960206077953,2.58078575545495,4.27103604117631
"virus_comp_315_cycle_1_1",-0.0150943032656672,-2.00198720360414,1.79123305362493,-2.09412782994079,3.27180133516625,5.83630025699791,3.9224935437193,6.04555999388725
"virus_comp_4028_cycle_1_1",-0.84967476838971,-2.60448693609947,0.677740047101858,-4.56375887202168,-0.0965125305988401,-0.13035220792888,4.85957378825615,3.29779843177556
"virus_comp_103_cycle_1_3",-0.958614040964408,-4.00338933406322,-0.718907444076967,-6.02830526561827,-1.41650217345295,-1.99930519967059,3.89038730227703,3.33231932586914
"virus_comp_15228_cycle_1_1",-0.249551571477018,-2.86962353457913,0.476708865745692,-4.80110799522412,-0.838531838499306,-0.513637676861167,4.85122770308838,3.30305687838385
"virus_comp_17959_cycle_1_13",-0.342836495179422,-3.02127575096461,1.69241168054497,-2.61905547890484,2.25510001426391,3.63368834553563,2.65327811095492,4.35752669503809
"virus_comp_17959_cycle_1_12",-0.265687478948815,-3.14625894820274,1.68176931957845,-2.47875955905877,2.19010105950334,3.25295030383471,2.68635713176198,4.13536325311142
"virus_comp_1260_cycle_2_19",-0.482359860399915,-2.70926669517549,0.873155751754634,-3.43007589257753,3.09889328475617,4.45897906839947,3.58923994470075,2.27021938980502
"virus_comp_18422_cycle_1_2",0.787457081887478,-2.14189408598364,1.72159991855602,-2.94747543817902,1.65351456917201,2.97619132195367,3.06508220936866,1.94639765211746
"virus_comp_12035_cycle_1_2",-1.32990219773364,-1.10644293356006,1.00367905260259,-2.40909900867051,2.70048096478044,3.4860643329776,4.06463022254387,4.49700143174632
"virus_comp_104_cycle_1_1",-0.0943633898408605,-2.30831379319258,0.954628904292407,-5.25621458836099,-1.48927432474856,-2.22618988544381,5.15865373972594,3.44990773174455
