"ORF","in_t24","in_t36","in_t42","timepoint_pattern"
"edge_2381_20",TRUE,TRUE,TRUE,"All_three"
"edge_1627_22",TRUE,TRUE,TRUE,"All_three"
"virus_comp_1968_cycle_1_6",TRUE,TRUE,FALSE,"t24_t36"
"virus_comp_2146_cycle_1_2",TRUE,TRUE,FALSE,"t24_t36"
"virus_comp_1660_cycle_1_3",TRUE,TRUE,TRUE,"All_three"
"virus_comp_1968_cycle_1_5",TRUE,TRUE,FALSE,"t24_t36"
"virus_comp_18196_cycle_1_10",TRUE,FALSE,TRUE,"t24_t42"
"virus_comp_155_cycle_2_110",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2957_cycle_1_1",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2283_cycle_1_4",TRUE,TRUE,TRUE,"All_three"
"virus_comp_4695_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"edge_1627_35",TRUE,TRUE,TRUE,"All_three"
"virus_comp_1968_cycle_1_4",TRUE,TRUE,FALSE,"t24_t36"
"virus_comp_613_cycle_1_15",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_90",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_74",TRUE,TRUE,TRUE,"All_three"
"edge_284_17",TRUE,TRUE,FALSE,"t24_t36"
"virus_comp_613_cycle_1_23",TRUE,TRUE,TRUE,"All_three"
"virus_comp_1093_cycle_1_24",TRUE,TRUE,TRUE,"All_three"
"edge_1631_28",TRUE,TRUE,TRUE,"All_three"
"virus_comp_3629_cycle_1_5",TRUE,TRUE,TRUE,"All_three"
"virus_comp_4360_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"virus_comp_8889_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_43",TRUE,TRUE,TRUE,"All_three"
"virus_comp_2283_cycle_1_10",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_9",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_12",TRUE,TRUE,TRUE,"All_three"
"edge_311_15",TRUE,TRUE,TRUE,"All_three"
"virus_comp_164_cycle_1_1",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_210",TRUE,TRUE,TRUE,"All_three"
"virus_comp_18055_cycle_1_12",TRUE,TRUE,TRUE,"All_three"
"virus_comp_3136_cycle_1_6",TRUE,TRUE,TRUE,"All_three"
"edge_3278_3",TRUE,TRUE,TRUE,"All_three"
"virus_comp_301_cycle_1_54",TRUE,TRUE,TRUE,"All_three"
"virus_comp_1792_cycle_1_1",TRUE,TRUE,TRUE,"All_three"
"virus_comp_808_cycle_4_37",TRUE,TRUE,TRUE,"All_three"
"virus_comp_6999_cycle_1_2",TRUE,TRUE,TRUE,"All_three"
"edge_3739_22",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_1_191",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_34",TRUE,TRUE,TRUE,"All_three"
"virus_comp_155_cycle_2_156",TRUE,TRUE,TRUE,"All_three"
"virus_comp_126_cycle_1_168",TRUE,TRUE,TRUE,"All_three"
"edge_3278_4",TRUE,TRUE,TRUE,"All_three"
