"","t0-over42","t0-36","t0-30","t0-24","t0-18","t0-12","t0-6","t0"
"virus_comp_15228_cycle_1_3",-0.222574829903415,-1.21960727161872,0.580844609451144,-4.13899131209291,0.819730911897125,0.864547059170958,3.37911948367916,3.18761505405294
"virus_comp_1727_cycle_1_2",-0.208102034781556,-2.14126335048,1.91644614756694,-1.54736525776416,3.06722088408911,3.15077278738292,3.63481985010759,4.49493590738117
"virus_comp_99_cycle_1_2",-1.32367406115917,-3.86939944215573,0.974407226611513,-4.6790343285049,1.5122874265344,0.973230188861177,4.37594559208805,3.63024022694611
"virus_comp_99_cycle_1_1",-1.31553188325055,-4.24102803192278,-0.983505805465325,-6.72347143555985,-1.95477948000261,-2.56653765008243,3.84233661282871,3.43748755537058
"virus_comp_17959_cycle_1_11",-0.209607843520988,-2.1782768724565,1.62720980096344,-3.27097809040588,1.98076525676017,3.45090595288389,3.36943544817882,4.23587523838038
"virus_comp_17959_cycle_1_10",-0.273006009401875,-2.627957455286,1.63356217796965,-2.72196583467518,2.15329393238606,3.39112633170384,2.58165622793077,4.27198084140514
"virus_comp_315_cycle_1_1",-0.0151330676534003,-2.002038115461,1.7909539218981,-2.09406956026993,3.27196436298313,5.83593200607783,3.92083552169871,6.04643792179849
"virus_comp_4028_cycle_1_1",-0.849967065496778,-2.60384897240008,0.679261191159124,-4.56410602748058,-0.0941414022041958,-0.128822126926276,4.85752809552102,3.29949068003548
"virus_comp_103_cycle_1_3",-0.959095994666944,-4.00267731452728,-0.717505415244383,-6.03000788589421,-1.41332178118584,-1.9977888712393,3.88917388628333,3.33454836061523
"virus_comp_15228_cycle_1_1",-0.249977646703587,-2.8691208297457,0.477444218045163,-4.80194828899837,-0.836725443594792,-0.512547688041976,4.8494780324776,3.30478712740766
"virus_comp_17959_cycle_1_13",-0.341402326100931,-3.01964664492776,1.69392811529813,-2.61671750600114,2.25576164775817,3.63527428621209,2.65395024280754,4.35866402566056
"virus_comp_17959_cycle_1_12",-0.264612699679498,-3.14476465773195,1.68320400342265,-2.47657493054949,2.19067399795784,3.25410792217006,2.68693322954728,4.13633562449625
"virus_comp_1260_cycle_2_19",-0.482060438068261,-2.70781839951692,0.875318942602352,-3.42819623870565,3.09964199331757,4.45971451881127,3.58973133979315,2.27183781935143
"virus_comp_18422_cycle_1_2",0.786955255313798,-2.14117887593711,1.72292782201771,-2.94698814909266,1.6540239102742,2.97681142714926,3.06547078643689,1.94702596288023
"virus_comp_12035_cycle_1_2",-1.3296297349532,-1.10647803297298,1.00396603834669,-2.40849550649545,2.70093962435135,3.48664225280964,4.06381075766346,4.49801581165209
"virus_comp_104_cycle_1_1",-0.0947553839158748,-2.30807933266478,0.955024458383888,-5.25784078794634,-1.48731029115886,-2.22602709917596,5.15627018702535,3.45149383677503
"virus_comp_7129_cycle_1_1",-0.266219243398527,-1.89955664484302,0.896655341180608,-4.64069622986153,-1.2472047293381,-1.87228381018336,4.97469995059228,2.6591885477089
"virus_comp_15228_cycle_1_2",-0.335968156617728,-2.89730899350003,0.464520895551412,-4.95490989696418,-1.97509170291899,-2.28558975785209,4.85502671339569,3.66248169758786
"virus_comp_155_cycle_2_154",0.312920024756858,-0.702148332572441,2.99582301736088,-1.46299928979114,3.47944212348966,3.90498210736332,3.83523598564163,2.65292297912172
"virus_comp_14463_cycle_1_1",-0.363238722240424,-1.68706811075314,-0.503532280575722,-5.25450940655643,-1.87389551504737,-1.58890396649232,4.92514922750221,3.89147873679871
"edge_1633_5",0.153672377202035,-1.66283723527956,1.52208944065161,-1.55469120824316,2.43391276752411,3.16356285115177,1.90082129105078,2.10271282808477
"virus_comp_18196_cycle_1_6",-0.614311938053895,-1.94479720378316,-0.229334561467399,-4.33542399027448,2.52631665627587,3.08023383115789,2.89311301941853,1.74107228959659
"virus_comp_317_cycle_1_3",-0.557512654784221,-0.86102802637373,1.05461396451105,-2.69419452890033,2.43742926238899,1.69024370884917,3.16405493697151,4.05654330835427
"virus_comp_104_cycle_1_3",-0.718385439998185,-1.19121036622292,3.17610977751689,-3.65200981159136,1.37596065950177,0.274853581043274,5.31891807194698,3.92870666956969
"virus_comp_2572_cycle_1_4",-0.270447638046128,-3.31513293718988,1.70350012438142,-1.92726836401286,2.18163315875854,3.16376007890744,2.77263186515806,3.828669897876
"edge_1633_13",-0.346228971319587,-2.29270470484409,1.24298974445711,-1.93541665691252,2.35764786567682,3.14846292925563,1.46984209574709,2.04873622378098
"virus_comp_8200_cycle_1_2",-0.950750570078204,-2.38092442713857,0.784056281613322,-6.32467277925217,-3.40582682702466,-3.86694305363057,4.66987736821323,3.95711324984999
"virus_comp_17959_cycle_1_1",-0.276453010303742,-3.05787980445116,1.76613497269832,-1.63581282472282,2.35492443271256,3.36290057536916,2.93705129677009,3.61730491107531
"virus_comp_18200_cycle_1_4",0.336245674860697,-1.70161306975827,0.662686204971682,-1.85320065597201,2.52368883435247,3.0409542275403,3.13652164320759,2.22122679956138
"virus_comp_5552_cycle_1_3",-0.546099982332927,-2.80343630581562,0.25469447063964,-5.43247873136261,-2.29579801909652,-1.55760231984352,5.28085993130009,2.70368610334563
"virus_comp_808_cycle_4_27",-0.789906273167165,-1.2956492018743,1.32018449137073,-3.19501059816722,1.3772286030859,2.58677434051464,5.0830839472779,1.8467395337449
"virus_comp_2345_cycle_1_7",-1.20698269293666,-3.57583766982179,0.614950907952353,-3.65527581388921,2.69544601108071,2.23289878752077,-0.131334991203442,2.22397543069585
"virus_comp_18200_cycle_1_1",0.394460812717533,-1.26811781077392,0.243198926750674,-2.35378593199685,2.69100843426621,3.95784315411377,3.39846482095394,3.05663220976951
"virus_comp_155_cycle_2_117",0.568203742989254,-1.23699725626762,2.33842927999136,-1.91005774215195,3.21625024731462,3.64922135542207,3.9444642428906,2.62135231621993
"virus_comp_2223_cycle_1_10",-1.46320743840712,-4.85417079546164,1.33287710655983,-4.25777534977517,0.603960333277652,1.86665502342877,-1.19958956322282,2.46699769443539
"virus_comp_18196_cycle_1_8",-0.985667229094865,-1.97097455486497,1.09953002440003,-3.5699993494086,2.01776109203596,3.31903658208116,2.94737524022065,1.61566814858543
"virus_comp_18200_cycle_1_3",0.377098505487677,-1.63154782684729,0.482820856156147,-2.19114746920497,2.56254184647812,3.45111291005622,3.21337049614857,2.39940816189377
"virus_comp_17959_cycle_1_6",-0.286023402905488,-3.34594751401714,1.69057397663521,-2.04239936277481,2.03237285774728,2.37203021389275,2.65542226736354,4.11615709390571
"virus_comp_7609_cycle_1_2",0.395413935036364,-2.33035388458361,1.42302465541983,-1.02599103438774,2.94903390669952,3.69116239355573,3.24619948239543,2.53607358308113
"virus_comp_155_cycle_1_105",0.781720304182932,-0.526391568413728,2.76321227947032,-1.87806673896139,3.3951178957734,3.42556958703396,3.58196867406621,2.36004118026927
"virus_comp_2589_cycle_1_3",0.241407792645879,-1.31402994141533,1.21713747823559,-3.2205446752201,2.51816595035836,3.55918230975621,3.17814403866429,2.47012471627743
"virus_comp_5117_cycle_1_4",-0.687510699386838,-2.68961375837603,-0.81287124628193,-5.94257638525808,-2.89528292956254,-2.80622136463976,2.01544837411312,2.99339034001318
