"","T-72","T-66","T-60","T-54","T-48","T-42","T-36","T-30","T-24","T-18","T-12","T-6","T0"
"virus_comp_12035_cycle_1_1",0,0,0,0,-20.2577783237439,-16.6959849350975,0,-16.1946222109636,-13.7646297394001,1.51849677779789,2.26098829536919,0,0.419201302352078
"virus_comp_12035_cycle_1_2",0,0,0,0,-18.3132519009767,-14.9955757915141,8.85342952505498,-16.1429972231712,-13.7646297394001,0.133260782231956,-0.402923986084346,0,0.118127580232243
"virus_comp_2265_cycle_1_9",0,0,0,0,0,-23.6198982635552,-20.6498594048146,-9.09395768608432,5.02085902477099,0,-2.85330523316214,-12.7208855035937,7.97154355395077
"edge_1627_22",0,-13.4894716870077,-10.5517082616207,0,-1.57826118456722,0,6.28397874066005,7.51426574766805,-0.114760350304123,10.1596911688055,11.9661449133456,-10.2888660741658,0.581140789768748
"edge_1847_24",0,0,0,0,-8.36300976993304,-16.6592851811766,-14.0792091110435,-13.0914804660826,-2.79034389252587,9.16095187237319,9.86042191633583,0,-4.85057236607351
"virus_comp_317_cycle_1_1",0,0,0,0,0,-15.2573755648027,0,-16.4162622462135,-15.2042272405682,-1.05418349067821,-2.8193379900774,0,-0.590221646882813
"virus_comp_3404_cycle_1_2",0,0,0,0,-19.4475857340817,-15.4576694405253,0,-15.7327913521353,-12.0250241789825,0,-1.49375550601835,0,-0.0353686058538889
"edge_1633_14",0,-13.4894716870077,-11.288289342181,0,0,0,3.39019820304171,9.82986685326618,0,0,2.85147651038074,0,10.7739633684336
"edge_1631_4",0,0,0,-10.9665054519057,-8.7467542305164,0,10.5142588495572,0,0,0,1.99496524692865,0,9.42731284413496
"edge_1627_13",0,0,0,0,0,0,0,2.30931554052656,0,11.246486132483,12.5162276599856,0,5.98868468677217
"edge_1633_38",0,0,0,0,0,0,0,10.9665054519057,9.43735195721415,9.74507402646887,4.7500338893664,0,10.2149261879424
"virus_comp_2269_cycle_1_10",0,0,0,0,0,-18.7089390456202,-14.9588768253273,-12.3139909467793,-3.1438391328777,8.16346997930501,-9.7970912868362,-17.7306625084636,7.51189534983199
"virus_comp_2283_cycle_1_5",0,0,0,0,0,-13.5508670049609,-9.58914694693971,8.83145120379228,8.59101880064125,0,-13.8167408306567,0,14.8846952135464
"virus_comp_317_cycle_1_3",0,0,0,0,0,-16.892586295427,8.85342952505498,-16.1044256430029,-14.6192838477579,2.001746899254,-17.0109697955642,-10.5517082616207,0.234432877812449
"virus_comp_10080_cycle_1_1",0,0,0,0,0,0,0,-12.2070975373806,0,0,0.998739296432324,0,9.29001884693262
"edge_1631_22",0,0,0,0,0,0,2.6096932831838,10.7551151822777,9.26768704321517,0,-8.96866679319521,0,7.97154355395077
"virus_comp_7609_cycle_1_2",0,0,0,0,8.16346997930501,0,0.995333983858656,-0.582329626419326,0,9.74507402646887,5.47456049498129,0,11.095726668639
"virus_comp_18153_cycle_1_6",0,0,0,0,0,-13.7559655027263,14.9796347383425,20.5377102100612,18.8694374403602,19.7256741318911,12.9139149851004,0,19.6091913657092
"virus_comp_18020_cycle_1_19",0,0,0,0,0,-10.7036152362715,0,-14.4547841457556,10.9099507627322,-12.5162276599856,0,0,9.87421293483087
"virus_comp_2103_cycle_1_7",-25.086265223652,-21.5143658844479,-21.4298199475404,-23.9088943835365,-23.7118487731606,0,-9.07537629453193,0,-8.77857660307972,14.9066691828958,8.96866679319521,0,6.97727992349992
"virus_comp_73_cycle_1_19",0,0,0,0,0,0,11.3103069083742,9.09395768608432,11.3951633421321,14.31837131909,-9.74507402646887,-7.97154355395077,0
"virus_comp_7421_cycle_1_3",0,0,-14.2137877274255,0,0,0,-7.27469173878025,13.8193354269477,-7.38945208908437,0,7.16849304594918,0,-6.97727992349992
"virus_comp_2440_cycle_1_4",0,0,0,0,0,0,-12.3948954876689,13.7256276902432,7.85654523945337,0,8.48439135877634,0,2.51880595178852
"virus_comp_3253_cycle_1_5",0,0,0,0,0,0,8.59101880064125,7.51426574766805,0,0,7.16849304594918,0,-6.97727992349992
"virus_comp_126_cycle_1_210",0,0,0,0,11.0659930588541,0,15.5391704643436,0,9.43735195721415,12.939972680178,13.5508670049609,-10.2888660741658,11.799079209029
"edge_4_17",0,0,0.384645092709305,-10.9665054519057,-8.16346997930501,0,0.829164323083274,0,11.1239721420993,-9.16095187237319,-0.262362871740064,0,1.32019928097061
"virus_comp_421_cycle_1_6",0,0,0,0,0,0,-0.175017590897702,8.83145120379228,0,-8.7467542305164,8.96866679319521,0,0
"edge_1631_14",0,0,0,-8.96866679319521,0,0,11.2201457512344,-1.66115749619339,0,0,0.636629446178239,-9.55266909751427,7.97154355395077
"virus_comp_17985_cycle_1_13",0,-12.4254781876453,0,-10.5517082616207,0,-9.96722625883599,0,0,10.7256284349971,-2.96171468546843,-7.16849304594918,0,0
"virus_comp_760_cycle_1_1",0,0,0,0,0,0,6.28397874066005,0,13.2878566418405,0,0.990006031003444,-11.288289342181,5.98868468677217
"edge_4_40",0,0,-3.28943466680442,10.5517082616207,-11.1590604036547,8.38514338989102,2.99672266047957,8.51031463217721,0.467093150369,0.736292964256178,6.17848701494574,0,-1.52546634546051
"virus_comp_36_cycle_2_23",0,-8.96866679319521,0,0,9.96722625883599,0,8.59101880064125,0,6.28397874066005,9.74507402646887,-6.17848701494574,0,0
"virus_comp_4_cycle_1_4",0,0,-15.0319165400007,-10.9665054519057,0,0,7.27469173878025,9.09395768608432,10.4363111383044,-9.48237581802615,0,0,0
"edge_1476_19",0,0,0,0,0,0,7.90955481456836,8.51031463217721,7.27469173878025,11.6824303329578,2.3059043438306,7.97154355395077,1.41024607992654
"edge_1468_49",0,0,0,0,0,0,0.269501165242336,10.208012609947,-12.9659646102721,10.3294760240451,-0.84620545388142,0,10.610563503925
"virus_comp_2239_cycle_1_5",0,0,0,0,0,-14.6192838477579,-20.5386311850972,-1.10112930793168,-11.7765233334253,-22.7375686947803,-17.8523579471805,0,-6.79324593173598
"virus_comp_17813_cycle_1_1",0,0,0,0,-5.26187707212781,11.3813626931671,-14.3998376290968,0,7.85654523945337,0,10.4074195230458,0,14.3921161398986
"edge_1468_15",0,0,0,0,0,0,13.1358695766485,10.4143008502615,-6.39803107397315,-9.16095187237319,-7.75010877954022,0,1.99138686969529
"virus_comp_18128_cycle_1_9",0,0,0,0,0,-11.9661449133456,-0.320993078002349,0,11.7252023730094,-11.5512276035983,-8.48439135877634,0,0
"virus_comp_17906_cycle_1_1",0,-11.7735513464285,0,-12.1360298493856,0,-9.38298420509155,-1.78892800718143,0,0,0,0,0,0
"virus_comp_18020_cycle_1_18",0,0,0,0,9.48237581802615,-12.0250241789825,0,0,12.532374658547,-12.8865403492137,0,0,10.5517082616207
"virus_comp_2273_cycle_1_7",0,0,0,0,0,-14.8155000463762,-10.4363111383044,-2.22044604925031e-16,10.3539102235444,-9.48237581802615,-2.07629148472851,-14.3408932418056,-10.8245610299703
"virus_comp_2103_cycle_1_5",-24.1475578011019,-20.6666583065459,-20.6257810687451,-20.3661311486733,-11.4945579086779,0,-8.2700257226389,0,-12.8072878308845,0,0,0,0
"virus_comp_2283_cycle_1_4",0,0,0,0,0,-13.6097558854237,-15.1632293407235,0,0,0,-5.1755908938151,-17.2581151212309,14.2185253974901
