"orf_name","adj_p_val","log_fc","in_heatmap"
"virus_comp_12035_cycle_1_1",2.54145574739268e-10,0.166339965939821,TRUE
"virus_comp_12035_cycle_1_2",7.66308407504946e-09,0.151182601062133,TRUE
"virus_comp_2265_cycle_1_9",8.8137701201475e-08,0.119843237875614,TRUE
"edge_1627_22",1.00482609194499e-07,0.097607720820994,TRUE
"edge_1847_24",1.00482609194499e-07,0.0946077157685431,TRUE
"virus_comp_317_cycle_1_1",1.00482609194499e-07,0.147267516090312,TRUE
"virus_comp_3404_cycle_1_2",1.80593221407479e-07,0.143736257351095,TRUE
"edge_1633_14",2.09385515822295e-07,0.113390050712508,TRUE
"edge_1631_4",2.09385515822295e-07,0.0894698903449418,TRUE
"edge_1627_13",3.5474536773083e-07,0.0860416103337511,TRUE
"edge_1633_38",3.70208814852788e-07,0.098490695353359,TRUE
"virus_comp_2269_cycle_1_10",5.19239671291738e-07,0.107832926672644,TRUE
"virus_comp_2283_cycle_1_5",8.34744440788696e-07,0.0997200175401922,TRUE
"virus_comp_317_cycle_1_3",7.84850156981765e-07,0.128174296735347,TRUE
"virus_comp_10080_cycle_1_1",1.41323471225414e-06,0.083177682616409,TRUE
"edge_1631_22",1.41323471225414e-06,0.0784670403530824,TRUE
"virus_comp_7609_cycle_1_2",1.41323471225414e-06,0.0908638326030236,TRUE
"virus_comp_18153_cycle_1_6",3.21397335410998e-06,0.0921844747247636,TRUE
"virus_comp_18020_cycle_1_19",3.90850778982769e-06,0.0999307238601135,TRUE
"virus_comp_2103_cycle_1_7",4.32049456711615e-06,0.140225977149146,TRUE
"virus_comp_73_cycle_1_19",3.90850778982769e-06,0.0626542166857221,TRUE
"virus_comp_7421_cycle_1_3",4.32049456711615e-06,0.0744378536565559,TRUE
"virus_comp_2440_cycle_1_4",4.32049456711615e-06,0.074894994574216,TRUE
"virus_comp_3253_cycle_1_5",6.05809911061168e-06,0.069052768130937,TRUE
"virus_comp_126_cycle_1_210",6.25356727601308e-06,0.100006891021358,TRUE
"edge_4_17",6.25356727601308e-06,0.0886907762574793,TRUE
"virus_comp_421_cycle_1_6",6.25356727601308e-06,0.0830661821065001,TRUE
"edge_1631_14",6.25356727601308e-06,0.0814275328058162,TRUE
"virus_comp_17985_cycle_1_13",6.89626219518354e-06,0.0922092829504312,TRUE
"virus_comp_760_cycle_1_1",7.21146396358131e-06,0.0750225945315654,TRUE
"edge_4_40",7.21146396358131e-06,0.0835228408374927,TRUE
"virus_comp_36_cycle_2_23",7.38688046589188e-06,0.0682229266173801,TRUE
"virus_comp_4_cycle_1_4",7.72735164097605e-06,0.0906442559173022,TRUE
"edge_1476_19",7.38688046589188e-06,0.072116356704446,TRUE
"edge_1468_49",8.38881801027179e-06,0.087971445274883,TRUE
"virus_comp_2239_cycle_1_5",8.98105661328907e-06,0.0851030524941027,TRUE
"virus_comp_17813_cycle_1_1",9.0409491619227e-06,0.125604972554323,TRUE
"edge_1468_15",8.98105661328907e-06,0.0655830178985385,TRUE
"virus_comp_18128_cycle_1_9",9.14818844932581e-06,0.0870335512065722,TRUE
"virus_comp_17906_cycle_1_1",1.00500428049039e-05,0.0960098778823092,TRUE
"virus_comp_18020_cycle_1_18",9.14818844932581e-06,0.0978804133430917,TRUE
"virus_comp_2273_cycle_1_7",1.03312186498603e-05,0.0725338546433616,TRUE
"virus_comp_2103_cycle_1_5",1.26781308013969e-05,0.126419399449746,TRUE
"virus_comp_2283_cycle_1_4",1.22868409087376e-05,0.0921805264252194,TRUE
"virus_comp_609_cycle_1_4",1.26781308013969e-05,0.111766453947179,TRUE
"virus_comp_18230_cycle_1_6",1.2257082623832e-05,0.0651249121320057,TRUE
"edge_1476_4",1.26781308013969e-05,0.108316426778326,TRUE
"virus_comp_1430_cycle_1_14",1.26781308013969e-05,0.0802631385048939,TRUE
"virus_comp_36_cycle_2_46",1.26781308013969e-05,0.0909538566619084,TRUE
"virus_comp_729_cycle_1_55",1.26781308013969e-05,0.074839144997864,TRUE
"virus_comp_18020_cycle_1_4",1.26781308013969e-05,0.0967191620849022,TRUE
"virus_comp_2375_cycle_1_4",1.26781308013969e-05,0.10229236661238,TRUE
"edge_1631_1",1.26781308013969e-05,0.0754972505938942,TRUE
"edge_1495_51",1.35111483402201e-05,0.0874505988424536,TRUE
"edge_311_11",1.26781308013969e-05,0.0862859289209079,TRUE
"virus_comp_2028_cycle_1_7",1.57891832835157e-05,0.110946306023553,TRUE
"virus_comp_1749_cycle_1_9",1.4584393403334e-05,0.0833958610897656,TRUE
"virus_comp_2375_cycle_1_1",1.45137863266855e-05,0.107282982540684,TRUE
"virus_comp_18126_cycle_1_3",1.51161594824498e-05,0.134349429332336,TRUE
"virus_comp_2089_cycle_1_4",1.49065660797451e-05,0.0905402043010569,TRUE
"virus_comp_2109_cycle_1_9",1.65445367996812e-05,0.118567774915691,TRUE
"virus_comp_2431_cycle_1_1",1.62683823682901e-05,0.111743567838705,TRUE
"edge_1468_48",1.75459782469421e-05,0.0860119142534342,TRUE
"virus_comp_2721_cycle_1_3",1.89099826531912e-05,0.0908943567179029,TRUE
"virus_comp_2473_cycle_1_6",2.11578736233594e-05,0.108980544389168,TRUE
"edge_4_44",1.97333940832921e-05,0.0753981795953986,TRUE
"virus_comp_475_cycle_1_7",2.66841274097735e-05,0.137491918936375,TRUE
"virus_comp_4826_cycle_1_1",2.11578736233594e-05,0.0612241828686261,TRUE
"virus_comp_163_cycle_1_23",2.38137534673109e-05,0.0800279744177259,TRUE
"virus_comp_2103_cycle_1_6",3.08485608463684e-05,0.129957554457046,TRUE
"virus_comp_126_cycle_1_138",2.59032645454046e-05,0.0954307855459633,TRUE
"edge_4_3",2.32333093873334e-05,0.0796140038370592,TRUE
"virus_comp_17845_cycle_1_5",2.48565954635552e-05,0.0767972305319003,TRUE
"virus_comp_2042_cycle_1_8",2.72803405518113e-05,0.0823736544276948,TRUE
"virus_comp_8859_cycle_1_2",2.48565954635552e-05,0.0860606548628122,TRUE
"virus_comp_2923_cycle_1_8",2.72803405518113e-05,0.0803410479959052,TRUE
"virus_comp_2273_cycle_1_6",2.77655068343359e-05,0.0801672939122974,TRUE
"virus_comp_18020_cycle_1_9",2.77655068343359e-05,0.0843958330328487,TRUE
"edge_1474_18",2.92692830635251e-05,0.112346008035916,TRUE
"edge_1631_6",2.92692830635251e-05,0.0766113183400178,TRUE
"edge_4_2",2.92692830635251e-05,0.0818334824343906,TRUE
"virus_comp_1286_cycle_1_7",3.08485608463684e-05,0.0745984866462408,TRUE
"virus_comp_2109_cycle_1_5",3.91119763960679e-05,0.135970599720932,TRUE
"virus_comp_335_cycle_1_8",3.91119763960679e-05,0.102314532492064,TRUE
"virus_comp_420_cycle_1_4",3.43393883517316e-05,0.0877150004908897,TRUE
"virus_comp_3236_cycle_1_11",3.56387356619517e-05,0.0805143065478402,TRUE
"virus_comp_18064_cycle_1_7",3.81000538422722e-05,0.0923807326782741,TRUE
"virus_comp_2239_cycle_1_1",4.30689312491837e-05,0.086105425321728,TRUE
"virus_comp_547_cycle_1_11",3.91119763960679e-05,0.065904226787656,TRUE
"virus_comp_2812_cycle_1_6",3.91119763960679e-05,0.0888389523616138,TRUE
"virus_comp_4360_cycle_1_6",4.48654468810048e-05,0.102001331036985,TRUE
"virus_comp_4767_cycle_1_2",4.73057582544813e-05,0.0860136214790868,TRUE
"edge_1468_62",3.91119763960679e-05,0.0854659031588501,TRUE
"virus_comp_315_cycle_1_1",4.73057582544813e-05,0.152100616964666,TRUE
