"","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR"
"4","contig_4647",1,95,0,97,Inf,0.49740932642487,1
"1","contig_3357",1,95,1,96,1.01047235362807,1,1
"2","contig_34440",0,96,1,96,0,1,1
"3","contig_3567",0,96,1,96,0,1,1
"5","contig_49047",0,96,1,96,0,1,1
"6","contig_49065",0,96,1,96,0,1,1
