"effect","component","term","estimate","std.error","statistic","p.value","gene","timepoint","comparison"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-28.0272035569658,NA,NA,NA,"edge_187","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-87.8075383695042,NA,NA,NA,"edge_1980","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-167.617572724009,NA,NA,NA,"edge_1986","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",14.5096187584996,NA,NA,NA,"edge_2104","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-3.47807283048629,NA,NA,NA,"edge_2381","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-87.9362195453899,NA,NA,NA,"edge_263","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-5.45657500150185,NA,NA,NA,"edge_2636","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",51.3177235654861,NA,NA,NA,"edge_300","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",69.9823173856415,NA,NA,NA,"edge_303","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",111.137476007903,NA,NA,NA,"edge_305","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",147.767560789885,NA,NA,NA,"edge_306","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",28.8712811675826,NA,NA,NA,"edge_311","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",30.5802471559299,NA,NA,NA,"edge_48666","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-55.7195555668685,NA,NA,NA,"edge_48806","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-0.596945660249876,8.47803747273545,-0.0704108305925275,0.943866671078792,"edge_957","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",0.57233612394012,NA,NA,NA,"edge_959","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-21.6499378345354,NA,NA,NA,"edge_965","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",0.428151952948536,NA,NA,NA,"edge_967","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-17.3324764941553,NA,NA,NA,"virus_comp_10080_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",28.3464122635543,NA,NA,NA,"virus_comp_103_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-59.2801461629759,NA,NA,NA,"virus_comp_105_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-30.1380577542678,NA,NA,NA,"virus_comp_1069_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-0.36684255777309,NA,NA,NA,"virus_comp_10904_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",21.2830507831893,NA,NA,NA,"virus_comp_1105_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-3.99767362788087,NA,NA,NA,"virus_comp_1133_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-67.787466735936,NA,NA,NA,"virus_comp_1146_cycle_3","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-52.9533469386836,NA,NA,NA,"virus_comp_1147_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-2.11202137250925,NA,NA,NA,"virus_comp_12586_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-19.696651414954,NA,NA,NA,"virus_comp_12691_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",1.58403332980147,NA,NA,NA,"virus_comp_13158_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",75.0766523473939,NA,NA,NA,"virus_comp_13180_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-3.80545711325536,NA,NA,NA,"virus_comp_13210_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-3.17984822960413,NA,NA,NA,"virus_comp_13432_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",27.807189872955,NA,NA,NA,"virus_comp_138_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",1.62369979388799,NA,NA,NA,"virus_comp_13909_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",25.6754895088642,NA,NA,NA,"virus_comp_14513_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-43.1049614785851,NA,NA,NA,"virus_comp_14666_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-1.05239493496995,NA,NA,NA,"virus_comp_14703_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-0.953395371022852,NA,NA,NA,"virus_comp_15056_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-55.3276456513248,NA,NA,NA,"virus_comp_15100_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",35.6376190222008,NA,NA,NA,"virus_comp_15228_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-1.63143655582829,NA,NA,NA,"virus_comp_1533_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",2.21258922624505,NA,NA,NA,"virus_comp_16041_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-3.70236468810867,NA,NA,NA,"virus_comp_16189_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",2.22724310884569,NA,NA,NA,"virus_comp_16215_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-1.13674306138903,NA,NA,NA,"virus_comp_16477_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",57.0654936964744,NA,NA,NA,"virus_comp_16559_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-19.6862166510585,NA,NA,NA,"virus_comp_16586_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-25.3879263699491,NA,NA,NA,"virus_comp_16658_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",1.50739663260408,9.97875359976571,0.15106061268408,0.879927902411339,"virus_comp_16682_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-78.6855205156683,NA,NA,NA,"virus_comp_16865_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-1.66090964590194,NA,NA,NA,"virus_comp_16893_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",27.7699667321974,NA,NA,NA,"virus_comp_169_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",0.0818750850173882,NA,NA,NA,"virus_comp_17302_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",30.3273687510774,NA,NA,NA,"virus_comp_174_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",139.205695673575,NA,NA,NA,"virus_comp_17782_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-0.489346340835147,NA,NA,NA,"virus_comp_178_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-4.97605873316901,NA,NA,NA,"virus_comp_17808_cycle_1","t0-6","CELIAC_vs_CONTROL"
