"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;unclassified Papillomaviridae genus;unclassified Papillomaviridae species",6.74451963226804,-5.23030223233235,1.26531755962046,-4.13358859407691,3.57142535042326e-05,0.0104285620232359
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;Picobirnavirus sp.",7.86436193318244,-4.88329322602709,1.23782850317429,-3.94504829506216,7.9783896853077e-05,0.0116484489405492
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;unclassified Picobirnavirus species",1.74028251889241,-3.02743709524232,0.859211330470821,-3.5235069509423,0.000425875926116646,0.0414519234753535
