"orf_id","coefficient","value","model"
"edge_1468_12","Delivery.ModeC.Section",0.118841442868704,"limma_voom"
"edge_1468_12","Dx.StatusCELIAC.onset_timeline_combinedt0.6",-1.25218451784543,"limma_voom"
"edge_1468_12","Dx.StatusCELIAC.onset_timeline_combinedt0.12",-1.957103162135,"limma_voom"
"edge_1468_12","Dx.StatusCELIAC.onset_timeline_combinedt0.18",2.16607566827679,"limma_voom"
"edge_1468_12","Dx.StatusCELIAC.onset_timeline_combinedt0.24",0.809830257225859,"limma_voom"
"edge_1468_12","Dx.StatusCELIAC.onset_timeline_combinedt0.30",-1.53852853327889,"limma_voom"
"edge_1468_12","Dx.StatusCELIAC.onset_timeline_combinedt0.36",1.81059096639931,"limma_voom"
"edge_1468_12","Dx.StatusCELIAC.onset_timeline_combinedt0.over42",-0.1010551413138,"limma_voom"
"edge_1468_12","AveExpr",0.365019107535719,"limma_voom"
"edge_1468_12","F",1.29986939289918,"limma_voom"
"edge_1468_12","P.Value",0.159045645717962,"limma_voom"
"edge_1468_12","adj.P.Val",0.36042675442994,"limma_voom"
"edge_1468_13","Dx.StatusCELIAC",0.419389282911148,"limma_voom"
"edge_1468_13","onset_timeline_combinedt0.6",1.41893199785855,"limma_voom"
"edge_1468_13","onset_timeline_combinedt0.12",0.214469153878876,"limma_voom"
"edge_1468_13","onset_timeline_combinedt0.18",0.353255560091471,"limma_voom"
"edge_1468_13","onset_timeline_combinedt0.24",0.113756639666743,"limma_voom"
"edge_1468_13","onset_timeline_combinedt0.30",2.19479030011395,"limma_voom"
"edge_1468_13","onset_timeline_combinedt0.36",0.495265684902391,"limma_voom"
"edge_1468_13","onset_timeline_combinedt0.over42",0.709094337846784,"limma_voom"
"edge_1468_13","SexMale",-0.796106439543858,"limma_voom"
"edge_1468_13","Age.at.Gluten.Introduction..months.",-0.0652824924345156,"limma_voom"
"edge_1468_13","HLA.CategoryHigh.Risk",-2.21367388721804,"limma_voom"
"edge_1468_13","HLA.CategoryLow.No.Risk",-0.738457653358136,"limma_voom"
"edge_1468_13","feeding_first_yearFormula",1.00925691999579,"limma_voom"
"edge_1468_13","feeding_first_yearBreastmilk_and_formula",-0.197440417460122,"limma_voom"
"edge_1468_13","Delivery.ModeC.Section",0.597638154420947,"limma_voom"
"edge_1468_13","Dx.StatusCELIAC.onset_timeline_combinedt0.6",-2.43401277114202,"limma_voom"
"edge_1468_13","Dx.StatusCELIAC.onset_timeline_combinedt0.12",-1.48224401914499,"limma_voom"
"edge_1468_13","Dx.StatusCELIAC.onset_timeline_combinedt0.18",0.935640173384909,"limma_voom"
"edge_1468_13","Dx.StatusCELIAC.onset_timeline_combinedt0.24",-0.237140159403802,"limma_voom"
"edge_1468_13","Dx.StatusCELIAC.onset_timeline_combinedt0.30",-1.73191752389565,"limma_voom"
"edge_1468_13","Dx.StatusCELIAC.onset_timeline_combinedt0.36",0.297135105119701,"limma_voom"
"edge_1468_13","Dx.StatusCELIAC.onset_timeline_combinedt0.over42",-0.45673463922793,"limma_voom"
"edge_1468_13","AveExpr",0.290070323086561,"limma_voom"
"edge_1468_13","F",1.17376348209298,"limma_voom"
"edge_1468_13","P.Value",0.261411209951174,"limma_voom"
"edge_1468_13","adj.P.Val",0.460710739269225,"limma_voom"
"edge_1468_14","Dx.StatusCELIAC",-0.228554340172463,"limma_voom"
"edge_1468_14","onset_timeline_combinedt0.6",1.05957339983004,"limma_voom"
"edge_1468_14","onset_timeline_combinedt0.12",0.456017526888377,"limma_voom"
"edge_1468_14","onset_timeline_combinedt0.18",-0.79414415473655,"limma_voom"
"edge_1468_14","onset_timeline_combinedt0.24",-0.434622058222265,"limma_voom"
"edge_1468_14","onset_timeline_combinedt0.30",1.36451747630212,"limma_voom"
"edge_1468_14","onset_timeline_combinedt0.36",-0.0211844151050448,"limma_voom"
"edge_1468_14","onset_timeline_combinedt0.over42",0.337877726847543,"limma_voom"
"edge_1468_14","SexMale",-0.920503565924945,"limma_voom"
"edge_1468_14","Age.at.Gluten.Introduction..months.",-0.0896877844429298,"limma_voom"
"edge_1468_14","HLA.CategoryHigh.Risk",-2.09454793511571,"limma_voom"
"edge_1468_14","HLA.CategoryLow.No.Risk",-0.0388908162181184,"limma_voom"
"edge_1468_14","feeding_first_yearFormula",0.307942446333213,"limma_voom"
"edge_1468_14","feeding_first_yearBreastmilk_and_formula",-0.754838858298056,"limma_voom"
"edge_1468_14","Delivery.ModeC.Section",0.0424869118008448,"limma_voom"
"edge_1468_14","Dx.StatusCELIAC.onset_timeline_combinedt0.6",-1.85569879378568,"limma_voom"
"edge_1468_14","Dx.StatusCELIAC.onset_timeline_combinedt0.12",-1.73519918450853,"limma_voom"
"edge_1468_14","Dx.StatusCELIAC.onset_timeline_combinedt0.18",1.99440718885844,"limma_voom"
"edge_1468_14","Dx.StatusCELIAC.onset_timeline_combinedt0.24",1.09033346611457,"limma_voom"
"edge_1468_14","Dx.StatusCELIAC.onset_timeline_combinedt0.30",-0.857215295458103,"limma_voom"
"edge_1468_14","Dx.StatusCELIAC.onset_timeline_combinedt0.36",1.61954612278249,"limma_voom"
"edge_1468_14","Dx.StatusCELIAC.onset_timeline_combinedt0.over42",0.112455158259292,"limma_voom"
"edge_1468_14","AveExpr",0.438635075554142,"limma_voom"
"edge_1468_14","F",1.20701272175984,"limma_voom"
"edge_1468_14","P.Value",0.23081597269493,"limma_voom"
"edge_1468_14","adj.P.Val",0.431703175724633,"limma_voom"
"edge_1468_15","Dx.StatusCELIAC",0.0913332225355167,"limma_voom"
"edge_1468_15","onset_timeline_combinedt0.6",0.57987314662341,"limma_voom"
"edge_1468_15","onset_timeline_combinedt0.12",-0.705738725452425,"limma_voom"
"edge_1468_15","onset_timeline_combinedt0.18",-0.891276831102045,"limma_voom"
"edge_1468_15","onset_timeline_combinedt0.24",-0.547242315614704,"limma_voom"
"edge_1468_15","onset_timeline_combinedt0.30",1.85540069672937,"limma_voom"
"edge_1468_15","onset_timeline_combinedt0.36",-0.395757551354003,"limma_voom"
"edge_1468_15","onset_timeline_combinedt0.over42",0.439886107738263,"limma_voom"
"edge_1468_15","SexMale",-0.888170512395834,"limma_voom"
"edge_1468_15","Age.at.Gluten.Introduction..months.",-0.0911816465358299,"limma_voom"
"edge_1468_15","HLA.CategoryHigh.Risk",-1.52886883016174,"limma_voom"
"edge_1468_15","HLA.CategoryLow.No.Risk",0.358552673381667,"limma_voom"
"edge_1468_15","feeding_first_yearFormula",0.154225282116653,"limma_voom"
"edge_1468_15","feeding_first_yearBreastmilk_and_formula",-0.333273565462198,"limma_voom"
"edge_1468_15","Delivery.ModeC.Section",0.332730602436234,"limma_voom"
"edge_1468_15","Dx.StatusCELIAC.onset_timeline_combinedt0.6",-1.35392878272177,"limma_voom"
"edge_1468_15","Dx.StatusCELIAC.onset_timeline_combinedt0.12",-0.400519864161545,"limma_voom"
"edge_1468_15","Dx.StatusCELIAC.onset_timeline_combinedt0.18",1.41985366236867,"limma_voom"
"edge_1468_15","Dx.StatusCELIAC.onset_timeline_combinedt0.24",0.399376316716573,"limma_voom"
"edge_1468_15","Dx.StatusCELIAC.onset_timeline_combinedt0.30",-1.67493039502704,"limma_voom"
"edge_1468_15","Dx.StatusCELIAC.onset_timeline_combinedt0.36",1.05329820464894,"limma_voom"
"edge_1468_15","Dx.StatusCELIAC.onset_timeline_combinedt0.over42",-0.312334174668992,"limma_voom"
"edge_1468_15","AveExpr",0.215956848837635,"limma_voom"
"edge_1468_15","F",0.988250197066692,"limma_voom"
"edge_1468_15","P.Value",0.476114906691602,"limma_voom"
"edge_1468_15","adj.P.Val",0.600974399954755,"limma_voom"
"edge_1468_16","Dx.StatusCELIAC",-0.20306381290467,"limma_voom"
"edge_1468_16","onset_timeline_combinedt0.6",1.16256021899195,"limma_voom"
"edge_1468_16","onset_timeline_combinedt0.12",0.719092733245335,"limma_voom"
"edge_1468_16","onset_timeline_combinedt0.18",-0.417591877801207,"limma_voom"
"edge_1468_16","onset_timeline_combinedt0.24",-0.359891242123699,"limma_voom"
"edge_1468_16","onset_timeline_combinedt0.30",2.08782746839949,"limma_voom"
"edge_1468_16","onset_timeline_combinedt0.36",-0.164301053415588,"limma_voom"
"edge_1468_16","onset_timeline_combinedt0.over42",0.373915392047225,"limma_voom"
"edge_1468_16","SexMale",-1.0666789689645,"limma_voom"
"edge_1468_16","Age.at.Gluten.Introduction..months.",-0.108100072153845,"limma_voom"
"edge_1468_16","HLA.CategoryHigh.Risk",-2.28777832039492,"limma_voom"
"edge_1468_16","HLA.CategoryLow.No.Risk",0.418220108113065,"limma_voom"
"edge_1468_16","feeding_first_yearFormula",1.05947247342236,"limma_voom"
"edge_1468_16","feeding_first_yearBreastmilk_and_formula",-0.505193871142292,"limma_voom"
"edge_1468_16","Delivery.ModeC.Section",-0.934675317701387,"limma_voom"
"edge_1468_16","Dx.StatusCELIAC.onset_timeline_combinedt0.6",-2.22461133347161,"limma_voom"
