"cohort","orfs_analyzed","main_effects_significant","timepoint_effects_significant","effect_range_min","effect_range_max"
"Total",2307,4,28,-10499.8243402673,1972.0461730242
"US",3511,0,31,-6232.46386232134,16370.2274866553
