"orf_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high","p.adj"
"edge_187_4","fixed","cond",NA,"(Intercept)",4.3302061847428,6.32101804198194,0.685048857001059,0.493313091316212,-8.05876152316969,16.7191738926553,0.99999999999788
"edge_187_4","fixed","cond",NA,"Dx.StatusCELIAC",-1.72989622264692,2.54135340645346,-0.680698803343941,0.496062093689734,-6.71085737128389,3.25106492599005,1
"edge_187_4","fixed","cond",NA,"onset_timeline_combinedt0-6",0.38812527372099,1.3765355813488,0.281958039428726,0.777975685082645,-2.30983488916057,3.08608543660255,1
"edge_187_4","fixed","cond",NA,"onset_timeline_combinedt0-12",-25.9001102598861,415823.142679128,-6.22863607181962e-05,0.999950302674466,-815024.28369961,814972.48347909,1
"edge_187_4","fixed","cond",NA,"onset_timeline_combinedt0-18",-19.9983886975394,23512.6713793803,-0.000850536647872229,0.999321370022087,-46103.9874726086,46063.9906952136,1
"edge_187_4","fixed","cond",NA,"onset_timeline_combinedt0-24",1.00430834700893,1.84243041339207,0.545099744179705,0.58568491863127,-2.60678890726078,4.61540560127863,1
"edge_187_4","fixed","cond",NA,"onset_timeline_combinedt0-30",1.65754135537405,2.06806332757644,0.801494486784656,0.422845434506868,-2.39578828442384,5.71087099517194,1
"edge_187_4","fixed","cond",NA,"onset_timeline_combinedt0-36",3.52939088867155,2.30712066989408,1.52978166019967,0.126070782641118,-0.992482532308774,8.05126430965186,1
"edge_187_4","fixed","cond",NA,"onset_timeline_combinedt0-over42",-19.1498901265906,88029.6902021959,-0.000217538992612664,0.999826428997791,-172554.172256649,172515.872476396,1
"edge_187_4","fixed","cond",NA,"SexMale",-1.14863348403134,2.25146461996757,-0.510171678401898,0.60993119196105,-5.56142305163393,3.26415608357124,1
"edge_187_4","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-1.00571499253157,0.972522869365052,-1.03412991530799,0.301075432721431,-2.91182479062862,0.900394805565484,0.999997624790294
"edge_187_4","fixed","cond",NA,"HLA.CategoryHigh Risk",3.19769626908541,2.72117203114278,1.17511727758811,0.239947799228025,-2.13570290769214,8.53109544586296,1
"edge_187_4","fixed","cond",NA,"HLA.CategoryLow/No Risk",3.66435995728118,4.04129514891592,0.906729110904991,0.364550065154985,-4.25643298549045,11.5851529000528,1
"edge_187_4","fixed","cond",NA,"feeding_first_yearFormula",-0.971345623808716,1.93881542949766,-0.500999532513721,0.616371451925833,-4.77135403829468,2.82866279067725,1
"edge_187_4","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-2.17648985339815,2.28306877752522,-0.95331769012995,0.340429131088233,-6.65122243157548,2.29824272477917,1
"edge_187_4","fixed","cond",NA,"Delivery.ModeC-Section",-0.153047041601489,1.66808531962551,-0.0917501280065506,0.926896568931679,-3.42243419120748,3.1163401080045,1
"edge_187_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-30.2501313643411,1733841.98844766,-1.74468789923727e-05,0.999986079404618,-3398298.10237209,3398237.60210936,1
"edge_187_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",28.1995898847588,415823.142688366,6.78163069579142e-05,0.999945890415749,-814970.184017573,815026.583197342,1
"edge_187_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",-2.8575641342271,177774.904885237,-1.60740580121351e-05,0.999987174757283,-348435.268494232,348429.553365964,1
"edge_187_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-22.3562943951051,223365.87898117,-0.000100088225189443,0.999920141150537,-437811.43447262,437766.72188383,1
"edge_187_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-28.3029838735209,2886660.12403771,-9.80475104701005e-06,0.999992176940517,-5657778.1817057,5657721.57573796,1
"edge_187_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-30.8559681640042,4057028.85627778,-7.60555797286436e-06,0.999993931642717,-7951661.29851233,7951599.586576,1
"edge_187_4","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-6.860122765073,2440846.34669436,-2.81055084617009e-06,0.999997757504873,-4783977.79143988,4783964.07119435,1
"edge_2454_20","fixed","cond",NA,"Dx.StatusCELIAC",-146.675456696665,26310206100.9149,-5.57485016020321e-09,0.999999995551913,-51567056530.2946,51567056236.9437,1
