"orf_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_1501_16","fixed","cond",NA,"(Intercept)",-4.0972987456182,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"Dx.StatusCELIAC",1.24328363853345,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"onset_timeline_combinedt0-6",-76.1032672717059,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"onset_timeline_combinedt0-12",-61.2203132019339,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"onset_timeline_combinedt0-18",-17.9760393633776,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"onset_timeline_combinedt0-24",-37.2117610133999,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"onset_timeline_combinedt0-30",-74.2200093625985,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"onset_timeline_combinedt0-36",-74.2200093625983,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"onset_timeline_combinedt0-over42",-37.6217175796531,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"SexMale",-1.87812634316848,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.309792494648988,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"HLA.CategoryHigh Risk",2.88075048513683,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"HLA.CategoryLow/No Risk",-36.4443624285463,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"feeding_first_yearFormula",-118.709368886881,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.797103700369791,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"Delivery.ModeC-Section",-0.65164967021384,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",74.818941811811,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",61.6269137538297,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",-20.211757606535,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-37.2162723516934,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-37.0989898705744,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-37.0989898705744,NA,NA,NA,NA,NA
"edge_1501_16","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-40.0953021138687,NA,NA,NA,NA,NA
"edge_1501_16","ran_pars","cond","patientID","sd__(Intercept)",9.7972527714131e-27,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"(Intercept)",-27.9357221326068,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"Dx.StatusCELIAC",-0.593030518220477,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"onset_timeline_combinedt0-6",17.9208423471319,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"onset_timeline_combinedt0-12",-4.46560269169136,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"onset_timeline_combinedt0-18",-4.46559543380224,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"onset_timeline_combinedt0-24",-4.46480804588137,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"onset_timeline_combinedt0-30",-68.4645656080167,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"onset_timeline_combinedt0-36",-71.8755423914115,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"onset_timeline_combinedt0-over42",-45.8060047870964,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"SexMale",-66.930721761921,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.0223603627410251,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"HLA.CategoryHigh Risk",-80.4215194580315,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"HLA.CategoryLow/No Risk",-8.62883807064737,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"feeding_first_yearFormula",-39.0662639600677,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",17.5958053779916,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"Delivery.ModeC-Section",0.0988740762449108,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-18.8092834394508,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",4.46559871708043,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",-9.69978594408401,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-61.5538768455627,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",68.4645875262952,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-21.5214161116603,NA,NA,NA,NA,NA
"edge_1847_24","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-45.3325811076387,NA,NA,NA,NA,NA
