"timepoint","n_genes","significant","mean_effect"
"t0-12",144,13,3.68789756501683
"t0-18",144,0,-1.95234602456636
"t0-24",145,3,-11.2616668406205
"t0-30",144,4,-15.189733128716
"t0-36",146,10,-15.6803801743181
"t0-6",146,0,-0.601957338916693
"t0-over42",144,1,-3.26769692273862
