"gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model"
"edge_1468_23","t0-over42",-0.71816113024032,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_32","t0-6",-0.578563960401119,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_32","t0-12",-10.904495671101,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_32","t0-18",0.966172543595186,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_32","t0-24",-5.03195056836157,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_32","t0-30",-12.7833088790037,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_32","t0-36",20.1882574639807,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_32","t0-over42",0.103590360109427,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_33","t0-6",-0.0810928768484829,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_33","t0-12",-13.7809520965206,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_33","t0-18",0.150423312021626,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_33","t0-24",-6.53535285876635,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_33","t0-30",-5.80295032440527,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_33","t0-36",15.2354779226191,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_33","t0-over42",0.929193500626314,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_36","t0-6",2.4281846325295,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_36","t0-12",-33.3680634081101,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_36","t0-18",77.0326861575554,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_36","t0-24",6.87661751374314,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_36","t0-30",-33.9952854329781,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_36","t0-36",-5.56010411420755,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_36","t0-over42",6.37654101008746,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_37","t0-6",0.196251431439811,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_37","t0-12",-26.0725988228404,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_37","t0-18",0.64206948246203,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_37","t0-24",43.1919366221995,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_37","t0-30",-17.8385111268313,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_37","t0-36",3.81384725246031,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_37","t0-over42",1.99777592553805,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_38","t0-6",-0.419650276090352,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_38","t0-12",-6.28025460308671,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_38","t0-18",-9.92103205875389,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_38","t0-24",1.3053305784558,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_38","t0-30",-13.7880777555635,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_38","t0-36",16.496660400667,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_38","t0-over42",0.816818790202599,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_39","t0-6",-0.90401243450528,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_39","t0-12",-40.9275201826125,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_39","t0-18",-0.71958738321247,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_39","t0-24",59.9094828143845,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_39","t0-30",5.69453410456396,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_39","t0-36",-1.2933300956338,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_39","t0-over42",9.84737271245288,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_40","t0-6",-6.51237067573928,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_40","t0-12",-43.3385101773644,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_40","t0-18",-18.9968487760057,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_40","t0-24",21.9030893375118,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_40","t0-30",-19.8055730822078,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_40","t0-36",-19.08476474534,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_40","t0-over42",-5.60561108300424,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_41","t0-6",-2.83915408665047,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_41","t0-12",-19.1913532381511,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_41","t0-18",9.89804645540241,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_41","t0-24",10.3767599412277,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_41","t0-30",9.55706794773227,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_41","t0-36",9.50472086223058,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_41","t0-over42",-2.36029164874707,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_42","t0-6",0.616889461831119,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_42","t0-12",-14.2143827130191,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_42","t0-18",7.45323614639022,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_42","t0-24",21.6531821463748,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_42","t0-30",-16.1842625806674,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_42","t0-36",21.5640033718185,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_42","t0-over42",2.22334942401468,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_43","t0-6",-1.10340024131188,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_43","t0-12",-19.2834568770977,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_43","t0-18",45.4609882000488,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_43","t0-24",3.07726585466363,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_43","t0-30",-18.5354511021018,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_43","t0-36",3.07727032981072,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_43","t0-over42",5.57152855985325,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_44","t0-6",-0.318507071457422,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_44","t0-12",9.98172452286115,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_44","t0-18",-12.502811582263,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_44","t0-24",-11.0613615591661,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_44","t0-30",0.344550408026749,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_44","t0-36",11.1037924114791,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_44","t0-over42",-0.580870470771421,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_45","t0-6",2.21516667253635,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_45","t0-12",-20.5022123224738,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_45","t0-18",63.947631640835,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_45","t0-24",-17.4190856592253,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_45","t0-30",-24.3203900819897,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_45","t0-36",1.33242704072339,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_45","t0-over42",5.40361957821407,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_47","t0-6",0.0832516135320589,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_47","t0-12",2.86262090817665,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_47","t0-18",-23.6481943748898,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_47","t0-24",26.1111759501757,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_47","t0-30",-12.0571806196121,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_47","t0-36",24.6447881578042,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_47","t0-over42",5.40670249544799,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_48","t0-6",-0.29749504251961,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_48","t0-12",2.28695731000378,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_48","t0-18",-23.8309863918629,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_48","t0-24",43.4434607878085,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_48","t0-30",-21.633796435664,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_48","t0-36",5.00617061770419,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_48","t0-over42",2.59940536246535,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_49","t0-6",-1.043373434747,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_49","t0-12",21.2048247767278,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_49","t0-18",-20.5521929983824,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_49","t0-24",62.4445803253475,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_49","t0-30",-17.7551855231624,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_49","t0-36",21.152741143523,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_49","t0-over42",1.06616669544069,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_50","t0-6",-2.3051222813201,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_50","t0-12",-16.1597390036084,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_50","t0-18",56.7388415488595,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_50","t0-24",51.9912127880575,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_50","t0-30",-15.8875105699575,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_50","t0-36",20.218401459581,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_50","t0-over42",-15.6655254504232,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_51","t0-6",-6.46058200439274,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_51","t0-12",-55.8768598295759,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_51","t0-18",-69.264602174147,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_51","t0-24",-2.95795474911166,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_51","t0-30",-55.8663821498801,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_51","t0-36",-55.378925626086,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_51","t0-over42",-2.91152783151314,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_53","t0-6",2.44809163577952,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_53","t0-12",-26.1245045476539,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_53","t0-18",110.254952866783,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_53","t0-24",-29.6931313767543,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_53","t0-30",-32.8390151475221,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_53","t0-36",-27.1416993463615,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_53","t0-over42",14.3009916126911,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_54","t0-6",-5.06312984831481,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_54","t0-12",-49.4731764803911,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_54","t0-18",-27.4718636948574,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_54","t0-24",-53.9899293332518,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_54","t0-30",-54.4797016332118,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_54","t0-36",-53.47263567626,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_54","t0-over42",-44.6168488535869,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_55","t0-6",-2.38614734091235,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_55","t0-12",-10.9539938336762,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_55","t0-18",25.7389465833716,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_55","t0-24",-6.96589608107755,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_55","t0-30",-8.15271518196706,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_55","t0-36",-10.4635024913858,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_55","t0-over42",-2.71571165954276,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_57","t0-6",-5.77406416428605,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_57","t0-12",-30.5237374409893,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_57","t0-18",-0.354492515140705,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_57","t0-24",24.4997075096864,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_57","t0-30",-22.1031631635634,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_57","t0-36",0.116914433802324,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_57","t0-over42",-8.94779273863073,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_58","t0-6",-0.41245063001087,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_58","t0-12",-17.972383624231,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_58","t0-18",-17.0005153967813,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_58","t0-24",59.1094902171328,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_58","t0-30",-19.0927642347637,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_58","t0-36",17.1579888963949,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_58","t0-over42",2.5842080448001,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_60","t0-6",0.605594897058546,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_60","t0-12",-21.7888454315502,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_60","t0-18",-3.22597206424567,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_60","t0-24",-2.67568976242785,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_60","t0-30",-2.26472946441073,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_60","t0-36",19.5222874036086,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_60","t0-over42",1.71724421767705,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_61","t0-6",-4.43234053033526,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_61","t0-12",-19.3192093571482,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_61","t0-18",31.6526979902035,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_61","t0-24",-4.48396237065391,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_61","t0-30",-4.59627941274809,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_61","t0-36",-5.23740204118903,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_61","t0-over42",-8.15057520693075,NA,NA,NA,NA,"PA_glmmTMB_logit"
"edge_1468_62","t0-6",-2.55223125733362,NA,NA,NA,NA,"PA_glmmTMB_logit"
