"orf_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high","p.adj"
"edge_16_12","fixed","cond",NA,"(Intercept)",-9.9523747726495,7.56403619358826,-1.31574922672709,0.188258225827913,-24.7776132898399,4.87286374454093,0.240289393770301
"edge_16_12","fixed","cond",NA,"Dx.StatusCELIAC",4.54744940493983,4.4935422424759,1.01199658522276,0.311539686149943,-4.25973155332229,13.354630363202,0.999990445730556
"edge_16_12","fixed","cond",NA,"onset_timeline_combinedt0-6",-26.5266407144583,312840.650661367,-8.47928191505135e-05,0.999932345118814,-613182.93483707,613129.881555641,0.999998716428588
"edge_16_12","fixed","cond",NA,"onset_timeline_combinedt0-12",-0.295270725999936,4.39462958059196,-0.0671889906953576,0.946431249472141,-8.90858642935453,8.31804497735466,1
"edge_16_12","fixed","cond",NA,"onset_timeline_combinedt0-18",-21.4496896055129,16764.3291601917,-0.00127948392092223,0.998979119812244,-32878.9310685558,32836.0316893448,0.999998650669572
"edge_16_12","fixed","cond",NA,"onset_timeline_combinedt0-24",1.57762640761502,4.38052446394583,0.360145553483327,0.718738288433999,-7.00804377511542,10.1632965903455,0.942560530623324
"edge_16_12","fixed","cond",NA,"onset_timeline_combinedt0-30",4.40138299705878,4.94716055752746,0.889678623905134,0.373638475190474,-5.29487352143212,14.0976395155497,0.874108359390558
"edge_16_12","fixed","cond",NA,"onset_timeline_combinedt0-36",3.22427681965845,3.51377545190426,0.917610377723792,0.358822882836677,-3.66259651583484,10.1111501551517,0.806557630447045
"edge_16_12","fixed","cond",NA,"onset_timeline_combinedt0-over42",3.33453735641288,4.94804141165222,0.673910559551973,0.500368178326299,-6.3634456044382,13.032520317264,0.999993551208249
"edge_16_12","fixed","cond",NA,"SexMale",-8.71507454919794,5.16228648432925,-1.68821985677347,0.091369032858391,-18.8329701363611,1.40282103796527,0.999999960512744
"edge_16_12","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.841450541186692,0.96512752146583,-0.871854260159012,0.383287889181581,-2.73306572374813,1.05016464137474,0.97874174085569
"edge_16_12","fixed","cond",NA,"HLA.CategoryHigh Risk",0.928182547268826,3.09734637509559,0.299670245062656,0.764428697089769,-5.14250479556422,6.99886989010187,1
"edge_16_12","fixed","cond",NA,"HLA.CategoryLow/No Risk",5.35631093808794,6.62710561855002,0.8082428810392,0.418950776905381,-7.63257739601314,18.345199272189,1
"edge_16_12","fixed","cond",NA,"feeding_first_yearFormula",0.141413029428413,3.75768090221594,0.0376330596206348,0.969980248818091,-7.22350620430881,7.50633226316564,1
"edge_16_12","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",4.76993211547942,3.83193034706655,1.24478570418978,0.213210532420264,-2.74051335603709,12.2803775869959,0.999197828090186
"edge_16_12","fixed","cond",NA,"Delivery.ModeC-Section",-1.42799323831252,3.2290787317601,-0.442229303444128,0.658323283201242,-7.7568712558066,4.90088477918156,0.999996941053496
"edge_16_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-7.58902606800048,673009.857486313,-1.12762480126895e-05,0.999991002855807,-1319082.67093968,1319067.49288754,0.999999934150795
"edge_16_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-34.4866300897812,147216.93504544,-0.000234257221012899,0.999813089781807,-288574.377233524,288505.403973344,1
"edge_16_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",20.0377722992966,16764.329695909,0.00119526236138069,0.999046318842825,-32837.4446566376,32877.5202012362,1
"edge_16_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-4.40025978903553,6.10878906013116,-0.72031621090892,0.471330325869222,-16.3732663360449,7.57274675797381,1
"edge_16_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-41.2944983509224,326747.935225416,-0.0001263802885929,0.99989916311921,-640455.479562993,640372.890566291,0.999999692315054
"edge_16_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-42.2256971614845,528513.221318471,-7.98952523006801e-05,0.999936252811776,-1035909.10483461,1035824.65344029,0.99999871415419
"edge_16_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-7.13630657199269,7.19530173400501,-0.991800877267799,0.321294669646649,-21.2388388285411,6.96622568455573,0.99999912714729
"edge_187_1","fixed","cond",NA,"(Intercept)",-11.4054609504534,3.16016005622455,-3.6091402800906,0.000307213456372152,-17.5992608460356,-5.21166105487123,0.000757594348723559
"edge_187_1","fixed","cond",NA,"Dx.StatusCELIAC",2.63465757245904,3.94667898653249,0.667563179435026,0.504412467872613,-5.10069109968568,10.3700062446038,0.999990445730556
"edge_187_1","fixed","cond",NA,"onset_timeline_combinedt0-6",5.16269234259864,3.85213741097768,1.3402150006088,0.180175456125762,-2.38735824641697,12.7127429316143,0.999998716428588
"edge_187_1","fixed","cond",NA,"onset_timeline_combinedt0-12",-38.5628852708662,707401.014192008,-5.4513471845828e-05,0.99995650454248,-1386519.07332871,1386441.94755817,1
"edge_187_1","fixed","cond",NA,"onset_timeline_combinedt0-18",-22.3867613481821,18963.1483113767,-0.00118054032909459,0.999058065316802,-37189.4744851381,37144.7009624417,0.999998650669572
"edge_187_1","fixed","cond",NA,"onset_timeline_combinedt0-24",1.96928300536313,2.7255712048428,0.722521210183065,0.469974089820015,-3.37273839342819,7.31130440415445,0.798955952694025
"edge_187_1","fixed","cond",NA,"onset_timeline_combinedt0-30",4.1727895889628,3.32782134466057,1.25391033856369,0.209874596806559,-2.34962039355557,10.6951995714812,0.637119311734196
"edge_187_1","fixed","cond",NA,"onset_timeline_combinedt0-36",6.29917746583489,2.89387034706376,2.1767310592288,0.0295006394856862,0.627295809661503,11.9710591220083,0.197188484983271
"edge_187_1","fixed","cond",NA,"onset_timeline_combinedt0-over42",4.20320432647461,4.68842944729689,0.896505828598522,0.369982668736496,-4.98594853428432,13.3923571872335,0.999993551208249
"edge_187_1","fixed","cond",NA,"SexMale",-6.8793321089637,2.64590479390666,-2.59999230690626,0.00932258503963892,-12.0652102115426,-1.69345400638477,0.685188341050689
"edge_187_1","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.230563882512597,0.250078738894058,-0.921965151984679,0.356546753060655,-0.720709204044146,0.259581439018952,0.97874174085569
"edge_187_1","fixed","cond",NA,"HLA.CategoryHigh Risk",1.27272891519031,3.37317173703398,0.377309255030525,0.705943795089192,-5.3385662030647,7.88402403344532,1
"edge_187_1","fixed","cond",NA,"HLA.CategoryLow/No Risk",-0.410382520089065,5.41200628823042,-0.0758281676393338,0.939555806098595,-11.017719929125,10.1969548889468,1
"edge_187_1","fixed","cond",NA,"feeding_first_yearFormula",-4.9726858773573,2.61419134859011,-1.90218894268745,0.0571464578703616,-10.0964067692901,0.151035014575507,1
"edge_187_1","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-1.43200877784782,1.92764131225622,-0.742881348694334,0.45755351869183,-5.21011632498155,2.34609876928591,0.999197828090186
"edge_187_1","fixed","cond",NA,"Delivery.ModeC-Section",1.61639842982789,1.86930476735823,0.86470566921639,0.387200357041624,-2.04737159032327,5.28016844997905,0.999996941053496
"edge_187_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-6.57756709288947,5.56506669888624,-1.18193859099764,0.237230068092704,-17.4848973942697,4.32976320849077,0.999999934150795
"edge_187_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",46.8864714328134,707401.014194714,6.6279904173148e-05,0.999947116287808,-1386433.62397731,1386527.39692018,1
"edge_187_1","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",26.5111546727677,18963.1490717363,0.00139803545141568,0.998884529461226,-37140.5780593945,37193.60036874,1
