"orf_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_1291_133","fixed","cond",NA,"(Intercept)",-41.0432134340107,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"Dx.StatusCELIAC",16.2886751168402,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"onset_timeline_combinedt0-6",23.9196148661815,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"onset_timeline_combinedt0-12",3.45846892367111,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"onset_timeline_combinedt0-18",5.35087408260497,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"onset_timeline_combinedt0-24",-4.51412410016703,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"onset_timeline_combinedt0-30",-2.96895825621166,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"onset_timeline_combinedt0-36",-4.27050389706706,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"onset_timeline_combinedt0-over42",7.14257856169453,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"SexMale",-17.6926172023818,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.230031988666863,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"HLA.CategoryHigh Risk",-1.28505860211526,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"HLA.CategoryLow/No Risk",0.161447289900216,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"feeding_first_yearFormula",-29.2489464289888,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-61.3292358697317,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"Delivery.ModeC-Section",2.73438964993806,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",34.2696455006264,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",22.6732151648698,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",20.9841971811091,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-5.45346153291315,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-2.62466229407075,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-5.25300390730771,NA,NA,NA,NA,NA
"edge_1291_133","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",18.7166909196845,NA,NA,NA,NA,NA
"edge_1291_133","ran_pars","cond","patientID","sd__(Intercept)",1.18193201854608,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"(Intercept)",-3.63235625313136,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"Dx.StatusCELIAC",-0.329643698574125,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"onset_timeline_combinedt0-6",-31.2438718775538,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"onset_timeline_combinedt0-12",0.403883434304434,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"onset_timeline_combinedt0-18",-19.9166134130404,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"onset_timeline_combinedt0-24",-21.0014588367208,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"onset_timeline_combinedt0-30",-19.3669254751889,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"onset_timeline_combinedt0-36",-21.0980027491572,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"onset_timeline_combinedt0-over42",0.9401761102436,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"SexMale",-1.20774997602671,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.0741070800451115,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"HLA.CategoryHigh Risk",1.71741617166506,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"HLA.CategoryLow/No Risk",0.549707201171944,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"feeding_first_yearFormula",-21.1941075266629,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.738077834134383,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"Delivery.ModeC-Section",-34.9431062947264,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",33.7372075197507,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-0.304884806967825,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",-7.21384912676186,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",21.1596948121563,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-6.89450142866125,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",21.2462671091724,NA,NA,NA,NA,NA
"edge_1329_59","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-37.0623000302184,NA,NA,NA,NA,NA
"edge_1329_59","ran_pars","cond","patientID","sd__(Intercept)",3.44610934174535e-06,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"(Intercept)",-1.82555467043978,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"Dx.StatusCELIAC",-20.336439380447,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"onset_timeline_combinedt0-6",-24.5757589811429,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"onset_timeline_combinedt0-12",1.00966531955676,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"onset_timeline_combinedt0-18",-44.7082400791154,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"onset_timeline_combinedt0-24",0.243278120871755,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"onset_timeline_combinedt0-30",1.07376975055009,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"onset_timeline_combinedt0-36",0.243329562323527,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"onset_timeline_combinedt0-over42",-19.2499843319771,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"SexMale",-0.237606795932197,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.000691266072753075,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"HLA.CategoryHigh Risk",-1.53407996927299,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"HLA.CategoryLow/No Risk",-0.401294008914803,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"feeding_first_yearFormula",0.0842123539178496,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.808030518041324,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"Delivery.ModeC-Section",-49.6304649035855,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-1.78646803944266,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-23.4992520994902,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",66.0030455989003,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",20.5595217164804,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-23.8884140072086,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",20.4963461980166,NA,NA,NA,NA,NA
"edge_1468_12","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-1.55505022598274,NA,NA,NA,NA,NA
"edge_1468_12","ran_pars","cond","patientID","sd__(Intercept)",8.26801858683097e-11,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"(Intercept)",-48.3563439461545,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"Dx.StatusCELIAC",-12.2137039560958,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"onset_timeline_combinedt0-6",42.569499641367,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"onset_timeline_combinedt0-12",42.7026941234481,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"onset_timeline_combinedt0-18",42.4952701873143,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"onset_timeline_combinedt0-24",-4.47763091120294,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"onset_timeline_combinedt0-30",43.2876470966684,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"onset_timeline_combinedt0-36",44.5269758799603,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"onset_timeline_combinedt0-over42",2.41407061909878,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"SexMale",-0.0526721576874929,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.328182762254603,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"HLA.CategoryHigh Risk",-46.0762506835879,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"HLA.CategoryLow/No Risk",-40.5202844690596,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"feeding_first_yearFormula",4.6104647599337,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.223127574291327,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"Delivery.ModeC-Section",-17.7246910621544,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-9.24038937708845,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-6.74636508965678,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",14.4510575121719,NA,NA,NA,NA,NA
"edge_1468_13","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",6.73241179188524,NA,NA,NA,NA,NA
