protein_id	genome	start	end	strand	partial	yutin	cluster
sample-1_3_171347|69|1	sample-1_3_171347	3	209	+	True		cl_565
sample-1_3_171347|178|2	sample-1_3_171347	239	772	+	False		cl_220
sample-1_3_171347|79|3	sample-1_3_171347	774	1010	+	False		cl_151
sample-1_3_171347|63|4	sample-1_3_171347	1013	1201	+	False		cl_887
sample-1_3_171347|548|5	sample-1_3_171347	1220	2863	+	False		cl_819
sample-1_3_171347|194|6	sample-1_3_171347	2863	3444	+	False	gene86	cl_148
sample-1_3_171347|730|7	sample-1_3_171347	3471	5660	+	False	TerL	cl_6
sample-1_3_171347|53|8	sample-1_3_171347	5599	5757	+	False	TerL	cl_574
sample-1_3_171347|103|9	sample-1_3_171347	5741	6049	+	False		cl_754
sample-1_3_171347|393|10	sample-1_3_171347	6018	7196	+	False	portal	cl_114
sample-1_3_171347|348|11	sample-1_3_171347	7519	8562	+	False	portal	cl_114
sample-1_3_171347|258|12	sample-1_3_171347	8564	9337	+	False		cl_487
sample-1_3_171347|66|13	sample-1_3_171347	9315	9512	+	False		cl_567
sample-1_3_171347|922|14	sample-1_3_171347	9499	12264	+	False		cl_322
sample-1_3_171347|51|15	sample-1_3_171347	12372	12524	+	False		
sample-1_3_171347|107|16	sample-1_3_171347	12660	12980	+	False		cl_1094
sample-1_3_171347|40|17	sample-1_3_171347	12987	13106	+	False		cl_322
sample-1_3_171347|80|18	sample-1_3_171347	13088	13327	+	False		cl_322
sample-1_3_171347|127|19	sample-1_3_171347	13762	14142	+	False		cl_322
sample-1_3_171347|165|20	sample-1_3_171347	14188	14682	+	False		cl_322
sample-1_3_171347|77|21	sample-1_3_171347	14765	14995	+	False		cl_322
sample-1_3_171347|373|22	sample-1_3_171347	15008	16126	+	False		cl_280
sample-1_3_171347|387|23	sample-1_3_171347	16129	17289	+	False		cl_707
sample-1_3_171347|527|24	sample-1_3_171347	17345	18925	+	False	38eps	cl_743
sample-1_3_171347|89|25	sample-1_3_171347	19125	19391	-	False		
sample-1_3_171347|302|26	sample-1_3_171347	19563	20468	+	False	38eps	cl_184
sample-1_3_171347|804|27	sample-1_3_171347	20488	22899	+	False		cl_184
sample-1_3_171347|97|28	sample-1_3_171347	22905	23195	+	False		cl_256
sample-1_3_171347|37|29	sample-1_3_171347	23359	23469	+	False		cl_1065
sample-1_3_171347|128|30	sample-1_3_171347	23973	24356	+	False		cl_203
sample-1_3_171347|158|31	sample-1_3_171347	24378	24851	+	False		cl_239
sample-1_3_171347|126|32	sample-1_3_171347	24836	25213	+	False		cl_113
sample-1_3_171347|101|33	sample-1_3_171347	25689	25991	+	False		cl_1052
sample-1_3_171347|67|34	sample-1_3_171347	26286	26486	+	False		cl_150
sample-1_3_171347|248|35	sample-1_3_171347	26443	27186	+	False	gene77	cl_150
sample-1_3_171347|470|36	sample-1_3_171347	27209	28618	+	False	MCP	cl_79
sample-1_3_171347|294|37	sample-1_3_171347	28730	29611	+	False	gene75	cl_152
sample-1_3_171347|240|38	sample-1_3_171347	29759	30478	+	False	GIY	cl_319
sample-1_3_171347|291|39	sample-1_3_171347	30489	31361	+	False	gene74	cl_706
sample-1_3_171347|384|40	sample-1_3_171347	31389	32540	+	False		cl_155
sample-1_3_171347|224|41	sample-1_3_171347	32622	33293	+	False	IHF_54	cl_154
sample-1_3_171347|230|42	sample-1_3_171347	33296	33985	+	False	Ttub	cl_153
sample-1_3_171347|142|43	sample-1_3_171347	33997	34422	+	False		cl_174
sample-1_3_171347|179|44	sample-1_3_171347	34425	34961	+	False	cls246_unk	cl_342
