"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae",610.832400797013,-11.1243897641163,0.894771980998108,-12.4326532349696,1.73769453281608e-35,1.39015562625286e-34
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family",8.68431155362616,-2.73412547523471,0.553810373223689,-4.93693438661967,7.93601557827325e-07,3.1744062313093e-06
