"","Contig","total_PA"
"1","virus_comp_17029_cycle_1",26
"2","virus_comp_13344_cycle_1",23
"3","virus_comp_11357_cycle_1",21
"4","virus_comp_14804_cycle_1",20
"5","virus_comp_15385_cycle_1",20
"6","virus_comp_163_cycle_1",20
"7","virus_comp_16866_cycle_1",20
"8","virus_comp_7868_cycle_1",20
"9","virus_comp_13452_cycle_1",19
"10","virus_comp_14827_cycle_1",19
"11","virus_comp_15170_cycle_1",19
"12","virus_comp_16864_cycle_1",19
"13","virus_comp_169_cycle_1",19
"14","virus_comp_168_cycle_1",17
"15","virus_comp_435_cycle_1",17
"16","virus_comp_164_cycle_1",15
"17","virus_comp_15444_cycle_1",14
"18","edge_1096",14
"19","virus_comp_14805_cycle_1",13
"20","virus_comp_15415_cycle_1",13
"21","virus_comp_271_cycle_1",13
"22","virus_comp_1983_cycle_1",12
"23","virus_comp_269_cycle_1",12
"24","virus_comp_16023_cycle_1",11
"25","virus_comp_16882_cycle_1",11
"26","virus_comp_17079_cycle_1",11
"27","virus_comp_231_cycle_1",11
"28","virus_comp_71_cycle_1",11
"29","virus_comp_8304_cycle_1",11
"30","virus_comp_12435_cycle_1",10
"31","virus_comp_135_cycle_1",10
"32","virus_comp_14862_cycle_1",10
"33","virus_comp_15024_cycle_1",10
"34","virus_comp_15845_cycle_1",10
"35","virus_comp_16522_cycle_1",10
"36","virus_comp_16785_cycle_1",10
"37","virus_comp_22_cycle_1",10
"38","virus_comp_4218_cycle_1",10
"39","virus_comp_69_cycle_1",10
"40","virus_comp_8325_cycle_1",10
"41","edge_449",10
"42","virus_comp_14988_cycle_1",9
"43","virus_comp_15638_cycle_1",9
"44","virus_comp_15851_cycle_1",9
"45","virus_comp_165_cycle_1",9
"46","virus_comp_7297_cycle_1",9
"47","edge_452",9
"48","edge_531",9
"49","virus_comp_1321_cycle_1",8
"50","virus_comp_15325_cycle_1",8
"51","virus_comp_175_cycle_1",8
"52","virus_comp_19_cycle_1",8
"53","virus_comp_233_cycle_1",8
"54","virus_comp_339_cycle_1",8
"55","virus_comp_731_cycle_1",8
"56","virus_comp_16222_cycle_1",7
"57","virus_comp_16622_cycle_1",7
"58","virus_comp_16947_cycle_1",7
"59","virus_comp_170_cycle_1",7
"60","virus_comp_171_cycle_1",7
"61","virus_comp_2872_cycle_1",7
"62","virus_comp_3012_cycle_1",7
"63","virus_comp_374_cycle_1",7
"64","edge_2333",7
"65","edge_644",7
"66","virus_comp_104_cycle_1",6
"67","virus_comp_105_cycle_1",6
"68","virus_comp_1459_cycle_1",6
"69","virus_comp_15520_cycle_1",6
"70","virus_comp_15809_cycle_1",6
"71","virus_comp_1677_cycle_1",6
"72","virus_comp_1694_cycle_1",6
"73","virus_comp_17090_cycle_1",6
"74","virus_comp_17091_cycle_1",6
"75","virus_comp_17093_cycle_1",6
"76","virus_comp_173_cycle_1",6
"77","virus_comp_17347_cycle_1",6
"78","virus_comp_198_cycle_1",6
"79","virus_comp_234_cycle_1",6
"80","virus_comp_253_cycle_3",6
"81","virus_comp_284_cycle_1",6
"82","virus_comp_301_cycle_1",6
"83","virus_comp_623_cycle_1",6
"84","virus_comp_7492_cycle_1",6
"85","virus_comp_7653_cycle_1",6
"86","virus_comp_792_cycle_1",6
"87","virus_comp_795_cycle_1",6
"88","edge_637",6
"89","edge_639",6
"90","virus_comp_11611_cycle_1",5
"91","virus_comp_12592_cycle_1",5
"92","virus_comp_15312_cycle_1",5
"93","virus_comp_15445_cycle_1",5
"94","virus_comp_15882_cycle_1",5
"95","virus_comp_16491_cycle_1",5
"96","virus_comp_1687_cycle_1",5
"97","virus_comp_17098_cycle_1",5
"98","virus_comp_17162_cycle_1",5
"99","virus_comp_172_cycle_1",5
"100","virus_comp_17278_cycle_1",5
"101","virus_comp_17357_cycle_1",5
"102","virus_comp_17570_cycle_1",5
"103","virus_comp_17571_cycle_1",5
"104","virus_comp_1764_cycle_1",5
"105","virus_comp_177_cycle_1",5
"106","virus_comp_17801_cycle_1",5
"107","virus_comp_191_cycle_1",5
"108","virus_comp_270_cycle_1",5
"109","virus_comp_286_cycle_1",5
"110","virus_comp_3628_cycle_1",5
"111","virus_comp_4794_cycle_1",5
"112","virus_comp_896_cycle_1",5
"113","edge_1060",5
"114","edge_640",5
"115","edge_641",5
"116","virus_comp_101_cycle_1",4
"117","virus_comp_103_cycle_1",4
"118","virus_comp_10749_cycle_1",4
"119","virus_comp_1122_cycle_1",4
"120","virus_comp_12088_cycle_1",4
"121","virus_comp_12316_cycle_1",4
"122","virus_comp_12339_cycle_1",4
"123","virus_comp_12590_cycle_1",4
"124","virus_comp_13096_cycle_1",4
"125","virus_comp_1329_cycle_1",4
"126","virus_comp_14573_cycle_1",4
"127","virus_comp_14731_cycle_1",4
"128","virus_comp_14799_cycle_1",4
"129","virus_comp_15340_cycle_1",4
"130","virus_comp_15503_cycle_1",4
"131","virus_comp_15632_cycle_1",4
"132","virus_comp_15743_cycle_1",4
"133","virus_comp_16218_cycle_1",4
"134","virus_comp_16225_cycle_1",4
"135","virus_comp_16235_cycle_1",4
"136","virus_comp_16236_cycle_1",4
"137","virus_comp_16245_cycle_1",4
"138","virus_comp_16293_cycle_1",4
"139","virus_comp_16721_cycle_1",4
"140","virus_comp_16919_cycle_1",4
"141","virus_comp_16987_cycle_1",4
"142","virus_comp_16993_cycle_1",4
"143","virus_comp_17123_cycle_1",4
"144","virus_comp_17175_cycle_1",4
"145","virus_comp_17239_cycle_1",4
"146","virus_comp_17297_cycle_1",4
"147","virus_comp_174_cycle_1",4
"148","virus_comp_17644_cycle_1",4
"149","virus_comp_1765_cycle_1",4
"150","virus_comp_17654_cycle_1",4
"151","virus_comp_17707_cycle_1",4
"152","virus_comp_17747_cycle_1",4
"153","virus_comp_17953_cycle_1",4
"154","virus_comp_18022_cycle_1",4
"155","virus_comp_18078_cycle_1",4
"156","virus_comp_190_cycle_1",4
"157","virus_comp_20_cycle_1",4
"158","virus_comp_2069_cycle_1",4
"159","virus_comp_21_cycle_1",4
"160","virus_comp_2556_cycle_1",4
"161","virus_comp_2763_cycle_1",4
"162","virus_comp_2833_cycle_1",4
"163","virus_comp_285_cycle_1",4
"164","virus_comp_287_cycle_1",4
"165","virus_comp_298_cycle_2",4
"166","virus_comp_348_cycle_1",4
"167","virus_comp_372_cycle_1",4
"168","virus_comp_4080_cycle_1",4
"169","virus_comp_4426_cycle_1",4
"170","virus_comp_4854_cycle_1",4
"171","virus_comp_5092_cycle_1",4
"172","virus_comp_5196_cycle_1",4
"173","virus_comp_5423_cycle_1",4
"174","virus_comp_571_cycle_2",4
"175","virus_comp_708_cycle_1",4
