"","orf","total_PA"
"1","virus_comp_2813_cycle_1_6",284
"2","virus_comp_18378_cycle_1_1",157
"3","virus_comp_2455_cycle_1_11",120
"4","virus_comp_5117_cycle_1_1",69
"5","virus_comp_16559_cycle_1_3",68
"6","virus_comp_5117_cycle_1_4",67
"7","virus_comp_8074_cycle_1_1",67
"8","virus_comp_103_cycle_1_4",66
"9","virus_comp_14463_cycle_1_1",66
"10","virus_comp_7129_cycle_1_3",65
"11","virus_comp_16559_cycle_1_2",64
"12","virus_comp_16559_cycle_1_1",63
"13","virus_comp_8200_cycle_1_1",63
"14","virus_comp_5552_cycle_1_3",62
"15","virus_comp_15228_cycle_1_1",61
"16","virus_comp_4028_cycle_1_2",61
"17","virus_comp_7129_cycle_1_1",61
"18","virus_comp_4028_cycle_1_1",60
"19","virus_comp_5117_cycle_1_2",58
"20","virus_comp_17783_cycle_1_5",57
"21","virus_comp_103_cycle_1_3",56
"22","virus_comp_99_cycle_1_1",56
"23","virus_comp_5117_cycle_1_3",53
"24","virus_comp_8200_cycle_1_2",53
"25","virus_comp_15228_cycle_1_2",52
"26","virus_comp_6408_cycle_1_1",50
"27","virus_comp_104_cycle_1_1",48
"28","virus_comp_18003_cycle_1_1",48
"29","virus_comp_2552_cycle_1_1",48
"30","virus_comp_2265_cycle_1_3",46
"31","virus_comp_36_cycle_2_16",46
"32","virus_comp_36_cycle_2_17",45
"33","virus_comp_36_cycle_2_10",44
"34","virus_comp_36_cycle_2_19",44
"35","virus_comp_36_cycle_2_3",44
"36","virus_comp_13180_cycle_1_1",43
"37","virus_comp_36_cycle_2_20",43
"38","virus_comp_2551_cycle_1_1",42
"39","virus_comp_36_cycle_2_6",41
"40","virus_comp_36_cycle_2_9",41
"41","virus_comp_99_cycle_1_2",41
"42","virus_comp_36_cycle_2_18",40
"43","virus_comp_2506_cycle_1_4",39
"44","virus_comp_17783_cycle_1_3",38
"45","virus_comp_17783_cycle_1_6",38
"46","virus_comp_1102_cycle_1_1",37
"47","virus_comp_36_cycle_2_106",37
"48","virus_comp_36_cycle_2_15",37
"49","virus_comp_36_cycle_2_2",37
"50","virus_comp_36_cycle_2_95",37
"51","virus_comp_6408_cycle_1_4",37
"52","virus_comp_15228_cycle_1_3",36
"53","virus_comp_36_cycle_2_14",36
"54","virus_comp_36_cycle_2_8",36
"55","virus_comp_12_cycle_1_8",35
"56","virus_comp_36_cycle_2_7",35
"57","virus_comp_36_cycle_2_94",35
"58","virus_comp_54_cycle_1_2",35
"59","virus_comp_103_cycle_1_1",34
"60","virus_comp_2223_cycle_1_8",34
"61","virus_comp_36_cycle_2_11",34
"62","virus_comp_36_cycle_2_12",34
"63","virus_comp_42_cycle_1_2",34
"64","virus_comp_17776_cycle_1_4",33
"65","virus_comp_2223_cycle_1_7",33
"66","virus_comp_2332_cycle_1_4",33
"67","virus_comp_2334_cycle_1_9",33
"68","virus_comp_36_cycle_2_4",33
"69","virus_comp_54_cycle_1_1",33
"70","virus_comp_6161_cycle_1_4",33
