contigID	superkingdom	phylum	class	order	family	genus	species
virus_comp_5187_cycle_1	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	Microviridae sp.
virus_comp_5200_cycle_1	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	NA
virus_comp_5208_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Leicestervirus	NA
virus_comp_5212_cycle_1	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	Microviridae sp.
virus_comp_5292_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_5297_cycle_1	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	Microviridae sp.
virus_comp_5315_cycle_1	Viruses	NA	NA	NA	NA	NA	NA
virus_comp_5320_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Teubervirus	NA
virus_comp_5357_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_5366_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_5367_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_5368_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_5371_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_5375_cycle_1	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	Microviridae sp.
virus_comp_5489_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_5502_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Gofduovirus	NA
virus_comp_5503_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_5504_cycle_1	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.
virus_comp_5511_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_5513_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_5574_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_5578_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Jimmervirus	NA
virus_comp_5582_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_5586_cycle_1	Viruses	NA	NA	NA	NA	NA	uncultured phage
virus_comp_5587_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_6617_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Cecivirus	NA
virus_comp_6623_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11238_cycle_1	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.
virus_comp_11239_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11257_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Siphoviridae sp. ctwNf2
virus_comp_11280_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11281_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11291_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Yongloolinvirus	NA
virus_comp_11305_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
virus_comp_11315_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11325_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Coetzeevirus	NA
virus_comp_11341_cycle_1	Viruses	NA	NA	NA	NA	NA	NA
virus_comp_11353_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_11357_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11362_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_11365_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_11385_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11395_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11415_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
virus_comp_11418_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11434_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11443_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	Skunavirus	NA
virus_comp_11447_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11450_cycle_1	Viruses	NA	NA	NA	NA	NA	NA
virus_comp_11453_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11460_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11469_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
virus_comp_11480_cycle_1	Viruses	Uroviricota	Caudoviricetes	NA	NA	NA	NA
