query_id	query_length	hit_accession	hit_description	hit_length	e_value	identity	align_length	percent_identity	coverage	query_start	query_end	subject_start	subject_end	strand	Species	mapping_completeness
contig_10196	2201	OQ091474	Coxsackievirus A4 strain CVA4_180054630902_FRA18, complete genome	7413	0.0	2163	2201	98.27	100.0	1	2201	1111	3311	plus	Coxsackievirus A4	complete genome
contig_10454	2168	PP193995	MAG: Rhinovirus A12 isolate RV-A12/USA/089002/2022 polyprotein gene, partial cds	6557	0.0	2125	2168	98.02	100.0	1	2168	4245	2078	minus	Rhinovirus A12	partial cds
contig_10594	2150	OQ424532	MAG: Riboviria sp. isolate Red-flankedBluetail198_contig_256 genomic sequence	5568	0.0	1378	1463	94.19	68.05	26	1488	4106	5568	plus	Riboviria sp.	genomic sequence
contig_11106	2093	OQ091651	Coxsackievirus A16 strain CVA16_316188110_FRA16, complete genome	7409	0.0	2052	2093	98.04	100.0	1	2093	7110	5018	minus	Coxsackievirus A16	complete genome
contig_13618	1856	PP193995	MAG: Rhinovirus A12 isolate RV-A12/USA/089002/2022 polyprotein gene, partial cds	6557	0.0	1804	1839	98.1	99.08	3	1841	1	1839	plus	Rhinovirus A12	partial cds
contig_15445	1736	OQ091474	Coxsackievirus A4 strain CVA4_180054630902_FRA18, complete genome	7413	0.0	1707	1736	98.33	100.0	1	1736	6288	4553	minus	Coxsackievirus A4	complete genome
contig_17084	1644	OP896717	Coxsackievirus A6 strain CU3495_THA2019 polyprotein gene, partial cds	7193	0.0	1628	1644	99.03	100.0	1	1644	579	2222	plus	Coxsackievirus A6	partial cds
contig_18302	1586	LC318432	Human parechovirus 1 gene for polyprotein, partial cds, strain: 31170176	6795	0.0	1401	1538	91.09	96.97	1	1537	5179	3642	minus	Human parechovirus 1	partial cds
contig_24559	1368	JN652233	Saffold virus strain S19 polyprotein gene, complete cds	7886	0.0	1248	1326	94.12	96.93	26	1351	1476	2799	plus	Saffold virus	complete cds
contig_27255	1300	MW373943	Human enterovirus isolate NIG-18-415-008 polyprotein gene, partial cds	3864	0.0	1181	1288	91.69	99.08	1	1288	1175	2462	plus	Human enterovirus	partial cds
contig_292	7418	HQ728260	Human coxsackievirus A4 strain CVA4/SZ/CHN/09, complete genome	7434	0.0	6545	7345	89.11	99.02	39	7381	92	7434	plus	Human coxsackievirus A4	complete genome
contig_29259	1256	OL839945	Coxsackievirus A6 strain HF281/YunN, complete genome	7413	0.0	1239	1256	98.65	100.0	1	1256	4958	3703	minus	Coxsackievirus A6	complete genome
contig_30058	1240	OR728261	Human parechovirus 1B strain HPeV-1B/USA/WA-UW-6bd44/2021, complete genome	7268	0.0	1222	1240	98.55	100.0	1	1240	5530	6769	plus	Human parechovirus 1B	complete genome
contig_3069	8633	MN609855	Leveillula taurica associated picorna-like virus 1 isolate PM-A_DN31116 putative capsid protein and putative RdRp genes, complete cds	8937	0.0	8526	8634	98.75	100.01	1	8633	8826	195	minus	Leveillula taurica associated picorna-like virus 1	complete cds
contig_3096	8415	KY369904	Coxsackievirus B4 strain EPV3715, complete genome	7368	0.0	7093	7352	96.48	87.37	1064	8415	1	7328	plus	Coxsackievirus B4	complete genome
contig_3146	7980	JN652232	Saffold virus isolate S14 polyprotein gene, complete cds	7887	0.0	7195	7854	91.61	98.42	127	7980	1	7854	plus	Saffold virus	complete cds
contig_3176	7701	FN999911	Saffold virus gene for viral polyprotein, strain Nijmegen2008	8045	0.0	6991	7700	90.79	99.99	1	7697	7799	106	minus	Saffold virus	
contig_3214	7499	PP585432	Enterovirus A71 strain EVA71_2300151472_FRA23 polyprotein gene, complete cds	7403	0.0	7226	7339	98.46	97.87	165	7499	63	7401	plus	Enterovirus A71	complete cds
contig_3224	7475	KY674974	Coxsackievirus A9 strain 16C2, complete genome	7387	0.0	7065	7415	95.28	99.2	13	7427	1	7387	plus	Coxsackievirus A9	complete genome
contig_3225	7385	PP585330	Coxsackievirus A6 strain CVA6_1700689224_FRA17 polyprotein gene, complete cds	7427	0.0	7289	7384	98.71	99.99	1	7384	44	7427	plus	Coxsackievirus A6	complete cds
contig_3229	7439	ON497130	Human parechovirus 1 isolate FI0114, complete genome	7301	0.0	6879	7290	94.36	98.0	134	7419	21	7292	plus	Human parechovirus 1	complete genome
contig_3233	7406	OQ091464	Coxsackievirus A4 strain CVA4_210040002902_FRA21, complete genome	7423	0.0	7161	7339	97.57	99.1	35	7373	86	7423	plus	Coxsackievirus A4	complete genome
contig_3235	7404	MH111017	Coxsackievirus A2 isolate C108/CHW/AUS/2016 polyprotein gene, complete cds	7355	0.0	7195	7355	97.82	99.34	34	7386	1	7355	plus	Coxsackievirus A2	complete cds
contig_3241	7383	KP036483	Coxsackievirus A14 isolate PZ15G/JS/2012, complete genome	7400	0.0	6518	7301	89.28	98.89	43	7341	100	7398	plus	Coxsackievirus A14	complete genome
contig_3249	7381	MZ634354	Echovirus E6 strain K220/10K3/YN/CHN/2019, complete genome	7434	0.0	6777	7377	91.87	99.95	1	7372	34	7380	plus	Echovirus E6	complete genome
contig_3260	7273	OP207971	Echovirus E3 isolate JH-114/2019, complete genome	7223	0.0	6365	7192	88.5	98.89	14	7200	7188	1	minus	Echovirus E3	complete genome
contig_3263	7276	LC318432	Human parechovirus 1 gene for polyprotein, partial cds, strain: 31170176	6795	0.0	6326	6796	93.08	93.4	210	7005	6795	1	minus	Human parechovirus 1	partial cds
contig_3276	7230	LC318432	Human parechovirus 1 gene for polyprotein, partial cds, strain: 31170176	6795	0.0	6228	6795	91.66	93.98	233	7027	1	6795	plus	Human parechovirus 1	partial cds
contig_3279	7221	MT814407	Coxsackievirus A6 strain CVA6 -3140630761-FRA-2014, complete genome	7436	0.0	6891	7203	95.67	99.75	1	7203	162	7364	plus	Coxsackievirus A6	complete genome
contig_3280	7220	ON497141	Human parechovirus 5 isolate 20552322, complete genome	7342	0.0	6334	7225	87.67	100.07	4	7220	42	7259	plus	Human parechovirus 5	complete genome
contig_3287	7195	MF422564	Echovirus E25 strain 61241-70868 polyprotein gene, complete cds	7332	0.0	6889	7195	95.75	100.0	1	7195	101	7281	plus	Echovirus E25	complete cds
contig_3290	7193	ON497130	Human parechovirus 1 isolate FI0114, complete genome	7301	0.0	6780	7184	94.38	99.87	6	7183	31	7197	plus	Human parechovirus 1	complete genome
contig_3292	7162	KX499536	Coxsackievirus B2 strain RW41-2/YN/CHN/2012, complete genome	7405	0.0	6811	7162	95.1	100.0	1	7162	34	7195	plus	Coxsackievirus B2	complete genome
