contigID	evalue	pident	fident	nident	mismatch	qcov	tcov	qstart	qend	qlen	tstart	tend	tlen	alnlen	bits	target	kingdom	phylum	class	order	family	genus	species
contig_3146	0.00E+00	91.3	0.913	0	689	0.992	0.984	64	7980	7980	123	8037	8045	7917	11124	tid|434309|FN999911.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cardiovirus	Cardiovirus B
contig_3249	0.00E+00	91.3	0.913	0	639	0.999	0.994	1	7372	7381	22	7368	7395	7372	10279	tid|12062|JX976771.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B
contig_3176	0.00E+00	90.7	0.907	0	715	0.999	0.956	7695	1	7701	109	7799	8045	7695	10592	tid|434309|FN999911.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cardiovirus	Cardiovirus B
contig_292	0.00E+00	88.6	0.886	0	830	0.982	1	47	7328	7418	1	7280	7280	7282	9346	tid|42785|MF422544.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_49004	0.00E+00	87.2	0.872	0	863	1	0.91	1	6745	6745	379	7123	7413	6745	8225	tid|47506|HM777023.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B
contig_3235	0.00E+00	97.8	0.978	0	162	0.993	1	34	7386	7404	1	7355	7355	7355	12459	tid|33757|MH111017.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_24559	0.00E+00	94	0.94	0	79	0.97	0.168	25	1351	1368	1473	2797	7885	1327	2022	tid|434309|JN652231.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cardiovirus	Cardiovirus B
contig_10196	0.00E+00	91.4	0.914	0	189	1	0.303	1	2201	2201	941	3141	7267	2201	3098	tid|42785|MH780731.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_3299	0.00E+00	97	0.97	0	213	0.998	0.968	7	7116	7126	185	7295	7348	7111	11805	tid|12063|JX575746.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A
contig_8104	0.00E+00	92.3	0.923	0	195	0.993	0.353	18	2575	2575	33	2571	7189	2558	3665	tid|47516|FJ766334.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B
contig_33655	0.00E+00	98.3	0.983	0	20	0.989	0.301	1162	1	1175	1367	2528	3855	1162	1998	tid|31704|MH361019.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_9975	1.34E-61	92.8	0.928	0	12	0.075	0.023	167	1	2230	5027	5193	7385	167	247	tid|42785|MH111027.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_4215	0.00E+00	98	0.98	0	97	1	0.66	4863	1	4863	46	4908	7363	4863	8293	tid|31704|MH111070.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_3279	0.00E+00	95.5	0.955	0	324	0.997	0.969	1	7200	7221	162	7361	7434	7200	11459	tid|86107|MT814613.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_49016	0.00E+00	87.7	0.877	0	877	0.981	0.988	7265	136	7265	83	7212	7214	7130	8856	tid|33757|MG571858.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_27255	0.00E+00	89	0.89	0	141	0.987	0.185	6	1288	1300	1269	2551	6946	1283	1669	tid|33757|MF678310.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_43881	0.00E+00	94.1	0.941	0	59	0.964	0.136	1042	39	1042	3855	4858	7396	1004	1536	tid|42788|KP765687.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_3229	0.00E+00	93.7	0.937	0	458	0.98	0.999	133	7419	7439	3	7271	7273	7287	10981	tid|411152|EU077518.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A
contig_9150	0.00E+00	84.7	0.847	0	359	1	0.317	2	2351	2351	3706	6055	7419	2350	2604	tid|39054|MG672479.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_3260	0.00E+00	87	0.87	0	918	0.971	0.982	7273	212	7273	127	7188	7189	7062	8540	tid|47516|FJ766334.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B
contig_3301	0.00E+00	86.1	0.861	0	782	0.979	0.821	5753	124	5753	1226	6855	6859	5630	6595	tid|1803956|KY351623.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A
contig_3290	0.00E+00	95.3	0.953	0	322	0.956	0.999	257	7134	7193	1	6862	6869	6878	10843	tid|411152|MF797937.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A
contig_13618	0.00E+00	97.1	0.971	0	54	0.995	0.274	3	1849	1856	1	1847	6752	1847	3078	tid|147684|MN369040.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A
contig_3516	0.00E+00	95.4	0.954	0	300	1	0.88	2	6521	6521	749	7268	7411	6520	10361	tid|12078|MN749159.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B
contig_3096	0.00E+00	96.4	0.964	0	264	0.874	0.995	1064	8415	8415	1	7328	7368	7352	11959	tid|12073|KY369904.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B
contig_3263	0.00E+00	87.9	0.879	0	875	0.994	0.987	7270	38	7276	40	7271	7329	7233	9031	tid|12063|KC769584.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A
contig_3303	0.00E+00	86	0.86	0	782	1	0.815	1	5587	5587	1225	6811	6859	5587	6531	tid|1803956|KY351623.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A
contig_3225	0.00E+00	98.5	0.985	0	111	1	0.993	1	7385	7385	44	7427	7434	7385	12745	tid|86107|MT814571.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_44945	0.00E+00	90.9	0.909	0	92	0.984	0.247	1027	13	1032	1242	2256	4110	1015	1408	tid|47506|HF948107.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B
contig_42204	0.00E+00	85.1	0.851	0	157	1	0.146	1	1058	1058	3159	4216	7267	1058	1194	tid|42785|MH780731.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_10454	0.00E+00	96.2	0.962	0	82	1	0.305	2168	1	2168	2442	4609	7118	2168	3518	tid|147684|KX398052.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A
contig_49003	0.00E+00	91.4	0.914	0	558	1	0.892	6484	1	6484	438	6921	7267	6484	9132	tid|42785|MH780731.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_3224	0.00E+00	95.2	0.952	0	355	0.992	1	13	7427	7475	1	7387	7387	7415	11654	tid|12067|KY674974.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B
contig_3287	0.00E+00	94.6	0.946	0	388	1	0.965	1	7195	7195	123	7303	7438	7195	11126	tid|45101|KX139459.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B
contig_3292	0.00E+00	95	0.95	0	358	1	0.967	1	7162	7162	34	7195	7405	7162	11261	tid|82639|KX499536.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B
contig_3302	0.00E+00	95.2	0.952	0	61	1	0.184	1278	1	1278	8	1283	6946	1278	2015	tid|12063|MF797939.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A
contig_3280	0.00E+00	87.1	0.871	0	931	1	0.98	1	7220	7220	71	7291	7366	7221	8778	tid|362784|DQ315670.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A
contig_18302	0.00E+00	91	0.91	0	138	0.968	0.226	1535	1	1586	3645	5179	6795	1535	2138	tid|12063|LC318432.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A
contig_3276	0.00E+00	91.6	0.916	0	571	0.94	1	233	7027	7230	1	6795	6795	6795	9636	tid|12063|LC318432.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A
contig_3241	0.00E+00	89.2	0.892	0	788	0.989	0.986	42	7341	7383	99	7398	7400	7300	9560	tid|42773|KP036483.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_3295	0.00E+00	94.3	0.943	0	407	0.998	0.97	7146	12	7146	60	7195	7358	7136	10978	tid|42786|MH111031.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_49002	0.00E+00	95.5	0.955	0	329	0.998	0.99	12	7313	7313	1	7302	7378	7302	11633	tid|42785|KY271949.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
contig_30058	0.00E+00	87.7	0.877	0	152	1	0.181	1	1240	1240	5264	6503	6860	1240	1542	tid|1803956|KY351620.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Parechovirus	Parechovirus A
contig_3233	0.00E+00	91.5	0.915	0	617	0.981	0.999	120	7381	7406	1	7262	7267	7262	10267	tid|42785|MH780731.1	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus A
