"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",2.35177472135904,-2.67488028032145,0.65670878873462,-4.07316047265873,4.63794448258255e-05,0.000324656113780779
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",2.19527986742192,-2.61035598253273,0.619079710187189,-4.21651031293441,2.48111945658217e-05,0.000198489556526574
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 1",7.60198358314829,-6.63067514379967,0.725124453365141,-9.14418912922903,6.00788742753495e-20,3.36441695941957e-18
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;unclassified Caliciviridae genus;unclassified Caliciviridae species",417.73341496943,5.53855729906934,0.889247717214846,6.22836268437808,4.71334937078789e-10,1.31973782382061e-08
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;unclassified Picornavirales species",4.46474845877351,-3.80653542416825,0.635918494491501,-5.98588570255701,2.15215466206458e-09,4.01735536918722e-08
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Astrovirus VA3",3.21556163259616,-2.83568352517811,0.582624094409598,-4.86708935038406,1.13253834255162e-06,1.05703578638151e-05
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Primate astrovirus",3.08215235842311,3.59298692290605,0.689169801131741,5.21350023899149,1.85310291545519e-07,2.07547526530981e-06
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus B",1.17749933936673,1.69204469526227,0.50924023015289,3.32268464876442,0.000891556426139641,0.00453883271489272
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus C",43.9079356844051,4.26679045415911,0.794723084302539,5.36890212255972,7.92173944798004e-08,1.10904352271721e-06
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;unclassified Adenoviridae genus;Pan troglodytes adenovirus",1.18940978850343,1.58708951310998,0.535654643257245,2.96289695812044,0.00304758570070342,0.0131280614799532
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 8",2.08186313078161,-2.42374514875844,0.606657618757209,-3.99524389675299,6.46276859336346e-05,0.00040212782358706
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Torque teno virus",141.44298074261,-3.12717765083705,0.994691806218661,-3.14386590025817,0.00166731826186315,0.00778081855536136
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;unclassified Anelloviridae species",558.761676398655,-3.59301194976331,1.05744082201294,-3.39783737772074,0.000679207818774024,0.00380356378513453
