"","orf","total_PA"
"158","virus_comp_4830_cycle_1_5",9
"159","virus_comp_593_cycle_1_114",9
"160","virus_comp_593_cycle_1_28",9
"161","virus_comp_7056_cycle_1_2",9
"162","virus_comp_722_cycle_1_44",9
"163","virus_comp_722_cycle_1_46",9
"164","virus_comp_73_cycle_1_8",9
"165","virus_comp_7974_cycle_1_2",9
"166","edge_1847_24",9
"167","edge_187_3",9
"168","edge_187_6",9
"169","edge_187_8",9
"170","edge_1979_7",9
"171","edge_1980_4",9
"172","edge_1986_3",9
"173","edge_1990_4",9
"174","edge_2194_15",9
"175","edge_2194_16",9
"176","edge_300_2",9
"177","edge_311_12",9
"178","edge_311_15",9
"179","edge_311_19",9
"180","edge_329_26",9
"181","edge_48666_1",9
"182","edge_48666_2",9
"183","edge_957_36",9
"184","virus_comp_1103_cycle_1_10",8
"185","virus_comp_1133_cycle_1_8",8
"186","virus_comp_11443_cycle_1_1",8
"187","virus_comp_11535_cycle_1_1",8
"188","virus_comp_12_cycle_1_8",8
"189","virus_comp_12691_cycle_1_1",8
"190","virus_comp_1392_cycle_1_1",8
"191","virus_comp_14703_cycle_1_2",8
"192","virus_comp_1727_cycle_1_2",8
"193","virus_comp_17778_cycle_1_2",8
"194","virus_comp_17808_cycle_1_1",8
"195","virus_comp_17866_cycle_1_50",8
"196","virus_comp_17889_cycle_1_15",8
"197","virus_comp_17903_cycle_1_17",8
"198","virus_comp_17903_cycle_1_28",8
"199","virus_comp_17903_cycle_1_30",8
"200","virus_comp_17903_cycle_1_37",8
"201","virus_comp_17903_cycle_1_4",8
"202","virus_comp_17903_cycle_1_40",8
"203","virus_comp_17903_cycle_1_43",8
"204","virus_comp_17903_cycle_1_44",8
"205","virus_comp_17903_cycle_1_46",8
"206","virus_comp_17903_cycle_1_8",8
"207","virus_comp_17910_cycle_1_47",8
"208","virus_comp_18118_cycle_1_10",8
"209","virus_comp_18118_cycle_1_8",8
"210","virus_comp_18182_cycle_1_3",8
"211","virus_comp_18182_cycle_1_4",8
"212","virus_comp_18182_cycle_1_5",8
"213","virus_comp_18364_cycle_1_1",8
"214","virus_comp_2080_cycle_1_8",8
"215","virus_comp_2119_cycle_1_3",8
"216","virus_comp_2169_cycle_1_12",8
"217","virus_comp_2195_cycle_1_4",8
"218","virus_comp_2383_cycle_1_11",8
"219","virus_comp_2383_cycle_1_7",8
"220","virus_comp_2393_cycle_1_4",8
"221","virus_comp_2394_cycle_1_2",8
"222","virus_comp_2394_cycle_1_4",8
"223","virus_comp_2396_cycle_1_7",8
"224","virus_comp_2438_cycle_1_12",8
"225","virus_comp_2438_cycle_1_14",8
"226","virus_comp_2438_cycle_1_6",8
"227","virus_comp_2476_cycle_1_2",8
"228","virus_comp_250_cycle_1_106",8
"229","virus_comp_250_cycle_1_124",8
"230","virus_comp_250_cycle_1_125",8
"231","virus_comp_250_cycle_1_137",8
"232","virus_comp_250_cycle_1_138",8
"233","virus_comp_250_cycle_1_140",8
"234","virus_comp_250_cycle_1_151",8
"235","virus_comp_250_cycle_1_159",8
"236","virus_comp_250_cycle_1_160",8
"237","virus_comp_250_cycle_1_163",8
"238","virus_comp_250_cycle_1_166",8
"239","virus_comp_250_cycle_1_177",8
"240","virus_comp_2559_cycle_1_3",8
"241","virus_comp_2945_cycle_1_3",8
"242","virus_comp_36_cycle_2_95",8
"243","virus_comp_407_cycle_1_13",8
"244","virus_comp_4351_cycle_1_2",8
"245","virus_comp_4351_cycle_1_3",8
"246","virus_comp_5321_cycle_1_3",8
"247","virus_comp_589_cycle_1_71",8
"248","virus_comp_593_cycle_1_111",8
"249","virus_comp_593_cycle_1_115",8
"250","virus_comp_593_cycle_1_118",8
"251","virus_comp_593_cycle_1_119",8
"252","virus_comp_593_cycle_1_27",8
"253","virus_comp_606_cycle_1_1",8
"254","virus_comp_722_cycle_1_49",8
"255","virus_comp_729_cycle_1_14",8
"256","virus_comp_729_cycle_1_50",8
"257","virus_comp_73_cycle_1_10",8
"258","virus_comp_73_cycle_1_12",8
"259","virus_comp_73_cycle_1_17",8
"260","virus_comp_73_cycle_1_19",8
"261","virus_comp_73_cycle_1_4",8
"262","virus_comp_73_cycle_1_9",8
"263","virus_comp_733_cycle_1_29",8
"264","virus_comp_733_cycle_1_30",8
"265","virus_comp_733_cycle_1_41",8
"266","virus_comp_7998_cycle_1_2",8
"267","virus_comp_7998_cycle_1_4",8
"268","virus_comp_808_cycle_4_1",8
"269","virus_comp_808_cycle_4_11",8
"270","virus_comp_808_cycle_4_13",8
"271","virus_comp_808_cycle_4_14",8
"272","virus_comp_808_cycle_4_15",8
"273","virus_comp_808_cycle_4_17",8
"274","virus_comp_808_cycle_4_2",8
"275","virus_comp_808_cycle_4_23",8
"276","virus_comp_808_cycle_4_24",8
"277","virus_comp_808_cycle_4_25",8
"278","virus_comp_808_cycle_4_26",8
"279","virus_comp_808_cycle_4_27",8
"280","virus_comp_808_cycle_4_29",8
"281","virus_comp_808_cycle_4_31",8
"282","virus_comp_808_cycle_4_32",8
"283","virus_comp_808_cycle_4_33",8
"284","virus_comp_808_cycle_4_34",8
