,02_GEMM_006_12M,02_GEMM_006_24M,02_GEMM_006_48M,02_GEMM_010_12M,02_GEMM_010_18M,02_GEMM_013_18M,02_GEMM_013_24M,02_GEMM_019_12M,02_GEMM_019_18M,02_GEMM_019_24M,02_GEMM_019_30M,02_GEMM_019_36M,02_GEMM_019_48M,02_GEMM_020_12M,02_GEMM_020_18M,02_GEMM_020_24M,02_GEMM_020_30M,02_GEMM_021_12M,02_GEMM_021_18M,02_GEMM_021_24M,02_GEMM_021_30M,02_GEMM_021_48M,02_GEMM_021_60M,02_GEMM_024_18M,02_GEMM_027_12M,02_GEMM_027_18M,02_GEMM_030_18M,02_GEMM_030_24M,02_GEMM_031_18M,02_GEMM_031_24M,02_GEMM_034_12M,02_GEMM_034_18M,02_GEMM_035_12M,02_GEMM_038_18M,02_GEMM_038_24M,02_GEMM_038_30M,02_GEMM_038_36M,02_GEMM_045_12M,02_GEMM_045_18M,02_GEMM_045_24M,02_GEMM_045_30M,02_GEMM_045_36M,02_GEMM_047_12M,02_GEMM_047_18M,02_GEMM_047_24M,02_GEMM_047_30M,02_GEMM_050_12M,02_GEMM_050_18M,02_GEMM_050_24M,02_GEMM_050_30M,02_GEMM_050_36M,02_GEMM_050_48M,02_GEMM_058_12M,02_GEMM_058_18M,02_GEMM_070_12M,02_GEMM_070_18M,02_GEMM_070_30M,02_GEMM_077_18M,02_GEMM_090_12M,02_GEMM_090_18M,02_GEMM_090_24M,02_GEMM_090_30M,02_GEMM_101_12M,02_GEMM_101_18M,02_GEMM_115_12M,02_GEMM_115_18M,02_GEMM_115_24M,02_GEMM_115_30M,02_GEMM_115_36M,02_GEMM_115_48M,02_GEMM_120_12M,02_GEMM_120_18M,02_GEMM_134_12M,02_GEMM_134_18M,02_GEMM_134_30M,02_GEMM_134_36M,02_GEMM_134_48M,02_GEMM_141_12M,02_GEMM_141_18M,02_GEMM_151_12M,02_GEMM_151_18M,02_GEMM_158_12M,02_GEMM_158_18M,02_GEMM_174_12M,02_GEMM_174_18M,02_GEMM_177_12M,02_GEMM_177_18M,02_GEMM_177_24M,02_GEMM_177_36M,02_GEMM_177_48M,02_GEMM_179_18M,02_GEMM_179_24M,02_GEMM_179_30M,02_GEMM_194_12M,02_GEMM_194_18M,02_GEMM_228_30M
virus_comp_7129_cycle_1_1,0,0,393,0,0,0,0,0,23,196,204,0,0,0,0,0,203,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,92,22,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,9,177,20,70,4,0,2272,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_99_cycle_1_1,0,0,5526,0,0,0,0,0,51,8845,1357,0,0,0,0,0,828,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1941,466,132,0,0,16,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936,0,0,130,1096,1700,724,0,0,20491,0,1343,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_4028_cycle_1_1,0,0,533,0,0,0,0,0,12,268,1279,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,17,6,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,131,26,35,1,0,393,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_15228_cycle_1_1,0,0,943,0,0,0,0,0,3,691,1788,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,14,14,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,309,49,140,0,0,934,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_8200_cycle_1_2,0,0,10387,0,0,0,0,0,66,8025,1747,0,0,0,0,0,1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753,592,178,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5770,0,0,646,3220,2897,596,0,0,73489,0,1715,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_1133_cycle_1_5,0,0,524,0,0,0,179,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74,0,0,82,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,128,47,0,0,0,0,0,0,0,0,0,0,0,0,0,836,5264,15450,0,0,31
virus_comp_15228_cycle_1_2,0,0,2933,0,0,0,0,0,42,3324,6587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,73,35,0,0,14,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,543,145,242,0,0,2760,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_5117_cycle_1_3,0,0,84531,0,0,0,0,0,0,0,0,0,0,0,0,0,16615,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3801,1975,999,0,0,33,0,0,0,8108,0,0,0,0,0,0,0,0,0,0,0,0,0,141,82161,0,0,904,48745,60278,0,0,0,391362,0,7399,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_6408_cycle_1_1,0,0,2926,0,0,0,0,0,12,135,544,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,14,3,228,2,0,2076,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0
virus_comp_1102_cycle_1_1,0,0,0,0,0,0,0,0,0,2006,2724,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,0,0,481,286,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,717,1605,1743,0,0,0
