"","Case_onset","Case_precede_24M"
"Viruses.Cossaviricota.Quintoviricetes.Piccovirales.Parvoviridae.Bocaparvovirus.Bocaparvovirus.sp.",0,0
"Viruses.Cossaviricota.Quintoviricetes.Piccovirales.Parvoviridae.Bocaparvovirus.Bocavirus.PgBoV.1",0,0
"Viruses.Cossaviricota.Quintoviricetes.Piccovirales.Parvoviridae.Bocaparvovirus.Primate.bocaparvovirus.1",0,0
"Viruses.Pisuviricota.Pisoniviricetes.Picornavirales.Caliciviridae.unclassified.Caliciviridae.genus.unclassified.Caliciviridae.species",0,1
"Viruses.Pisuviricota.Pisoniviricetes.Picornavirales.unclassified.Picornavirales.family.unclassified.Picornavirales.genus.unclassified.Picornavirales.species",0,0
"Viruses.Pisuviricota.Stelpaviricetes.Stellavirales.Astroviridae.unclassified.Astroviridae.genus.Astrovirus.VA3",0,0
"Viruses.Pisuviricota.Stelpaviricetes.Stellavirales.Astroviridae.unclassified.Astroviridae.genus.Primate.astrovirus",0,0
"Viruses.Preplasmiviricota.Tectiliviricetes.Rowavirales.Adenoviridae.Mastadenovirus.Human.mastadenovirus.B",0,31
"Viruses.Preplasmiviricota.Tectiliviricetes.Rowavirales.Adenoviridae.Mastadenovirus.Human.mastadenovirus.C",0,28
"Viruses.Preplasmiviricota.Tectiliviricetes.Rowavirales.Adenoviridae.unclassified.Adenoviridae.genus.Pan.troglodytes.adenovirus",0,6
"Viruses.unclassified.Viruses.phylum.unclassified.Viruses.class.unclassified.Viruses.order.Anelloviridae.Betatorquevirus.Torque.teno.mini.virus.8",0,0
"Viruses.unclassified.Viruses.phylum.unclassified.Viruses.class.unclassified.Viruses.order.Anelloviridae.unclassified.Anelloviridae.genus.Torque.teno.virus",41,180
"Viruses.unclassified.Viruses.phylum.unclassified.Viruses.class.unclassified.Viruses.order.Anelloviridae.unclassified.Anelloviridae.genus.unclassified.Anelloviridae.species",235,1126
