"","Case_onset","Case_precede_18M"
"Viruses.Cossaviricota.Quintoviricetes.Piccovirales.Parvoviridae.Bocaparvovirus.Bocavirus.PgBoV.1",0,1
"Viruses.Cossaviricota.Quintoviricetes.Piccovirales.Parvoviridae.Bocaparvovirus.Primate.bocaparvovirus.1",8,36
"Viruses.Cossaviricota.Quintoviricetes.Piccovirales.Parvoviridae.Dependoparvovirus.Adeno.associated.dependoparvovirus.A",544,0
"Viruses.Peploviricota.Herviviricetes.Herpesvirales.Herpesviridae.Lymphocryptovirus.Human.gammaherpesvirus.4",0,4
"Viruses.Pisuviricota.Pisoniviricetes.Picornavirales.Caliciviridae.unclassified.Caliciviridae.genus.unclassified.Caliciviridae.species",0,4
"Viruses.Pisuviricota.Pisoniviricetes.Picornavirales.Picornaviridae.Enterovirus.untyped.human.enterovirus",0,0
"Viruses.Pisuviricota.Pisoniviricetes.Picornavirales.Picornaviridae.unclassified.Picornaviridae.genus.unclassified.Picornaviridae.species",0,898
"Viruses.Pisuviricota.Pisoniviricetes.Picornavirales.unclassified.Picornavirales.family.unclassified.Picornavirales.genus.unclassified.Picornavirales.species",0,0
"Viruses.Pisuviricota.Stelpaviricetes.Stellavirales.Astroviridae.unclassified.Astroviridae.genus.Primate.astrovirus",0,0
"Viruses.Preplasmiviricota.Tectiliviricetes.Rowavirales.Adenoviridae.Mastadenovirus.Human.adenovirus.sp.",39,0
"Viruses.Preplasmiviricota.Tectiliviricetes.Rowavirales.Adenoviridae.Mastadenovirus.Human.mastadenovirus.C",13212,11
"Viruses.Preplasmiviricota.Tectiliviricetes.Rowavirales.Adenoviridae.Mastadenovirus.unidentified.adenovirus",848,0
"Viruses.Preplasmiviricota.Tectiliviricetes.Rowavirales.Adenoviridae.unclassified.Adenoviridae.genus.Pan.troglodytes.adenovirus",1,0
"Viruses.unclassified.Viruses.phylum.unclassified.Viruses.class.unclassified.Viruses.order.Anelloviridae.Alphatorquevirus.Torque.teno.virus.7",0,0
"Viruses.unclassified.Viruses.phylum.unclassified.Viruses.class.unclassified.Viruses.order.Anelloviridae.Alphatorquevirus.unclassified.Alphatorquevirus.species",1,0
"Viruses.unclassified.Viruses.phylum.unclassified.Viruses.class.unclassified.Viruses.order.Anelloviridae.Betatorquevirus.Torque.teno.mini.virus.8",0,21
"Viruses.unclassified.Viruses.phylum.unclassified.Viruses.class.unclassified.Viruses.order.Anelloviridae.Betatorquevirus.Torque.teno.mini.virus.ALH8",2729,30
"Viruses.unclassified.Viruses.phylum.unclassified.Viruses.class.unclassified.Viruses.order.Anelloviridae.Gammatorquevirus.Torque.teno.midi.virus.13",0,1
"Viruses.unclassified.Viruses.phylum.unclassified.Viruses.class.unclassified.Viruses.order.Anelloviridae.Gammatorquevirus.Torque.teno.midi.virus.9",0,2
"Viruses.unclassified.Viruses.phylum.unclassified.Viruses.class.unclassified.Viruses.order.Anelloviridae.unclassified.Anelloviridae.genus.Human.anellovirus.zj.ad.1",21,1
"Viruses.unclassified.Viruses.phylum.unclassified.Viruses.class.unclassified.Viruses.order.Anelloviridae.unclassified.Anelloviridae.genus.Torque.teno.virus",537,369
"Viruses.unclassified.Viruses.phylum.unclassified.Viruses.class.unclassified.Viruses.order.Anelloviridae.unclassified.Anelloviridae.genus.unclassified.Anelloviridae.species",6652,4260
