"","Contig","Present_CELIAC","Absent_CELIAC","Present_CONTROL","Absent_CONTROL","OddsRatio","P_value","FDR"
"3","contig_33906",1,95,0,97,Inf,0.49740932642487,1
"1","contig_2664",1,95,1,96,1.01047235362807,1,1
"2","contig_2464",1,95,1,96,1.01047235362807,1,1
