contigID	evalue	pident	fident	nident	mismatch	qcov	tcov	qstart	qend	qlen	tstart	tend	tlen	alnlen	bits	target	kingdom	phylum	class	order	family	genus	species
contig_9660	2.17E-21	74.8	0.748	0	40	0.074	0.203	2170	2004	2272	633	793	795	167	113	tid|340016|KX813858.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	unclassified Viruses family	unclassified Viruses genus	uncultured virus
contig_19506	2.59E-89	72.7	0.727	0	162	0.387	0.007	75	669	1539	43531	44124	83596	595	338	tid|1977998|MK415405.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	unclassified Viruses family	unclassified Viruses genus	Phage FAKO05_000032F
contig_13234	0.00E+00	92.9	0.929	0	73	0.545	0.018	97	1123	1886	43114	44140	56426	1027	1519	tid|1978000|MK415407.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	unclassified Viruses family	unclassified Viruses genus	Phage FAKO27_000271F
contig_43681	1.24E-60	78.1	0.781	0	69	0.302	0.004	742	428	1044	53102	53416	83596	315	242	tid|1977998|MK415405.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	unclassified Viruses family	unclassified Viruses genus	Phage FAKO05_000032F
contig_2215	0.00E+00	95.2	0.952	0	77	0.559	0.028	1	1598	2857	15262	16859	56426	1598	2524	tid|1978000|MK415407.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	unclassified Viruses family	unclassified Viruses genus	Phage FAKO27_000271F
contig_30686	2.07E-38	66.6	0.666	0	227	0.557	0.266	757	74	1228	1407	2087	2563	684	169	tid|1743410|KT027935.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	unclassified Anelloviridae genus	Chimpanzee anellovirus
contig_35125	2.16E-34	70	0.7	0	113	0.327	0.002	588	963	1150	200001	200376	204597	376	156	tid|278008|LR756492.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	unclassified Viruses family	unclassified Viruses genus	uncultured phage
contig_5840	2.87E-308	95.4	0.954	0	31	0.205	0.941	1040	1714	3286	1	675	717	675	1067	tid|239364|CC820773.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	unclassified Viruses family	unclassified Viruses genus	uncultured human fecal virus
contig_16208	1.42E-42	81.3	0.813	0	37	0.116	0.034	245	441	1691	2892	3088	5871	197	183	tid|239364|MK232095.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	unclassified Viruses family	unclassified Viruses genus	uncultured human fecal virus
contig_8194	2.76E-68	75.2	0.752	0	98	0.157	0.029	1845	2242	2533	4887	5284	13687	398	269	tid|278008|JX157235.1	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	unclassified Viruses family	unclassified Viruses genus	uncultured phage
