crassus_id	contig	sample	length	length/ref	ref	DTR	coding	family	subfamily	genus	species	evidence_family	evidence_genus	notes	discard
sample-1_22_93708	virus_comp_230_cycle_3	sample-1	93708	0.941	Aurodevirus hiberniae	False	TAG	Suoliviridae	Uncouvirinae	Aurodevirus	Aurodevirus hiberniae	phylogenies, shared_prots	ani, shared_prots, phylogenies		False
sample-1_23_92914	virus_comp_284_cycle_1	sample-1	92914	0.935	Asinivirinae	True	11	Steigviridae	Asinivirinae			phylogenies, shared_prots			False
sample-1_24_92306	virus_comp_285_cycle_1	sample-1	92306	0.607	Epsilon	False	11	Epsilon	Epsilon	genus__67	species__126	phylogenies, shared_prots	ani		False
sample-1_30_80291	edge_959	sample-1	80291	0.839	Jahgtovirus	False	11	Intestiviridae	Churivirinae	Jahgtovirus	species__55	phylogenies, shared_prots	ani, shared_prots, phylogenies		False
sample-1_41_65330	virus_comp_391_cycle_1	sample-1	65330			False	11					phylogenies, shared_prots		no signals meeting cutoffs	True
sample-1_241_22966	virus_comp_280_cycle_1	sample-1	22966	0.242	Jahgtovirus secundus	False	11	Intestiviridae	Churivirinae	Jahgtovirus	Jahgtovirus secundus	phylogenies, shared_prots	ani, shared_prots, phylogenies		False
sample-1_273_20403	virus_comp_1001_cycle_1	sample-1	20403	0.207	Afonbuvirus coli	False	TAG	Suoliviridae	Bearivirinae	Afonbuvirus	Afonbuvirus coli	phylogenies, shared_prots	ani, shared_prots, phylogenies		False
sample-1_309_18290	virus_comp_1039_cycle_1	sample-1	18290	0.185	Culoivirus americanus	False	11	Suoliviridae	Boorivirinae	Culoivirus	Culoivirus americanus	phylogenies, shared_prots	ani, shared_prots, phylogenies		False
sample-1_347_16656	virus_comp_1115_cycle_1	sample-1	16656	0.167	Kolpuevirus	False	11	Steigviridae	Asinivirinae	Kolpuevirus	species__130	phylogenies, shared_prots	ani, shared_prots		False
sample-1_352_16508	virus_comp_1118_cycle_1	sample-1	16508	0.183	Endlipuvirus intestinihominis	False	11	Intestiviridae	Crudevirinae	Endlipuvirus	Endlipuvirus intestinihominis	phylogenies, shared_prots	ani, shared_prots, phylogenies		False
sample-1_516_11797	virus_comp_1390_cycle_1	sample-1	11797	0.119	Asinivirinae	False	11	Steigviridae	Asinivirinae	genus__73	species__131	phylogenies, shared_prots	ani		False
sample-1_1093_6313	virus_comp_2198_cycle_1	sample-1	6313	0.035	Zeta_4_1	False	11	Zeta	Zeta	Zeta_4	Zeta_4_1	phylogenies, shared_prots	ani, shared_prots, phylogenies		False
sample-1_1971_3823	virus_comp_3418_cycle_1	sample-1	3823	0.021	Zeta_4	False	11	Zeta	unknown	Zeta_4	species__132	shared_prots	ani, shared_prots	Discordance in the taxonomy prediction	False
sample-1_2023_3705	virus_comp_3510_cycle_1	sample-1	3705	0.038	Bohxovirus	False	TAG	Suoliviridae	Oafivirinae	Bohxovirus	species__133	phylogenies, shared_prots	ani, shared_prots		False
sample-1_2087_3578	virus_comp_198_cycle_1	sample-1	3578	0.036	Blohavirus americanus	False	TAG	Suoliviridae	Loutivirinae	Blohavirus	Blohavirus americanus	shared_prots	ani, shared_prots		False
sample-1_2370_3154	virus_comp_4064_cycle_1	sample-1	3154	0.032	Asinivirinae	False	11	Steigviridae	Asinivirinae	genus__74	species__134	phylogenies, shared_prots	ani		False
sample-1_2468_3000	virus_comp_200_cycle_1	sample-1	3000	0.03	Blohavirus	False	TAG	Suoliviridae	Loutivirinae	Blohavirus	species__38	phylogenies, shared_prots	ani	multiple families by shared prots	False
sample-1_2475_2996	virus_comp_4280_cycle_1	sample-1	2996			False	11					phylogenies, shared_prots		no signals meeting cutoffs	True
sample-1_2496_2968	virus_comp_199_cycle_1	sample-1	2968	0.029	Birpovirus	False	TAG	Suoliviridae	Uncouvirinae	Birpovirus	species__40	shared_prots	ani, shared_prots		False
sample-1_2557_2904	virus_comp_201_cycle_1	sample-1	2904	0.029	Blohavirus	False	TAG	Suoliviridae	Loutivirinae	Blohavirus	species__52	phylogenies, shared_prots	ani	multiple families by shared prots	False
sample-1_2809_2618	virus_comp_4930_cycle_1	sample-1	2618	0.026	Steigviridae	False	11	Steigviridae		genus__76	species__136	shared_prots	ani		False
sample-1_2895_2535	virus_comp_6037_cycle_1	sample-1	2535	0.025	Buchavirus hiberniae	False	TAG	Suoliviridae	Loutivirinae	Buchavirus	Buchavirus hiberniae	shared_prots	ani, shared_prots		False
sample-1_3125_2250	virus_comp_160_cycle_1	sample-1	2250	0.015	Epsilon_2_3	False	11	Epsilon	Epsilon	Epsilon_2	Epsilon_2_3	phylogenies, shared_prots	ani, shared_prots, phylogenies		False
sample-1_3157_2206	virus_comp_6050_cycle_1	sample-1	2206	0.022	Canhaevirus	False	11	Suoliviridae	Boorivirinae	Canhaevirus	species__4	phylogenies, shared_prots	ani, shared_prots	multiple families by shared prots	False
sample-1_3406_1938	virus_comp_7125_cycle_1	sample-1	1938	0.02	Cacepaovirus	False	TAG	Suoliviridae	Oafivirinae	Cacepaovirus	species__138	phylogenies, shared_prots	ani, shared_prots	multiple families by shared prots	False
sample-1_3423_1921	virus_comp_221_cycle_1	sample-1	1921	0.019	Cohcovirus splanchnicus	False	11	Suoliviridae	Boorivirinae	Cohcovirus	Cohcovirus splanchnicus	shared_prots	ani, shared_prots		False
sample-1_3596_1751	virus_comp_8074_cycle_1	sample-1	1751			False	11					phylogenies, shared_prots		no signals meeting cutoffs	True
sample-1_3635_1721	virus_comp_8246_cycle_1	sample-1	1721	0.017	Bohxovirus	False	TAG	Suoliviridae	Oafivirinae	Bohxovirus	species__141	phylogenies, shared_prots	ani, shared_prots		False
sample-1_3643_1714	virus_comp_8258_cycle_1	sample-1	1714	0.017	Aurodevirus	False	11	Suoliviridae	Uncouvirinae	Aurodevirus	species__51	shared_prots	ani, shared_prots		False
sample-1_3684_1680	virus_comp_8536_cycle_1	sample-1	1680			False	11					shared_prots		multiple families by shared prots	True
sample-1_3983_1483	virus_comp_10110_cycle_1	sample-1	1483			False	11	outgroup				shared_prots			False
sample-1_4061_1441	virus_comp_10511_cycle_1	sample-1	1441	0.015	Kahnovirus	False	11	Steigviridae	Asinivirinae	Kahnovirus	species__144	phylogenies, shared_prots	ani, shared_prots	multiple families by shared prots	False
sample-1_4226_1355	virus_comp_11451_cycle_1	sample-1	1355	0.014	Bohxovirus	False	TAG	Suoliviridae	Oafivirinae	Bohxovirus	species__145	phylogenies, shared_prots	ani, shared_prots	multiple families by shared prots	False
sample-1_4390_1275	virus_comp_12451_cycle_1	sample-1	1275			False	11					shared_prots		multiple families by shared prots	True
sample-1_4409_1266	virus_comp_12582_cycle_1	sample-1	1266			False	11					shared_prots		multiple families by shared prots	True
sample-1_4411_1265	virus_comp_12604_cycle_1	sample-1	1265			False	TAG					shared_prots		multiple families by shared prots	True
sample-1_4677_1147	virus_comp_14463_cycle_1	sample-1	1147			False	11							no signals meeting cutoffs	True
sample-1_4798_1110	virus_comp_15200_cycle_1	sample-1	1110			False	11					phylogenies, shared_prots		no signals meeting cutoffs	True
sample-1_4954_1063	virus_comp_16201_cycle_1	sample-1	1063			False	TAG					shared_prots		multiple families by shared prots	True
sample-1_4981_1057	virus_comp_124_cycle_1	sample-1	1057			False	11					shared_prots		multiple families by shared prots	True
sample-1_5191_1012	virus_comp_17665_cycle_1	sample-1	1012	0.01	Mahstovirus faecalis	True	11	Steigviridae	Asinivirinae	Mahstovirus	Mahstovirus faecalis	phylogenies, shared_prots	ani, shared_prots	multiple families by shared prots	False
