"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",-74.5974232507454,70922509.8411999,-1.05181589621932e-06,0.999999160772336
"2","fixed",NA,"Dx.StatusCELIAC",49.6110644801609,18879985.0401944,2.62770676854573e-06,0.999997903393339
"3","fixed",NA,"month18",72.8785877043709,17034397.5815436,4.2783190515251e-06,0.999996586395283
"4","fixed",NA,"month24",-0.139764541091634,18115207.2378096,-7.71531560510782e-09,0.999999993844069
"5","fixed",NA,"month30",-0.11965542159829,18857284.5582505,-6.34531558500229e-09,0.999999994937171
"6","fixed",NA,"month36",63.4756291245925,20588736.6772147,3.08302690542641e-06,0.999997540100432
"7","fixed",NA,"month48",64.0095349927363,21051749.4796178,3.04058031161306e-06,0.999997573967913
"8","fixed",NA,"month54",60.4174436709373,71601211.2382234,8.43804771261806e-07,0.999999326741201
"9","fixed",NA,"month60",66.3149740306036,27445665.386367,2.41622759357637e-06,0.999998072129308
"10","fixed",NA,"month72",87.3371722971663,51486342.5445773,1.69631727523759e-06,0.999998646534636
"11","fixed",NA,"month84",87.3371722971665,51486342.5445773,1.69631727523759e-06,0.999998646534636
"12","fixed",NA,"CountryUSA",-36.7593423858746,15311092.5023245,-2.40083079507839e-06,0.999998084414175
"13","fixed",NA,"SexMale",20.4973131543485,11525901.008581,1.77836970307903e-06,0.99999858106627
"14","fixed",NA,"Delivery.ModeVaginal",24.3838113145306,14474373.5882031,1.68461945285175e-06,0.999998655868148
"15","fixed",NA,"HLA.CategoryLow/No Risk",-4.60485508629968,16872915.6060628,-2.72914011651018e-07,0.999999782246124
"16","fixed",NA,"HLA.CategoryStandard Risk",-14.2128517344979,11872271.4983278,-1.19714679170703e-06,0.999999044815058
"17","fixed",NA,"feeding_first_yearBreastmilk_and_formula",8.34166133489059,10551420.6035313,7.90572345499987e-07,0.999999369214531
"18","fixed",NA,"feeding_first_yearFormula",15.7468933071985,12975947.1900656,1.2135448053653e-06,0.999999031731336
"19","fixed",NA,"Age.at.Gluten.Introduction..months.11",27.0661438020846,29890552.0682218,9.05508327190114e-07,0.999999277508886
"20","fixed",NA,"Age.at.Gluten.Introduction..months.15",28.6078318378142,26086261.479868,1.09666277246712e-06,0.999999124989705
"21","fixed",NA,"Age.at.Gluten.Introduction..months.36",19.1651465958842,33728926.1245595,5.6821099269832e-07,0.999999546633222
"22","fixed",NA,"Age.at.Gluten.Introduction..months.4",31.4287752635321,40059518.7983458,7.84551991793518e-07,0.999999374018079
"23","fixed",NA,"Age.at.Gluten.Introduction..months.5",24.5289560646437,30865537.5268849,7.94703673742218e-07,0.999999365918208
"24","fixed",NA,"Age.at.Gluten.Introduction..months.6",2.72571048166358,20135311.7167662,1.35369668967874e-07,0.999999891990631
"25","fixed",NA,"Age.at.Gluten.Introduction..months.7",-0.879026336742247,16687358.0332154,-5.26761836710514e-08,0.999999957970486
"26","fixed",NA,"Age.at.Gluten.Introduction..months.8",37.9975691701513,19774267.563343,1.9215664523823e-06,0.999998466811795
"27","fixed",NA,"Age.at.Gluten.Introduction..months.9",22.291411091468,22398106.2906304,9.95236418749966e-07,0.999999205916227
"28","fixed",NA,"Age.at.Solid.Introduction..months.4",-53.1527000086156,72389329.1126131,-7.34261536336774e-07,0.999999414144057
"29","fixed",NA,"Age.at.Solid.Introduction..months.5",-39.7792944703553,70911284.007929,-5.60972700281486e-07,0.999999552408543
"30","fixed",NA,"Age.at.Solid.Introduction..months.6",-60.9028511300557,71261888.9454173,-8.5463425165033e-07,0.999999318100525
"31","fixed",NA,"Age.at.Solid.Introduction..months.7",-75.9273602171755,70920937.4632121,-1.07059160429965e-06,0.999999145791488
"32","fixed",NA,"Age.at.Solid.Introduction..months.8",-52.0138595788671,80136144.2123539,-6.490686579708e-07,0.999999482118139
"33","fixed",NA,"Dx.StatusCELIAC:month18",-71.0882330531727,24888258.3981095,-2.85629600577325e-06,0.999997721005516
"34","fixed",NA,"Dx.StatusCELIAC:month24",0.296261883985003,26875170.1763988,1.10236282055313e-08,0.999999991204417
"35","fixed",NA,"Dx.StatusCELIAC:month30",0.433786908476408,27149271.4854715,1.59778470928232e-08,0.999999987251523
"36","fixed",NA,"Dx.StatusCELIAC:month36",-63.4971064808199,29216422.5688209,-2.17333612050719e-06,0.999998265928664
"37","fixed",NA,"Dx.StatusCELIAC:month48",-64.0323926115267,29800193.4318754,-2.1487240597249e-06,0.999998285566247
"38","fixed",NA,"Dx.StatusCELIAC:month54",-61.6240011633208,101241970.959989,-6.0868037809808e-07,0.999999514343324
"39","fixed",NA,"Dx.StatusCELIAC:month60",-63.5782012476218,38768724.3249454,-1.63993534362215e-06,0.999998691520909
"40","fixed",NA,"Dx.StatusCELIAC:month72",-83.4363738267991,72362457.7404094,-1.15303399624866e-06,0.999999080011976
"41","fixed",NA,"Dx.StatusCELIAC:month84",-83.4363738267994,72362457.7404094,-1.15303399624867e-06,0.999999080011976
"42","ran_pars","patientID","sd__(Intercept)",0.2,NA,NA,NA
