"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;unclassified Polyomaviridae genus",1.44041835979103,1.73247726696784,0.578672480124313,2.9938822502768,0.00275452226792036,0.023413439277323
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;unclassified Parvoviridae genus",2659.20085824804,5.19839847078723,1.62599061481606,3.19706548329327,0.00138833405203737,0.0157344525897569
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Alphatorquevirus",15786.2104240089,-12.0080748102074,1.6192181952608,-7.41597077240931,1.20737125992139e-13,2.05253114186637e-12
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus",2328998.19492767,-5.14104170320462,1.83068909092569,-2.80825495092946,0.00498107751967057,0.0338713271337599
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus",5745.7774821986,-13.6384287340785,1.56466930835328,-8.71649278302274,2.86952251600625e-18,9.75637655442124e-17
