"","01_GEMM_119_24M","01_GEMM_128_24M","01_GEMM_150_24M","01_GEMM_151_24M","01_GEMM_175_24M","01_GEMM_079_24M","01_GEMM_085_24M","01_GEMM_093_24M","01_GEMM_106_24M","01_GEMM_001_24M","01_GEMM_009_24M","01_GEMM_014_24M","01_GEMM_026_24M","01_GEMM_041_24M","01_GEMM_052_24M","01_GEMM_061_24M","02_GEMM_021_24M","02_GEMM_057_24M","02_GEMM_175_24M","02_GEMM_177_24M","02_GEMM_179_24M","02_GEMM_020_24M","02_GEMM_031_24M","02_GEMM_039_24M","02_GEMM_045_24M"
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae",1,0,0,1,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,6,1,0,0
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
