"","Contig","total_PA"
"1","virus_comp_17029_cycle_1",68
"2","virus_comp_11357_cycle_1",67
"3","virus_comp_163_cycle_1",66
"4","virus_comp_15385_cycle_1",65
"5","virus_comp_14804_cycle_1",63
"6","virus_comp_16864_cycle_1",63
"7","virus_comp_16866_cycle_1",63
"8","virus_comp_169_cycle_1",63
"9","virus_comp_14827_cycle_1",62
"10","virus_comp_15170_cycle_1",62
"11","virus_comp_7868_cycle_1",62
"12","virus_comp_13344_cycle_1",59
"13","virus_comp_168_cycle_1",59
"14","virus_comp_435_cycle_1",56
"15","virus_comp_164_cycle_1",53
"16","virus_comp_15415_cycle_1",48
"17","virus_comp_13452_cycle_1",45
"18","virus_comp_16423_cycle_1",44
"19","edge_1096",42
"20","virus_comp_231_cycle_1",39
"21","virus_comp_15325_cycle_1",35
"22","virus_comp_14805_cycle_1",34
"23","virus_comp_69_cycle_1",30
"24","virus_comp_71_cycle_1",30
"25","virus_comp_16622_cycle_1",28
"26","virus_comp_22_cycle_1",28
"27","virus_comp_17079_cycle_1",27
"28","edge_449",27
"29","edge_251",26
"30","edge_452",26
"31","virus_comp_14988_cycle_1",25
"32","virus_comp_15413_cycle_1",23
"33","virus_comp_16023_cycle_1",23
"34","virus_comp_17098_cycle_1",23
"35","virus_comp_17160_cycle_1",23
"36","virus_comp_19_cycle_1",23
"37","edge_507",23
"38","virus_comp_15851_cycle_1",22
"39","virus_comp_17059_cycle_1",22
"40","edge_1379",22
"41","virus_comp_171_cycle_1",21
"42","virus_comp_1456_cycle_1",20
"43","virus_comp_198_cycle_1",20
"44","edge_644",20
"45","virus_comp_12435_cycle_1",19
"46","virus_comp_15444_cycle_1",19
"47","edge_363",19
"48","edge_531",19
"49","edge_641",19
"50","virus_comp_12339_cycle_1",18
"51","virus_comp_16882_cycle_1",18
"52","virus_comp_1983_cycle_1",18
"53","virus_comp_8304_cycle_1",18
"54","virus_comp_15096_cycle_1",17
"55","virus_comp_17166_cycle_1",17
"56","virus_comp_20_cycle_1",17
"57","virus_comp_731_cycle_1",17
"58","edge_1543",17
"59","edge_236",17
"60","virus_comp_15845_cycle_1",16
"61","virus_comp_166_cycle_1",16
"62","virus_comp_16836_cycle_1",16
"63","virus_comp_17127_cycle_1",16
"64","virus_comp_206_cycle_1",16
"65","virus_comp_259_cycle_1",16
"66","virus_comp_269_cycle_1",16
"67","virus_comp_8325_cycle_1",16
"68","virus_comp_10852_cycle_1",15
"69","virus_comp_15638_cycle_1",15
"70","virus_comp_16522_cycle_1",15
"71","virus_comp_271_cycle_1",15
"72","virus_comp_3389_cycle_1",15
"73","virus_comp_135_cycle_1",14
"74","virus_comp_15024_cycle_1",14
"75","virus_comp_16785_cycle_1",14
"76","virus_comp_233_cycle_1",14
"77","virus_comp_256_cycle_1",14
"78","edge_1304",14
"79","edge_1375",14
"80","edge_1733",14
"81","virus_comp_16225_cycle_1",13
"82","virus_comp_165_cycle_1",13
"83","virus_comp_16993_cycle_1",13
"84","virus_comp_1813_cycle_1",13
"85","virus_comp_4218_cycle_1",13
"86","virus_comp_7297_cycle_1",13
"87","edge_1115",13
"88","edge_1271",13
"89","edge_1279",13
"90","edge_508",13
"91","edge_637",13
"92","virus_comp_112_cycle_1",12
"93","virus_comp_14862_cycle_1",12
"94","virus_comp_15825_cycle_1",12
"95","virus_comp_16721_cycle_1",12
"96","virus_comp_16947_cycle_1",12
"97","virus_comp_21_cycle_1",12
"98","edge_1117",12
"99","edge_1125",12
"100","edge_1280",12
"101","edge_1281",12
"102","edge_1282",12
"103","edge_1563",12
"104","edge_1565",12
"105","edge_1567",12
"106","edge_48406",12
"107","virus_comp_121_cycle_1",11
"108","virus_comp_14573_cycle_1",11
"109","virus_comp_1525_cycle_1",11
"110","virus_comp_15764_cycle_1",11
"111","virus_comp_16218_cycle_1",11
"112","virus_comp_16347_cycle_1",11
"113","virus_comp_16562_cycle_1",11
"114","virus_comp_16769_cycle_1",11
"115","virus_comp_17090_cycle_1",11
"116","virus_comp_219_cycle_1",11
"117","virus_comp_253_cycle_3",11
"118","virus_comp_286_cycle_1",11
"119","virus_comp_334_cycle_1",11
"120","edge_1552",11
"121","edge_1647",11
"122","edge_2530",11
"123","edge_640",11
"124","virus_comp_15207_cycle_1",10
"125","virus_comp_154_cycle_1",10
"126","virus_comp_15421_cycle_1",10
"127","virus_comp_157_cycle_1",10
"128","virus_comp_16571_cycle_1",10
"129","virus_comp_16775_cycle_1",10
"130","virus_comp_1694_cycle_1",10
"131","virus_comp_170_cycle_1",10
"132","virus_comp_17656_cycle_1",10
"133","virus_comp_218_cycle_1",10
"134","virus_comp_348_cycle_1",10
"135","virus_comp_4794_cycle_1",10
"136","virus_comp_50_cycle_1",10
"137","virus_comp_542_cycle_1",10
"138","virus_comp_5934_cycle_1",10
"139","virus_comp_61_cycle_1",10
"140","edge_1114",10
"141","edge_1273",10
"142","edge_1276",10
"143","edge_1292",10
"144","edge_1303",10
"145","edge_1648",10
"146","edge_2333",10
"147","edge_527",10
"148","edge_574",10
"149","edge_639",10
"150","edge_654",10
"151","virus_comp_105_cycle_1",9
"152","virus_comp_1321_cycle_1",9
"153","virus_comp_15584_cycle_1",9
"154","virus_comp_15799_cycle_1",9
"155","virus_comp_16117_cycle_1",9
"156","virus_comp_1677_cycle_1",9
"157","virus_comp_1687_cycle_1",9
"158","virus_comp_17131_cycle_1",9
"159","virus_comp_17765_cycle_1",9
"160","virus_comp_220_cycle_1",9
"161","virus_comp_2497_cycle_1",9
"162","virus_comp_2578_cycle_1",9
"163","virus_comp_3613_cycle_1",9
"164","virus_comp_3628_cycle_1",9
"165","virus_comp_3697_cycle_1",9
"166","virus_comp_374_cycle_1",9
"167","virus_comp_5153_cycle_1",9
"168","virus_comp_6_cycle_1",9
"169","virus_comp_623_cycle_1",9
"170","virus_comp_681_cycle_1",9
"171","virus_comp_81_cycle_1",9
"172","virus_comp_821_cycle_1",9
"173","virus_comp_886_cycle_1",9
"174","virus_comp_9267_cycle_1",9
"175","edge_1060",9
"176","edge_1100",9
"177","edge_1578",9
"178","edge_1616",9
"179","edge_1627",9
"180","edge_1777",9
"181","edge_238",9
"182","edge_48333",9
"183","virus_comp_10193_cycle_1",8
"184","virus_comp_104_cycle_1",8
"185","virus_comp_1110_cycle_1",8
"186","virus_comp_14240_cycle_1",8
"187","virus_comp_1459_cycle_1",8
"188","virus_comp_16030_cycle_1",8
"189","virus_comp_16050_cycle_1",8
"190","virus_comp_16157_cycle_1",8
"191","virus_comp_16222_cycle_1",8
"192","virus_comp_16491_cycle_1",8
"193","virus_comp_16497_cycle_1",8
"194","virus_comp_16837_cycle_1",8
"195","virus_comp_17068_cycle_1",8
"196","virus_comp_17091_cycle_1",8
"197","virus_comp_17093_cycle_1",8
"198","virus_comp_17107_cycle_1",8
"199","virus_comp_17137_cycle_1",8
"200","virus_comp_17141_cycle_1",8
"201","virus_comp_17189_cycle_1",8
"202","virus_comp_17395_cycle_1",8
"203","virus_comp_17433_cycle_1",8
"204","virus_comp_175_cycle_1",8
"205","virus_comp_1832_cycle_1",8
"206","virus_comp_191_cycle_1",8
"207","virus_comp_2763_cycle_1",8
"208","virus_comp_2994_cycle_1",8
"209","virus_comp_3012_cycle_1",8
"210","virus_comp_339_cycle_1",8
"211","virus_comp_357_cycle_1",8
"212","virus_comp_3702_cycle_1",8
"213","virus_comp_5320_cycle_1",8
"214","virus_comp_536_cycle_1",8
"215","virus_comp_7492_cycle_1",8
"216","virus_comp_7653_cycle_1",8
"217","virus_comp_7985_cycle_1",8
"218","virus_comp_88_cycle_1",8
"219","edge_1288",8
"220","edge_1524",8
"221","edge_1526",8
"222","edge_1624",8
"223","edge_247",8
"224","edge_48362",8
"225","edge_48486",8
"226","edge_48552",8
"227","edge_725",8
"228","virus_comp_1021_cycle_1",7
"229","virus_comp_103_cycle_1",7
"230","virus_comp_11611_cycle_1",7
"231","virus_comp_12590_cycle_1",7
"232","virus_comp_126_cycle_1",7
"233","virus_comp_13196_cycle_1",7
"234","virus_comp_13513_cycle_1",7
"235","virus_comp_1433_cycle_1",7
"236","virus_comp_15512_cycle_1",7
"237","virus_comp_15583_cycle_1",7
"238","virus_comp_15766_cycle_1",7
"239","virus_comp_15882_cycle_1",7
"240","virus_comp_16027_cycle_1",7
"241","virus_comp_16581_cycle_1",7
"242","virus_comp_17072_cycle_1",7
"243","virus_comp_17102_cycle_1",7
