"","Contig","total_PA"
"1","virus_comp_1406_cycle_1",306
"2","edge_1941",305
"3","virus_comp_1378_cycle_1",304
"4","virus_comp_1337_cycle_1",303
"5","virus_comp_5876_cycle_1",303
"6","virus_comp_2688_cycle_1",302
"7","virus_comp_7047_cycle_1",302
"8","virus_comp_9448_cycle_1",302
"9","virus_comp_17208_cycle_1",302
"10","virus_comp_473_cycle_1",301
"11","virus_comp_2149_cycle_1",301
"12","virus_comp_6431_cycle_1",301
"13","virus_comp_9066_cycle_1",301
"14","virus_comp_3637_cycle_1",300
"15","virus_comp_15882_cycle_1",300
"16","virus_comp_2112_cycle_1",299
"17","virus_comp_2901_cycle_1",299
"18","virus_comp_3673_cycle_1",299
"19","virus_comp_7229_cycle_1",299
"20","virus_comp_11373_cycle_1",299
"21","virus_comp_15671_cycle_1",299
"22","virus_comp_16818_cycle_1",299
"23","virus_comp_8480_cycle_1",298
"24","virus_comp_3024_cycle_1",297
"25","virus_comp_3470_cycle_1",297
"26","virus_comp_7988_cycle_1",297
"27","virus_comp_6302_cycle_1",296
"28","virus_comp_15422_cycle_1",296
"29","virus_comp_15570_cycle_1",296
"30","virus_comp_17071_cycle_1",296
"31","virus_comp_15557_cycle_1",295
"32","virus_comp_2153_cycle_1",294
"33","virus_comp_15011_cycle_1",294
"34","virus_comp_3542_cycle_1",292
"35","virus_comp_14783_cycle_1",292
"36","virus_comp_4706_cycle_1",291
"37","virus_comp_9643_cycle_1",291
"38","virus_comp_17621_cycle_1",291
"39","virus_comp_252_cycle_1",290
"40","virus_comp_3986_cycle_1",290
"41","virus_comp_4226_cycle_1",290
"42","virus_comp_637_cycle_1",289
"43","virus_comp_1736_cycle_1",289
"44","virus_comp_15271_cycle_1",289
"45","virus_comp_2516_cycle_1",286
"46","virus_comp_506_cycle_1",285
"47","virus_comp_9882_cycle_1",285
"48","virus_comp_17293_cycle_1",285
"49","virus_comp_17313_cycle_1",284
"50","virus_comp_1641_cycle_1",282
"51","virus_comp_5455_cycle_1",282
"52","virus_comp_15840_cycle_1",279
"53","virus_comp_14420_cycle_1",278
"54","virus_comp_2504_cycle_1",277
"55","virus_comp_964_cycle_1",274
"56","virus_comp_2592_cycle_1",270
"57","virus_comp_9273_cycle_1",269
"58","virus_comp_15110_cycle_1",268
"59","virus_comp_1214_cycle_1",267
"60","virus_comp_6343_cycle_1",267
"61","virus_comp_7963_cycle_1",267
"62","virus_comp_14361_cycle_1",267
"63","virus_comp_8785_cycle_1",265
"64","virus_comp_8936_cycle_1",265
"65","virus_comp_12037_cycle_1",264
