,02_GEMM_020_12M,02_GEMM_020_18M,02_GEMM_020_24M,02_GEMM_020_30M,02_GEMM_021_12M,02_GEMM_021_18M,02_GEMM_021_24M,02_GEMM_021_30M,02_GEMM_021_48M,02_GEMM_021_60M,02_GEMM_024_12M,02_GEMM_024_18M,02_GEMM_031_12M,02_GEMM_031_18M,02_GEMM_031_24M,02_GEMM_041_12M,02_GEMM_045_12M,02_GEMM_045_18M,02_GEMM_045_24M,02_GEMM_045_30M,02_GEMM_045_36M,02_GEMM_058_12M,02_GEMM_058_18M,02_GEMM_134_12M,02_GEMM_134_18M,02_GEMM_134_30M,02_GEMM_134_36M,02_GEMM_134_48M,02_GEMM_141_12M,02_GEMM_141_18M,02_GEMM_151_12M,02_GEMM_151_18M,02_GEMM_158_12M,02_GEMM_158_18M,02_GEMM_177_12M,02_GEMM_177_18M,02_GEMM_177_24M,02_GEMM_177_30M,02_GEMM_177_36M,02_GEMM_177_48M,02_GEMM_179_18M,02_GEMM_179_24M,02_GEMM_179_30M,02_GEMM_194_12M,02_GEMM_194_18M,02_GEMM_228_12M,02_GEMM_228_30M
contig_10746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074
contig_10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_10766,2269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12942,6075,0,0,0,0,0,4940,0,0,0,0,0,0,0,0,0,0,0,0,200,9557,0,14964,0,0,0,0,33041,0,14426,223
contig_10852,0,0,0,0,0,0,81,0,0,0,0,0,0,0,42230,0,0,0,0,0,2786,0,0,0,0,0,0,2322,0,0,0,0,0,0,0,1291,0,0,1428,828,0,0,0,0,0,0,0
contig_10860,4345,161500,1196,0,0,0,0,0,0,0,0,0,0,0,0,6764,10619,0,0,0,0,0,4472,0,0,0,0,0,22415,8016,0,0,0,0,0,0,20053,0,0,0,0,0,0,0,0,269294,4531
contig_10880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0
contig_10901,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261
contig_10945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,680,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,86,0,0,0,0,0,0,0
contig_10957,4820,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,4709,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,1521,0,0,0,0,0,0,0,339
contig_10962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,569,0,0,0,0,0
contig_10963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4797,0,0,0,0,741,3361,0,0,0,0,0,0,2546,0,0,0,0,0,0,9516,13369,2500,0,13603,4426,0,0,0,0,0,0,1599
contig_10966,0,0,0,0,0,0,0,0,0,0,0,0,274,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_10977,7713,0,0,0,530,0,0,0,0,0,4836,0,631,0,0,15754,5104,3563,681,0,0,0,15205,16488,0,0,0,0,10281,2983,0,99766,1160,601,2027,216,14794,0,0,120,0,283,0,13940,9849,16025,0
contig_10996,60849,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,553,0,0,0,0,0,0,13486,0,0,0,0,0,0,0,573,4102,0,0,4234,0,9270,0,0,0,0,1900
contig_11,0,0,0,0,0,0,0,0,23,0,10,6,0,0,5407,0,0,0,0,0,0,0,0,0,0,0,13,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_11087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,1035,169,0,0,0,0,0,0,1437
contig_11091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
contig_11123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11757,3109,0,10884,886,0,0,0,0,0,0,0
contig_11132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3071,0,0,529,0,0,888,0,0,0,0,0,0,2382,0,0,0,0,524,0,0,0,0,0,0,16026,118,1570,0,0,0,0,0
contig_11143,24360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851,0,0,0,0,0
contig_11180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3290,0,0,0,0,0,0,0,0,0,0,0,0,0,23169,0,35548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_11195,901,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0
contig_11198,0,0,0,0,0,0,0,0,29,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_112,0,0,0,0,0,0,0,1065,587,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_11201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
contig_11216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4587,1325,0,0,0,0,0,0,0,0,0,0,0,0,3579,0,0,631,0,0,0,0,0,826,0,0,0,0,0
contig_11227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
contig_11264,0,0,0,0,0,0,0,0,0,0,0,0,0,86,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_11272,869,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_11284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
contig_11292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,618,0,0,0,0,0,0,0
contig_113,0,0,0,0,0,0,279,11365,8849,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_11300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_11328,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3160,4881,1450,0,0,0,9090,0,0,0,0,67,0,0,45525,0,0,0,0,0,0,0,4018,237,0,0,0,0,0,0,0
contig_11364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
contig_11371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2461,3497
contig_11373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0
contig_11391,0,0,0,0,0,0,40,0,0,58,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_114,0,0,0,0,0,0,0,2063,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_1140,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
