,02_GEMM_020_12M,02_GEMM_020_18M,02_GEMM_020_24M,02_GEMM_020_30M,02_GEMM_021_12M,02_GEMM_021_18M,02_GEMM_021_24M,02_GEMM_021_30M,02_GEMM_021_48M,02_GEMM_021_60M,02_GEMM_024_12M,02_GEMM_024_18M,02_GEMM_031_12M,02_GEMM_031_18M,02_GEMM_031_24M,02_GEMM_041_12M,02_GEMM_045_12M,02_GEMM_045_18M,02_GEMM_045_24M,02_GEMM_045_30M,02_GEMM_045_36M,02_GEMM_058_12M,02_GEMM_058_18M,02_GEMM_134_12M,02_GEMM_134_18M,02_GEMM_134_30M,02_GEMM_134_36M,02_GEMM_134_48M,02_GEMM_141_12M,02_GEMM_141_18M,02_GEMM_151_12M,02_GEMM_151_18M,02_GEMM_158_12M,02_GEMM_158_18M,02_GEMM_177_12M,02_GEMM_177_18M,02_GEMM_177_24M,02_GEMM_177_30M,02_GEMM_177_36M,02_GEMM_177_48M,02_GEMM_179_18M,02_GEMM_179_24M,02_GEMM_179_30M,02_GEMM_194_12M,02_GEMM_194_18M,02_GEMM_228_12M,02_GEMM_228_30M
contig_20973,191,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,360,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852
contig_20974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
contig_20985,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,974,0,267,2009,896,0,373,0,0,143,0,9871,0,9744,0,0,1233,0,777,0,0,404,101,0,18397,998,0,600,0,0,0,164,6124
contig_20991,420,0,0,0,0,0,0,0,0,0,0,0,1005,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,262,44,0,202
contig_21027,0,0,0,0,0,0,0,0,0,0,0,0,949,0,850,0,0,0,537,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,1389,7052,580,0,0,682,0,0,0,0,0,0,0
contig_21042,0,0,0,0,0,0,0,0,0,0,0,0,335,0,707,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,0,0,0,0,0,0,0
contig_21076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,107,0,0,0,0,0,0,0,0,815,0,0,0,0,0
contig_21079,2197,0,532,0,0,0,0,0,0,0,0,0,3156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,1391,1419,11617,0,2314,0,0,0,0,0,0,0,0,0,0
contig_21105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3977,0,0,0,0
contig_21107,0,0,2796,0,0,0,0,0,0,0,0,0,0,0,1167,0,3063,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3736,0,1315,0,4199,0,0,1757
contig_21135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29565,1072,0,0
contig_21147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,1646,3876,1594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21148,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,2802,4434,1343,0,1175,0,249,0,0,398,0,0,0,0,0,0,3390,0,0,0,0,0,9307,1706,0,0,0,4860,1461,0,0
contig_21152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0
contig_21158,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0
contig_21166,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,2855,0,0,0,0,0,0,1684,0,0,0,0,7746,0,2581,0,0,0,0,75,0,0,13409,0,0,978,0,7219,0,3043,0
contig_21172,0,0,0,0,0,0,0,0,0,0,0,0,2950,593,1803,0,0,0,0,0,0,0,0,0,0,0,0,1545,0,0,0,0,1399,0,0,1628,0,0,0,0,0,133,0,0,0,0,0
contig_21217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,43,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,693,0,0,0,0,0,689,0,0,0,0,0
contig_21218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21220,11467,0,0,0,0,0,0,0,0,0,0,0,0,0,2228,0,2201,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,17924,0,0,0,982,754,0,0,0,0,0,0,1888,0,0,0
contig_21228,3165,0,0,0,0,0,0,0,0,0,0,0,5015,0,0,0,0,1212,672,687,0,0,239,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,0,0,1621,0,1603,0,0,0,0,0
contig_21258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431
contig_21265,493,1323,1463,0,0,0,0,0,0,0,0,0,0,0,869,0,0,1142,846,673,103,0,4837,6645,0,188,103,600,0,0,0,2810,0,0,0,162,2502,0,2862,120,0,164,0,0,0,0,3402
contig_21289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8612,0,0,0,0,0,833,0,0,0,0,0,1092,0,0,0,0,0,0,0,0,0,0,4954,0,1746,0,0,0,0,0,0,638
contig_21290,0,0,0,0,0,0,0,0,0,0,0,0,0,164,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21291,231,1024,0,0,0,0,0,0,0,0,1173,0,0,0,0,0,425,1147,0,0,0,0,0,10604,0,0,0,0,0,0,0,6425,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21293,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
contig_21294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,5786,532,0,117,0,0,0,0,0,0,0,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21309,0,0,3383,0,0,0,0,0,0,0,0,0,0,0,4083,0,0,3644,944,0,0,0,6210,0,0,6303,5661,17307,0,0,0,7847,0,0,0,3030,0,0,26949,1720,0,1081,0,0,0,0,8064
contig_21311,2036,0,0,0,0,0,0,0,0,0,0,0,0,0,4134,0,819,4435,1124,3256,0,0,2876,8653,0,0,0,23550,0,0,0,0,0,0,0,4714,9213,11132,44224,2932,0,2767,0,0,0,0,8962
contig_21330,0,0,757,0,4394,139,0,0,0,0,5482,0,0,0,0,39112,0,0,0,0,64,0,0,0,1327,0,0,110,0,552,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0
contig_21332,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8221,908,3712,0,3127,1749,0,0,0,0,0,0,923
contig_21342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2412,262,0,0,0,0,0,0,0,0,0,0,29113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,112,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,37,0,274,0,0,0,0,0
contig_21350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,1562,0,0,0,0,0,0,0,0,0,0,0,164,0,0,455,34,0,0,0,0,0,0,0
contig_21360,15224,567,1046,0,0,0,0,0,0,0,0,0,7064,0,0,0,3984,3123,0,0,0,0,1675,20144,0,0,0,321,0,892,0,0,589,2269,10394,571,3231,1709,0,320,0,743,0,0,747,0,0
contig_21361,0,0,0,0,0,0,0,43,30,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21365,14186,38278,2612,0,0,0,0,0,0,0,0,0,10013,0,0,0,8626,2920,3512,0,0,0,0,0,0,0,4111,3130,0,0,0,0,7527,0,0,0,0,0,0,3240,0,1385,0,0,0,0,3435
contig_21391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,12161,0
contig_21398,0,0,1297,0,0,0,0,0,0,0,0,0,0,0,2869,0,0,0,0,0,0,0,0,0,1160,1352,388,2084,0,0,0,35098,15701,489,0,0,0,126,25659,3908,0,0,0,0,0,0,400
contig_2140,0,0,0,0,0,0,0,0,0,0,0,0,0,5512,5418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21422,0,0,735,0,0,0,0,0,0,0,0,0,1008,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,1388,4283,0,0,0,338,0,0,0,0,0,0,0,0,0,438
contig_21455,73850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0
contig_21457,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,723,0,0,0,188,0,0,0,0,0,0,0,381,658,0,0,0,0,0,243,0,0,0,0,0,773,0,0,0,0,0,0,0
contig_21461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,0,0,0,0,0
contig_21473,0,0,0,0,0,0,0,0,0,0,0,0,11627,446,2070,0,0,0,0,0,0,0,98,0,0,0,0,1946,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,625
contig_21496,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37369,0,0,2308,254,0,0,0,0,0,0,0
contig_21501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18156,0,0,0,0,0,0,0,0,0,1717,496,4800,10989,0,0,0,1402,248,0,0,2506,0,0,6914,11772,0,0,0,0,0,0,2556
contig_21519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,91,0,0,0,0,0,0,0,0
contig_21550,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,3427,0,0,0,0,0
contig_21551,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,376
contig_21560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,5690,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2469,0,0,0
contig_21568,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,0,2768,0,0,0,0,0
contig_21600,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,48,0,0,0,0,0,0,0,0,0,0,0
contig_21612,0,3922,0,0,0,0,102,0,0,0,0,0,0,1256,21766,0,0,0,0,988,4456,0,0,0,0,232,1661,3137,0,0,0,0,0,0,9868,12978,2590,95,12685,4063,0,0,0,0,0,0,1565
contig_21617,0,0,0,0,0,0,0,0,0,0,0,0,564,0,0,0,1692,579,134,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0
contig_21620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,0,0,0,0,0,396,0,4477,0,0,0,0,0,0,2210
contig_21629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,1504,0,0,0,0,0
contig_21654,0,570,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,2687,0,0,1918,0,0,0,0,0,0,0
contig_21682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0,0,0,4542,0,0,0
contig_21689,273,1258,97,0,0,0,0,0,0,0,0,0,951,0,188,0,107,371,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,76,125,0,0,0,626,207,0,264
contig_21695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0
contig_21701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15747,0,0,0,0,0,0,0,0,0,0,44469,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21737,4032,2087,3000,0,2664,0,0,0,0,0,0,0,0,0,1960,0,0,3290,272,0,0,0,4494,0,0,0,0,140,0,0,0,0,0,0,4780,163,9068,0,0,0,0,0,0,0,0,0,0
contig_21740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,0,0,75,334,0,0,0,0,0,0,0,0,3103,0,0,0,0,0,0,0,245,0,0,126,0,0,15236,0,0,0,0,0
contig_21743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539,0,0,0,0,0,0,0
contig_21747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21751,1426,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,314,0,0,0,812,0,0,0,0,0,0,986,0,0,0,0,0,0,0,0,9646,1799,0,433,0,0,0,0,0
contig_21763,0,1119,510,0,0,0,0,0,0,0,0,0,1260,0,0,0,0,547,113,0,0,0,832,0,0,0,0,0,0,63,0,0,637,0,28658,0,3218,0,7960,150,0,0,0,0,0,0,2791
contig_21775,2956,0,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10221,1212,0,3492,0,387,0,0,1241,0,8756,0,0,0,0,0,0,0,10730,362,0,5312,2089,0,3885,0,0,0,0,0
contig_21777,0,0,228,0,0,0,0,0,0,0,0,0,2500,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,0
contig_21781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,0,0,0,0,0,0,0,0,0,3126
contig_21796,7001,3314,0,0,6335,0,0,0,0,0,45535,0,969,0,0,12212,5937,0,0,0,0,0,0,0,0,0,0,0,0,10895,24001,50949,32833,22574,4158,58,3905,0,0,0,0,0,0,7382,3605,5236,0
contig_21802,831,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,593,830,0,0,120,1301,0,0,0,0,1287,0,0,0,0,0
contig_21810,721,1516,1962,0,0,0,0,0,0,0,0,0,0,0,813,0,0,900,466,603,0,0,0,0,0,0,0,568,0,0,0,4286,0,0,0,0,2882,0,2665,129,0,0,0,0,0,0,3223
contig_21821,0,0,292,0,0,0,0,0,0,0,0,0,0,0,861,0,0,0,0,0,1893,0,0,0,0,716,0,4998,0,0,0,0,0,0,0,0,0,0,0,3262,0,0,0,0,0,0,0
contig_21822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0
contig_21836,0,1504,0,0,10748,0,0,0,0,0,0,0,0,0,0,0,0,1019,2767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7694,23932,2096,0,3124,716,0,0,0,0,0,0,0
contig_2186,0,0,0,0,0,0,101,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21863,536,723,1984,0,0,0,0,0,0,0,954,0,0,0,354,0,1340,1536,2017,0,707,0,766,0,0,804,0,0,207,1112,937,2778,4423,8581,3263,1595,867,0,7928,1197,0,11081,0,179,0,10014,814
contig_21867,9893,0,0,0,0,0,0,0,0,0,23836,0,353,0,0,0,0,1136,0,0,0,0,1828,33339,0,0,0,0,0,0,0,115605,0,0,0,0,0,0,0,0,0,0,0,0,1297,9438,0
contig_21872,105,0,0,0,115,0,0,0,0,0,0,0,83,0,0,805,0,84,891,0,0,0,161,0,0,0,0,0,425,397,0,8797,275,0,72,66,632,0,0,0,0,365,0,0,33,653,0
contig_21873,79462,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,3138,0,0,0,0,0,0,0,0,0,0,0,0,164,8767,0,0,0,0,0,0,0,0,0,0
contig_21885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,3034,0,0,0,0,0,0,288,0,0,0,0,0,0,590,0,0,0,0,0,661,1288,0,245,0,0,1253,0,0,0,2780,0
contig_21898,2284,0,0,0,0,0,0,0,0,0,0,0,3497,686,0,2868,6024,2795,4299,0,0,0,59,11924,0,0,0,0,74,0,0,166,3322,0,510,0,0,0,0,0,2233,2293,0,2743,887,799,0
contig_21909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15927,0,0,0,0,0,0,0,0,0,0,44421,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21955,1971,0,540,0,0,0,0,0,0,0,0,0,0,0,64,0,2976,2303,1299,0,0,0,6076,0,0,0,0,0,0,0,0,0,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_21963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
contig_21972,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1204,0,0,0,1785,0,0,0,0,0,0,0,10652
contig_21979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524,0,603,0,0,0,0,0
contig_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4027,0,0,0,0,0,0,0,0,0,0,311,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_22013,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,689,0,0,0,127,0,0,0,0,0,0,0
contig_22014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,4845,0,0,0,0,0,0,0,0,0,0,0,0,0,2227,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0
contig_22026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_22052,0,0,0,0,0,0,0,0,0,0,0,0,103,0,291,0,0,0,47,0,66,0,0,0,0,0,0,0,0,0,0,35900,0,0,0,162,0,0,799,0,0,0,0,0,0,2747,58
contig_22054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_22068,0,0,0,0,0,0,0,0,0,0,0,0,2088,0,0,0,0,1865,2208,62,0,0,0,0,0,0,0,0,0,143,0,0,1323,0,0,0,0,0,0,88,0,1405,0,1690,610,0,0
contig_22078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0
contig_22091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,596,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0
contig_22095,1523,1543,690,0,0,0,0,0,0,0,0,0,6130,0,0,0,0,4129,225,0,0,0,0,0,0,0,0,0,0,1500,0,6082,1691,0,2690,0,164,0,0,0,0,0,0,2061,5501,0,0
contig_22098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,405,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_22115,5174,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572,0,0,0,0,0,0,0,0,0,0,0,1465,0,0,0,0,0
contig_22146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26754,34039,0,0
contig_22153,0,0,0,0,1554,0,0,0,0,0,0,0,1350,0,0,0,12834,17980,273,0,0,0,0,0,0,0,202,407,2170,0,0,816,215,5931,0,560,4795,0,662,0,0,0,0,29449,37836,14328,0
contig_22156,1193,0,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,709,135,71,0,5750,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,828,0,488,0,0,0,0,0
contig_22217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,714,0,0,0,0,0
contig_22218,0,0,145,0,0,0,0,0,0,0,0,0,1546,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,1770,0,0,0,0,0,0,0,420
contig_22230,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3799,705,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,861,0,0,0,894,0,0,0
contig_22240,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12454,0,0,0,0,0,0,0,0,0,0,0
contig_22250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_22254,442,1130,0,0,1153,0,0,0,0,0,4105,0,293,0,0,1817,2322,14691,1520,0,0,0,103,2251,231,0,0,0,4865,644,2030,648,4638,244,1045,314,3057,0,15841,486,0,977,0,0,0,6054,0
contig_22267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,4251,633,0,0,0,0,0,0,0,0,0,0,0,0,2379,0,0,0,0,86,601,0,0,0,0,0,0,0,0,0,0
contig_22272,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5550,473,1138,0,2334,1342,0,0,0,0,0,0,584
contig_22278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_22280,636,0,0,0,0,0,0,0,0,0,0,0,863,0,0,0,4231,2412,1001,6658,6933,0,0,0,0,0,0,12288,0,0,0,0,2956,0,583,0,0,0,0,687,0,2910,0,571,0,0,0
contig_22287,3224,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,1726,4314,1598,0,0,0,0,0,0,0,0,0,3074,1935,4816,0,7553,1859,2433,0,1300,0,518,157,0,0,0,0,2926,16996,137
contig_22301,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
contig_22315,848,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,309,169,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,138
contig_22317,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_22320,8698,0,0,0,0,0,0,0,0,0,0,0,1270,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14123,0,0,0,0,0,213,0,0,0
contig_22331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,76,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0
contig_22379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,0,0,0,0,0,0,0,0
contig_22388,0,3229,0,0,6862,0,0,0,0,0,0,0,1238,0,0,0,849,676,463,0,0,0,8847,1774,0,0,0,0,10453,0,0,163240,2404,948,0,260,4158,0,4853,0,0,0,0,0,10090,0,0
contig_22417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,4422
contig_22428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,848,0,0,0,0,0,0,0
contig_22440,8204,0,1994,0,0,0,0,0,0,0,0,0,2637,123,2844,0,980,651,469,0,1253,0,0,0,0,0,0,24889,0,980,0,0,0,13028,0,4739,0,0,0,310,1028,15800,0,0,0,0,60
contig_22452,0,0,2545,0,0,0,0,0,0,0,0,0,0,0,0,7284,0,0,0,0,0,0,0,0,0,0,0,0,0,3866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_22483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,2608,5820,430,0,0,0,0,0,0,0,0,0,0,0,0,959,0,0,0,0,0,0,516,0,174,0,0,0,0,0
