"orf_id","gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model","p.adj","n_tests_gene"
"edge_1468_16","edge_1468_16","t0-36",6.79975508680515,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_16","edge_1468_16","t0-over42",-2.81403510784815,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_18","edge_1468_18","t0-6",-2.61170828544949,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_18","edge_1468_18","t0-12",-2.62275853831708,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_18","edge_1468_18","t0-18",-6.297086911759,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_18","edge_1468_18","t0-24",-7.75358975365435,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_18","edge_1468_18","t0-30",-10.7062539871727,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_18","edge_1468_18","t0-36",-12.3075514423674,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_18","edge_1468_18","t0-over42",-9.68110494597284,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_23","edge_1468_23","t0-6",-2.17310871348388,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_23","edge_1468_23","t0-12",-13.0402423924204,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_23","edge_1468_23","t0-18",-4.95532064384667,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_23","edge_1468_23","t0-24",-10.9149389369048,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_23","edge_1468_23","t0-30",-13.0494658761189,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_23","edge_1468_23","t0-36",38.1159614559437,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_23","edge_1468_23","t0-over42",1.17109608515656,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_30","edge_1468_30","t0-6",-11.2758335720471,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_30","edge_1468_30","t0-12",-44.7718512073823,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_30","edge_1468_30","t0-18",-8.05954015075873,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_30","edge_1468_30","t0-24",-6.346913436903,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_30","edge_1468_30","t0-30",-31.3501022402614,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_30","edge_1468_30","t0-36",-28.770544672208,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_30","edge_1468_30","t0-over42",-4.80054141085395,NA,NA,NA,NA,"abundance_nbinom",NA,7
"edge_1468_32","edge_1468_32","t0-6",-2.50878465591021,NA,NA,NA,NA,"abundance_nbinom",NA,7
