"orf_id","term","estimate","std.error","statistic","p.value","p.adj","conf.low","conf.high","OR","source"
"edge_1496_4","TP (CELIAC): (t0-12) vs t0",-809.369888550499,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1496_4","TP (CELIAC): (t0-18) vs t0",-1660.61650092453,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1496_4","TP (CELIAC): (t0-24) vs t0",-1677.69720065236,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1496_4","TP (CELIAC): (t0-30) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1496_4","TP (CELIAC): (t0-36) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1496_4","TP (CELIAC): (t0-6) vs t0",-262.720533533775,NA,NA,NA,NA,NA,NA,7.9785138560499e-115,"model_or_emmeans"
"edge_1496_4","TP (CELIAC): (t0-over42) vs t0",-1079.36710954692,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1496_5","TP (CELIAC): (t0-12) vs t0",-809.369888550499,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1496_5","TP (CELIAC): (t0-18) vs t0",-1660.61650092453,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1496_5","TP (CELIAC): (t0-24) vs t0",-1677.69720065236,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1496_5","TP (CELIAC): (t0-30) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1496_5","TP (CELIAC): (t0-36) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1496_5","TP (CELIAC): (t0-6) vs t0",-262.720533533775,NA,NA,NA,NA,NA,NA,7.9785138560499e-115,"model_or_emmeans"
"edge_1496_5","TP (CELIAC): (t0-over42) vs t0",-1079.36710954692,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1496_6","TP (CELIAC): (t0-12) vs t0",-16.7479058180905,NA,NA,NA,NA,NA,NA,5.32692914032845e-08,"model_or_emmeans"
"edge_1496_6","TP (CELIAC): (t0-18) vs t0",-56.8891404376077,NA,NA,NA,NA,NA,NA,1.96498947140529e-25,"model_or_emmeans"
"edge_1496_6","TP (CELIAC): (t0-24) vs t0",-58.3931796104238,NA,NA,NA,NA,NA,NA,4.36681018337816e-26,"model_or_emmeans"
"edge_1496_6","TP (CELIAC): (t0-30) vs t0",-32.475929480644,NA,NA,NA,NA,NA,NA,7.86833843938388e-15,"model_or_emmeans"
"edge_1496_6","TP (CELIAC): (t0-36) vs t0",-32.475929480644,NA,NA,NA,NA,NA,NA,7.86833843938377e-15,"model_or_emmeans"
"edge_1496_6","TP (CELIAC): (t0-6) vs t0",-4.78543737922316,NA,NA,NA,NA,NA,NA,0.00835047062674575,"model_or_emmeans"
"edge_1496_6","TP (CELIAC): (t0-over42) vs t0",-36.2880432333907,NA,NA,NA,NA,NA,NA,1.73901394534374e-16,"model_or_emmeans"
"edge_1497_10","TP (CELIAC): (t0-12) vs t0",-809.369888550499,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_10","TP (CELIAC): (t0-18) vs t0",-1660.61650092453,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_10","TP (CELIAC): (t0-24) vs t0",-1677.69720065236,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_10","TP (CELIAC): (t0-30) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_10","TP (CELIAC): (t0-36) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_10","TP (CELIAC): (t0-6) vs t0",-262.720533533775,NA,NA,NA,NA,NA,NA,7.9785138560499e-115,"model_or_emmeans"
"edge_1497_10","TP (CELIAC): (t0-over42) vs t0",-1079.36710954692,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_2","TP (CELIAC): (t0-12) vs t0",-809.369888550499,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_2","TP (CELIAC): (t0-18) vs t0",-1660.61650092453,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_2","TP (CELIAC): (t0-24) vs t0",-1677.69720065236,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_2","TP (CELIAC): (t0-30) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_2","TP (CELIAC): (t0-36) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_2","TP (CELIAC): (t0-6) vs t0",-262.720533533775,NA,NA,NA,NA,NA,NA,7.9785138560499e-115,"model_or_emmeans"
"edge_1497_2","TP (CELIAC): (t0-over42) vs t0",-1079.36710954692,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_3","TP (CELIAC): (t0-12) vs t0",-809.369888550499,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_3","TP (CELIAC): (t0-18) vs t0",-1660.61650092453,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_3","TP (CELIAC): (t0-24) vs t0",-1677.69720065236,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_3","TP (CELIAC): (t0-30) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_3","TP (CELIAC): (t0-36) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_3","TP (CELIAC): (t0-6) vs t0",-262.720533533775,NA,NA,NA,NA,NA,NA,7.9785138560499e-115,"model_or_emmeans"
"edge_1497_3","TP (CELIAC): (t0-over42) vs t0",-1079.36710954692,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_4","TP (CELIAC): (t0-12) vs t0",-809.369888550499,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_4","TP (CELIAC): (t0-18) vs t0",-1660.61650092453,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_4","TP (CELIAC): (t0-24) vs t0",-1677.69720065236,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_4","TP (CELIAC): (t0-30) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_4","TP (CELIAC): (t0-36) vs t0",-949.790080798619,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_4","TP (CELIAC): (t0-6) vs t0",-262.720533533775,NA,NA,NA,NA,NA,NA,7.9785138560499e-115,"model_or_emmeans"
"edge_1497_4","TP (CELIAC): (t0-over42) vs t0",-1079.36710954692,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
"edge_1497_6","TP (CELIAC): (t0-12) vs t0",-809.369888550499,NA,NA,NA,NA,NA,NA,0,"model_or_emmeans"
