"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae",570313.162118007,-9.21661842954715,3.74701936955803,-2.45971998555062,0.0139045453858209,0.0324439392335822
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family",2338.37392263094,-8.88345717225267,2.75795933319521,-3.22102543911001,0.00127732809574096,0.00447064833509335
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae",8644212.84647842,-19.0013630799968,3.21361952010203,-5.91276066165839,3.36420850672671e-09,2.3549459547087e-08
