old_id	new_id
virus_comp_839_cycle_1	sample-1_160_33408
virus_comp_841_cycle_1	sample-1_161_32992
virus_comp_845_cycle_1	sample-1_162_32782
virus_comp_844_cycle_1	sample-1_163_32754
virus_comp_843_cycle_1	sample-1_164_32716
edge_295	sample-1_165_32602
edge_263	sample-1_166_32413
edge_1845	sample-1_167_32376
edge_1915	sample-1_168_32214
virus_comp_853_cycle_1	sample-1_169_32062
virus_comp_851_cycle_1	sample-1_170_32043
virus_comp_852_cycle_1	sample-1_171_31805
virus_comp_855_cycle_1	sample-1_172_31791
virus_comp_17906_cycle_1	sample-1_173_31785
virus_comp_798_cycle_1	sample-1_174_31530
virus_comp_206_cycle_1	sample-1_175_31393
edge_1989	sample-1_176_31368
edge_1896	sample-1_177_31055
virus_comp_856_cycle_1	sample-1_178_30956
edge_1957	sample-1_179_30513
edge_296	sample-1_180_30313
virus_comp_17902_cycle_1	sample-1_181_30150
virus_comp_882_cycle_1	sample-1_182_29760
virus_comp_17903_cycle_1	sample-1_183_29585
edge_294	sample-1_184_29543
virus_comp_889_cycle_1	sample-1_185_28813
virus_comp_890_cycle_1	sample-1_186_28779
virus_comp_893_cycle_1	sample-1_187_28542
virus_comp_894_cycle_1	sample-1_188_28383
edge_1782	sample-1_189_28329
edge_330	sample-1_190_28149
virus_comp_17953_cycle_1	sample-1_191_28041
virus_comp_858_cycle_1	sample-1_192_28012
virus_comp_895_cycle_1	sample-1_193_27996
virus_comp_733_cycle_1	sample-1_194_27779
virus_comp_896_cycle_1	sample-1_195_27735
edge_1847	sample-1_196_27608
virus_comp_897_cycle_1	sample-1_197_27482
virus_comp_858_cycle_3	sample-1_198_27375
edge_957	sample-1_199_27214
virus_comp_858_cycle_2	sample-1_200_27021
virus_comp_733_cycle_3	sample-1_201_26921
edge_1495	sample-1_202_26916
edge_1803	sample-1_203_26896
virus_comp_906_cycle_1	sample-1_204_26463
virus_comp_908_cycle_1	sample-1_205_26374
edge_1631	sample-1_206_26323
virus_comp_17900_cycle_1	sample-1_207_26164
virus_comp_909_cycle_1	sample-1_208_26076
virus_comp_67_cycle_1	sample-1_209_25972
virus_comp_17909_cycle_1	sample-1_210_25933
virus_comp_863_cycle_1	sample-1_211_25866
virus_comp_17911_cycle_1	sample-1_212_25550
edge_1627	sample-1_213_25508
virus_comp_913_cycle_1	sample-1_214_25395
virus_comp_912_cycle_1	sample-1_215_25298
virus_comp_918_cycle_1	sample-1_216_25259
virus_comp_17919_cycle_1	sample-1_217_25180
virus_comp_17907_cycle_1	sample-1_218_25154
virus_comp_924_cycle_2	sample-1_219_25153
virus_comp_924_cycle_3	sample-1_220_25056
virus_comp_924_cycle_1	sample-1_221_24959
virus_comp_933_cycle_1	sample-1_222_24919
virus_comp_934_cycle_1	sample-1_223_24917
virus_comp_479_cycle_1	sample-1_224_24837
virus_comp_939_cycle_1	sample-1_225_24667
virus_comp_940_cycle_1	sample-1_226_24623
virus_comp_941_cycle_1	sample-1_227_24572
edge_75	sample-1_228_24518
virus_comp_945_cycle_1	sample-1_229_24153
virus_comp_17920_cycle_1	sample-1_230_24097
edge_2381	sample-1_231_24048
edge_284	sample-1_232_23987
virus_comp_915_cycle_1	sample-1_233_23866
virus_comp_478_cycle_1	sample-1_234_23865
virus_comp_60_cycle_1	sample-1_235_23625
virus_comp_872_cycle_1	sample-1_236_23618
virus_comp_954_cycle_1	sample-1_237_23564
virus_comp_17910_cycle_1	sample-1_238_23461
virus_comp_957_cycle_1	sample-1_239_23283
virus_comp_971_cycle_1	sample-1_240_23064
virus_comp_280_cycle_1	sample-1_241_22966
virus_comp_17922_cycle_1	sample-1_242_22893
virus_comp_962_cycle_1	sample-1_243_22810
virus_comp_964_cycle_1	sample-1_244_22712
virus_comp_965_cycle_1	sample-1_245_22641
virus_comp_966_cycle_1	sample-1_246_22618
virus_comp_974_cycle_1	sample-1_247_22447
virus_comp_568_cycle_1	sample-1_248_22293
virus_comp_976_cycle_1	sample-1_249_22221
edge_2486	sample-1_250_22064
edge_965	sample-1_251_22039
edge_2378	sample-1_252_22016
virus_comp_977_cycle_1	sample-1_253_21959
virus_comp_992_cycle_1	sample-1_254_21862
virus_comp_980_cycle_1	sample-1_255_21829
edge_2044	sample-1_256_21791
virus_comp_984_cycle_1	sample-1_257_21748
virus_comp_1480_cycle_1	sample-1_258_21686
edge_48732	sample-1_259_21633
virus_comp_985_cycle_1	sample-1_260_21610
edge_3513	sample-1_261_21597
virus_comp_17924_cycle_1	sample-1_262_21481
virus_comp_958_cycle_1	sample-1_263_21462
virus_comp_17925_cycle_1	sample-1_264_21328
edge_1515	sample-1_265_21191
edge_2008	sample-1_266_20973
virus_comp_986_cycle_1	sample-1_267_20825
virus_comp_988_cycle_1	sample-1_268_20758
virus_comp_987_cycle_1	sample-1_269_20724
virus_comp_999_cycle_1	sample-1_270_20518
edge_2194	sample-1_271_20511
virus_comp_1000_cycle_1	sample-1_272_20501
virus_comp_1001_cycle_1	sample-1_273_20403
virus_comp_1002_cycle_1	sample-1_274_20329
virus_comp_1003_cycle_1	sample-1_275_20325
virus_comp_17933_cycle_1	sample-1_276_20303
virus_comp_1007_cycle_1	sample-1_277_20221
virus_comp_17970_cycle_1	sample-1_278_20204
virus_comp_1006_cycle_1	sample-1_279_20132
edge_48662	sample-1_280_19916
virus_comp_1011_cycle_1	sample-1_281_19894
edge_1496	sample-1_282_19892
virus_comp_768_cycle_1	sample-1_283_19781
virus_comp_1012_cycle_1	sample-1_284_19693
virus_comp_1013_cycle_1	sample-1_285_19643
virus_comp_1018_cycle_1	sample-1_286_19584
edge_1501	sample-1_287_19529
virus_comp_17935_cycle_1	sample-1_288_19276
virus_comp_17949_cycle_1	sample-1_289_19242
virus_comp_1022_cycle_1	sample-1_290_19230
virus_comp_720_cycle_1	sample-1_291_19161
virus_comp_17934_cycle_1	sample-1_292_19139
virus_comp_418_cycle_1	sample-1_293_18953
virus_comp_1027_cycle_1	sample-1_294_18910
virus_comp_1028_cycle_1	sample-1_295_18879
virus_comp_17797_cycle_1	sample-1_296_18862
virus_comp_1029_cycle_1	sample-1_297_18837
virus_comp_840_cycle_1	sample-1_298_18793
virus_comp_1026_cycle_1	sample-1_299_18790
virus_comp_407_cycle_1	sample-1_300_18745
virus_comp_1030_cycle_1	sample-1_301_18724
virus_comp_1033_cycle_1	sample-1_302_18637
virus_comp_1023_cycle_1	sample-1_303_18609
virus_comp_1034_cycle_1	sample-1_304_18581
edge_72	sample-1_305_18564
virus_comp_163_cycle_1	sample-1_306_18506
virus_comp_1037_cycle_1	sample-1_307_18408
virus_comp_1038_cycle_1	sample-1_308_18343
virus_comp_1039_cycle_1	sample-1_309_18290
virus_comp_1040_cycle_1	sample-1_310_18280
virus_comp_1041_cycle_1	sample-1_311_18248
virus_comp_1053_cycle_1	sample-1_312_18209
virus_comp_1054_cycle_1	sample-1_313_18148
virus_comp_1057_cycle_1	sample-1_314_18059
virus_comp_1058_cycle_1	sample-1_315_18050
edge_2063	sample-1_316_18020
virus_comp_1059_cycle_1	sample-1_317_18003
virus_comp_1060_cycle_1	sample-1_318_17986
edge_2484	sample-1_319_17973
virus_comp_1066_cycle_1	sample-1_320_17777
virus_comp_1070_cycle_1	sample-1_321_17717
virus_comp_1071_cycle_1	sample-1_322_17660
virus_comp_1075_cycle_1	sample-1_323_17586
virus_comp_1076_cycle_1	sample-1_324_17526
virus_comp_417_cycle_1	sample-1_325_17480
virus_comp_1078_cycle_1	sample-1_326_17298
virus_comp_1086_cycle_1	sample-1_327_17274
virus_comp_1080_cycle_1	sample-1_328_17241
virus_comp_1081_cycle_1	sample-1_329_17227
virus_comp_905_cycle_1	sample-1_330_17166
virus_comp_17858_cycle_1	sample-1_331_17159
virus_comp_1089_cycle_1	sample-1_332_17112
virus_comp_1095_cycle_1	sample-1_333_17030
virus_comp_1093_cycle_1	sample-1_334_17029
virus_comp_1096_cycle_1	sample-1_335_16975
virus_comp_1097_cycle_1	sample-1_336_16953
virus_comp_1098_cycle_1	sample-1_337_16913
virus_comp_1099_cycle_1	sample-1_338_16893
edge_1596	sample-1_339_16893
virus_comp_17945_cycle_1	sample-1_340_16877
virus_comp_1109_cycle_1	sample-1_341_16837
virus_comp_1108_cycle_1	sample-1_342_16779
virus_comp_1086_cycle_3	sample-1_343_16753
virus_comp_1110_cycle_1	sample-1_344_16734
virus_comp_17965_cycle_1	sample-1_345_16705
virus_comp_1113_cycle_1	sample-1_346_16678
virus_comp_1115_cycle_1	sample-1_347_16656
virus_comp_1249_cycle_1	sample-1_348_16640
virus_comp_1116_cycle_1	sample-1_349_16613
virus_comp_1086_cycle_2	sample-1_350_16544
virus_comp_1117_cycle_1	sample-1_351_16519
virus_comp_1118_cycle_1	sample-1_352_16508
virus_comp_1119_cycle_1	sample-1_353_16498
edge_329	sample-1_354_16497
virus_comp_1120_cycle_1	sample-1_355_16468
virus_comp_460_cycle_1	sample-1_356_16447
virus_comp_1131_cycle_2	sample-1_357_16281
virus_comp_164_cycle_1	sample-1_358_16186
virus_comp_1131_cycle_1	sample-1_359_16172
virus_comp_1145_cycle_1	sample-1_360_16170
virus_comp_1149_cycle_1	sample-1_361_16112
virus_comp_998_cycle_1	sample-1_362_16099
virus_comp_1152_cycle_1	sample-1_363_15973
virus_comp_17956_cycle_1	sample-1_364_15905
edge_1476	sample-1_365_15886
edge_205	sample-1_366_15864
virus_comp_18011_cycle_1	sample-1_367_15833
virus_comp_1061_cycle_1	sample-1_368_15766
virus_comp_17955_cycle_1	sample-1_369_15753
virus_comp_505_cycle_1	sample-1_370_15682
virus_comp_1170_cycle_1	sample-1_371_15673
edge_192	sample-1_372_15670
virus_comp_1173_cycle_1	sample-1_373_15617
virus_comp_1171_cycle_1	sample-1_374_15610
virus_comp_1183_cycle_1	sample-1_375_15491
virus_comp_1186_cycle_1	sample-1_376_15462
virus_comp_1188_cycle_1	sample-1_377_15412
virus_comp_1185_cycle_1	sample-1_378_15355
virus_comp_1191_cycle_1	sample-1_379_15347
virus_comp_1189_cycle_1	sample-1_380_15345
virus_comp_1190_cycle_1	sample-1_381_15342
virus_comp_17984_cycle_1	sample-1_382_15300
virus_comp_1198_cycle_1	sample-1_383_15262
virus_comp_1201_cycle_1	sample-1_384_15217
virus_comp_17963_cycle_1	sample-1_385_15143
edge_48728	sample-1_386_15132
virus_comp_17966_cycle_1	sample-1_387_15086
virus_comp_1203_cycle_1	sample-1_388_15041
virus_comp_1205_cycle_1	sample-1_389_14972
virus_comp_1208_cycle_1	sample-1_390_14945
virus_comp_1210_cycle_1	sample-1_391_14939
edge_2461	sample-1_392_14938
virus_comp_1209_cycle_1	sample-1_393_14926
virus_comp_1212_cycle_1	sample-1_394_14876
virus_comp_1218_cycle_1	sample-1_395_14864
