qname	tname	num_alns	pid	qcov	tcov
sample-1_12_101623	MT774396_1_101153	16	80.22	16.49	16.59
sample-1_12_101623	NG-14571_115xxx_NODE_1_length_101130_cov_1132.63	12	79.64	15.7	15.78
sample-1_12_101623	sample-1_9_104613	15	80.07	17.25	16.79
sample-1_12_101623	sample-1_13_99291	16	80.0	14.53	14.88
sample-1_12_101623	3300014788_____Ga0134381_1000049	11	77.24	9.17	9.0
sample-1_12_101623	3300007714_____Ga0105661_1000061	10	76.25	12.93	12.99
sample-1_12_101623	OLNQ01000088	3	75.76	5.54	5.59
sample-1_12_101623	ERR589777_NODE_213_length_102559_cov_114.718	3	75.37	4.89	4.84
sample-1_12_101623	sample-1_11_101626	8	77.05	9.19	9.19
sample-1_12_101623	MT774405_1_99848	11	77.57	11.98	12.19
sample-1_12_101623	MN037_S1_79	7	78.54	6.62	6.72
sample-1_12_101623	OLWW01000036	5	79.11	4.97	5.04
sample-1_12_101623	OCPX01000081	3	76.23	2.27	2.27
sample-1_12_101623	ERR843949_ms_1	3	75.68	1.82	1.86
sample-1_12_101623	MZ130477_1_100971	2	78.11	1.15	1.16
sample-1_12_101623	MT774375_1_98826	2	76.03	1.47	1.5
sample-1_12_101623	OLRA01000126	2	78.81	1.0	0.99
sample-1_12_101623	3300006463_____Ga0100176_1000099	1	72.5	1.13	1.1
sample-1_12_101623	OLNZ01000083	1	72.46	1.12	1.09
sample-1_12_101623	MT774406_1_101532	1	72.11	1.12	1.12
sample-1_12_101623	MZ130491_1_98573	1	78.91	0.41	0.42
sample-1_12_101623	OHFX01000006	1	95.71	0.16	0.09
sample-1_12_101623	OLPB01000025	3	75.12	0.78	0.78
sample-1_12_101623	ERR589843_NODE_134_length_102073_cov_9.78706	2	73.25	0.7	0.7
sample-1_12_101623	PPYE01511035	1	71.25	0.62	0.33
sample-1_12_101623	OGQH01000028	1	98.18	0.05	0.03
sample-1_12_101623	OHMA01000001	1	98.18	0.05	0.03
sample-1_12_101623	OKSX01000010	1	98.18	0.05	0.03
sample-1_12_101623	MT774379_1_92600	1	100.0	0.05	0.05
sample-1_12_101623	OGTB01000008	1	96.23	0.05	0.03
sample-1_12_101623	OMGK01000003	1	96.23	0.05	0.03
sample-1_5_155540	OMGY01000027	45	89.85	71.23	74.97
sample-1_5_155540	OGZF01000025	51	89.78	81.99	84.41
sample-1_5_155540	OJSE01000052	48	89.25	73.87	76.9
sample-1_5_155540	OIWQ01000029	49	89.61	77.19	78.75
sample-1_5_155540	OLOZ01000027	46	89.08	80.01	79.99
sample-1_5_155540	sample-1_7_152939	46	89.27	82.82	83.71
sample-1_5_155540	sample-1_4_157545	47	89.65	83.3	82.1
sample-1_5_155540	OBWI01000023	50	90.22	81.57	81.99
sample-1_5_155540	PPYF01266999	2	81.45	1.52	1.54
sample-1_5_155540	OHKV01000027	2	79.74	1.33	1.36
sample-1_5_155540	OLOG01000029	2	82.7	1.28	1.28
sample-1_5_155540	OGZF01000022	2	81.51	0.78	0.76
sample-1_5_155540	OIAT01000008	3	83.02	1.38	1.4
sample-1_5_155540	OLZO01000021	1	76.19	0.91	0.92
sample-1_5_155540	ERR843949_ms_1	2	84.73	0.48	0.71
sample-1_5_155540	OLQV01000028	3	80.51	1.13	1.12
sample-1_5_155540	OGOO01000044	2	76.91	1.25	1.28
sample-1_5_155540	OJQQ01000027	2	79.23	1.02	1.0
sample-1_5_155540	OFMU01000028	2	83.75	0.61	0.62
sample-1_5_155540	OHYE01000011	2	83.97	0.55	0.54
sample-1_5_155540	OHEN01000023	1	79.74	0.4	0.41
sample-1_5_155540	OLRA01000126	2	84.84	0.53	0.75
sample-1_5_155540	MZ130477_1_100971	2	93.7	0.23	0.36
sample-1_5_155540	OLPB01000025	2	95.06	0.21	0.31
sample-1_5_155540	MT774395_1_103665	1	75.0	0.14	0.21
sample-1_2895_2535	HvCF_E4_ms_4	4	93.76	54.71	1.34
sample-1_2895_2535	NG-15813_95_lib254056_NODE_1_length_102100_cov_1588.91	3	91.76	60.51	1.5
sample-1_2895_2535	MT774398_1_100198	3	92.23	28.32	0.72
sample-1_2895_2535	MT774397_1_97290	3	90.16	17.24	0.44
sample-1_2895_2535	MT774395_1_103665	1	85.9	11.99	0.29
sample-1_2895_2535	MT774396_1_101153	1	76.28	21.74	0.54
sample-1_2895_2535	NG-14571_115xxx_NODE_1_length_101130_cov_1132.63	1	76.53	21.74	0.54
sample-1_2895_2535	MN037_S1_79	1	83.86	9.9	0.25
sample-1_2895_2535	OLWW01000036	1	82.04	9.55	0.24
