,01_GEMM_006_12M,01_GEMM_006_18M,01_GEMM_006_24M,01_GEMM_006_30M,01_GEMM_006_36M,01_GEMM_006_48M,01_GEMM_006_60M,01_GEMM_011_12M,01_GEMM_011_18M,01_GEMM_011_24M,01_GEMM_011_30M,01_GEMM_011_36M,01_GEMM_011_48M,01_GEMM_011_60M,01_GEMM_016_12M,01_GEMM_016_18M,01_GEMM_016_24M,01_GEMM_016_30M,01_GEMM_016_36M,01_GEMM_016_48M,01_GEMM_019_12M,01_GEMM_019_18M,01_GEMM_019_24M,01_GEMM_019_30M,01_GEMM_019_36M,01_GEMM_019_48M,01_GEMM_019_60M,01_GEMM_053_12M,01_GEMM_053_18M,01_GEMM_053_24M,01_GEMM_057_12M,01_GEMM_057_18M,01_GEMM_057_24M,01_GEMM_057_30M,01_GEMM_057_36M,01_GEMM_057_48M,01_GEMM_060_12M,01_GEMM_060_18M,01_GEMM_060_24M,01_GEMM_060_30M,01_GEMM_060_36M,01_GEMM_060_48M,01_GEMM_060_60M,01_GEMM_062_12M,01_GEMM_062_18M,01_GEMM_062_24M,01_GEMM_062_30M,01_GEMM_062_36M,01_GEMM_062_48M,01_GEMM_068_12M,01_GEMM_068_18M,01_GEMM_068_24M,01_GEMM_068_30M,01_GEMM_068_36M,01_GEMM_068_48M,01_GEMM_068_60M,01_GEMM_102_12M,01_GEMM_102_18M,01_GEMM_102_24M,01_GEMM_102_30M,01_GEMM_105_12M,01_GEMM_105_18M,01_GEMM_105_24M,01_GEMM_105_30M,01_GEMM_105_36M,01_GEMM_105_48M,01_GEMM_109_12M,01_GEMM_109_18M,01_GEMM_109_24M,01_GEMM_109_30M,01_GEMM_109_36M,01_GEMM_109_48M,01_GEMM_139_12M,01_GEMM_139_18M,01_GEMM_152_12M,01_GEMM_152_18M,01_GEMM_152_24M,01_GEMM_152_30M,01_GEMM_152_36M,01_GEMM_152_48M,01_GEMM_152_54M,01_GEMM_154_12M,01_GEMM_154_18M,01_GEMM_154_24M,01_GEMM_154_36M,01_GEMM_154_48M,01_GEMM_154_60M,01_GEMM_179_12M,01_GEMM_179_18M,01_GEMM_179_24M,01_GEMM_179_30M,01_GEMM_179_36M,01_GEMM_179_48M
contig_25893,0,0,0,0,406,381,0,0,0,0,0,0,0,0,0,6300,0,0,0,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,852,0,0,0,0,0,0,0,0,0,273,365,11816,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_259,0,845,0,0,24,0,0,0,0,0,817,0,0,0,0,217,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,400,0,0,105,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_25908,0,0,0,285,172,0,0,0,0,0,0,0,0,0,0,31041,1533,1229,507,437,4215,0,0,0,0,0,0,0,0,146,0,0,0,184,0,0,0,0,0,0,0,0,0,3188,0,0,0,0,0,3164,0,0,696,0,0,0,0,0,0,0,0,0,0,67,0,184,0,0,0,0,0,0,0,833,4022,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_25918,0,0,0,0,0,0,0,0,0,37,3420,0,0,0,0,0,0,0,0,0,589,0,71,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,514,0,0,0,0,0,0,690,1256,1339,103271,196,2028,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,2697,0,0,0,0,0,0,0,0,0,0,0,78,3418,0,0,0,0,65,70
contig_25925,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,6289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_25927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,284,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_25951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62126,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11837,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_25964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,6298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_25981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,69,0,0,0,0,0,187
contig_25982,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,4467,0,662,0,1140,1006,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,7842,0,0,0,0,0,298,1096,0,449,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,1734,0,0,0,0,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,17,0,337,2453,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,138,137,156,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
contig_260,398,128,0,0,0,0,0,0,0,0,2029,0,0,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,2394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,15839,0,0,0,0,0,0,0,0,0,0,0,0,0,15545,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2762,0,612,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26002,744,0,0,0,1068,475,0,0,0,0,0,0,0,0,0,572,585,0,44,1524,93,0,0,0,0,0,0,0,0,2090,0,490,233,2439,0,0,512,0,0,0,0,0,0,0,0,0,0,109,0,4173,11846,220,2755,311,1522,1191,0,0,0,0,0,0,0,797,0,3367,0,74,0,0,0,0,0,82,349,0,58,93,3746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470,0,223,0,0,0,0,0,0,0,0,12128,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74986,312,0,585,0,0,0,0,0,0,0,0,0,0,0,1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3802,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84592,2712,5927,816,2001,0,0,0,0,0,0,0,0,0,1081,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,133,129,0,0,0,0,0,2080
contig_26093,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,2540,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,785,1243,0,0,96,0,0,0,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_2611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,167,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26116,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3753,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,1131,0,0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4074,0,447,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,418,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26125,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52480,0,0,0,0,0,0,30,0,0,0,0,0,0,275,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,30,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26144,547,0,0,0,4651,0,0,0,0,0,0,0,0,287,0,1850,953,3692,1895,1566,0,0,0,0,0,0,0,0,0,249,0,0,0,785,0,0,0,0,0,0,0,0,0,675,0,0,0,122,0,0,0,0,3175,0,0,1309,0,0,0,0,0,0,0,2307,0,3958,0,0,0,0,0,0,5040,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,623,620,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26159,0,0,0,0,1866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4230,0,0,0,0,0,0,0,448,0,4291,0,0,0,4503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8472,0,4102,172,0,764,0,0,0,0,0,0,0,2144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26162,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,4673,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3620,0,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,805,0,0,0,0,0,0,0,0,8602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,214,0,0,0,0,0,0,0,7770,0,0,0,0,0,0,0,0,0,0,0,0,1597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166,827,0,711,107,359,0,0,0,0,0,0,0,0,2325,0,872,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,211,99,0,228,0,0,0,0,0,0,0,2526,0,0,117,0,1384,0,0,0,0,0,0,0,415,335,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_262,0,0,0,0,0,0,0,0,0,12,291,0,0,110,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,35,344
contig_26208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,697,351,0,151,0,0,0,0,0,0,0,34,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26209,0,0,0,0,0,0,0,0,0,0,22143,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8669,682,0,0,0,0,0,0,2552,14663,0,5735,2700,0,0,0,0,8436,0,0,0,0,2069,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26215,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26222,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,2615,0,0,0,2127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902,0,0,0,0,0,43,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26248,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,704,4981,8374,3179,2330,0,0,0,0,0,0,0,0,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,0,0,0,0,0,0,0,0,0,0,0,779,8028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39531,253,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26258,0,0,0,0,0,0,0,0,0,0,3139,0,0,2395,0,0,0,0,0,1467,3520,0,0,0,0,0,0,0,0,0,81,706,82,530,0,0,40,0,0,0,0,0,207,3671,382,0,0,0,0,13270,13446,382,7108,4504,1258,748,0,0,0,0,0,0,0,0,181,2751,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,0,0,0,83,117,0,0,0,0,0,0
contig_26263,1202,0,0,0,903,968,0,0,0,0,1428,0,0,0,0,8320,340,6676,747,6411,0,0,0,0,0,0,0,0,0,170,0,125,124,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2466,0,2108,1924,249,610,0,0,0,0,0,0,0,565,0,1983,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26272,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,12666,0,0,0,457,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,0,254,0,0,1444,0,0,259,0,0,0,0,0,0,0,0,0,1115,0,0,0,0,0,0,0,222,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26287,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3365,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26300,0,0,0,0,0,0,0,0,0,0,0,0,0,1353,0,11476,0,0,511,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,0,2084,821,746,401,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
contig_26308,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,2831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,176,0,0,0,0,214,3555,829,1024,251,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,37,0,0,0,0,0,61
contig_26326,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,997,0,0,282,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,497,1507,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,50,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26353,0,0,0,0,0,0,0,0,0,0,192,0,0,663,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,78,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26393,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,5481,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0
contig_26402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18723,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26441,0,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,129,0,1178,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26442,0,0,0,0,195,0,0,0,0,0,1891,0,0,190,0,0,0,0,0,0,6374,0,0,0,0,0,0,0,0,111,0,400,65,286,0,0,0,0,0,0,0,0,0,3034,185,0,0,36,0,0,1915,1103,5223,0,4931,1565,0,0,0,0,0,0,0,37,125,4852,0,0,0,0,0,0,0,124,0,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,540,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,222,0,512,6058,10962,177,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
contig_26457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20845,0,1316,2943,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,1618,0,3292,338,0,848,0,0,0,0,0,0,0,0,225,2089,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26461,0,0,0,0,0,836,0,0,0,0,0,0,0,202,0,0,0,0,4199,109,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26470,0,0,0,593,458,0,0,0,0,0,0,0,0,0,0,24954,1563,7078,0,6064,7553,0,0,0,0,0,0,0,0,386,545,1620,0,0,0,0,0,0,0,0,0,0,0,6936,0,0,2689,0,0,3499,7536,0,2612,134,477,972,0,0,0,0,0,0,0,0,0,1077,0,0,280,0,0,0,0,1926,891,0,0,0,2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2180,0,4421,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
contig_26507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1767,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444,0,0,0,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,0,0,0,76,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26522,0,0,0,0,1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,666,0,0,0,0,0,0,0,0,0,0,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,649,0,5668,925,0,0,0,0,0,0,0,0,225,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contig_26557,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,0,0,0,0,0,0,228,0,966,0,0,118,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
