"contig_id","effect","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_187","fixed",NA,"(Intercept)",-5.39480646416414,2.0472445810421,-2.63515483890941,0.00840989098301526,-9.40733211055144,-1.38228081777684
"edge_187","fixed",NA,"Dx.StatusCELIAC",0.72956781630622,2.05906330516575,0.354320245752469,0.723098896747058,-3.30612210370666,4.7652577363191
"edge_187","fixed",NA,"onset_timeline_combinedt0-6",2.12599074759311,1.83544031716954,1.15830012433836,0.246741580667227,-1.47140616983196,5.72338766501819
"edge_187","fixed",NA,"onset_timeline_combinedt0-12",-18.3876814366275,14213.3140232226,-0.00129369416636997,0.99896778168618,-27875.971267911,27839.1959050378
"edge_187","fixed",NA,"onset_timeline_combinedt0-18",-11.6038171928374,769.060707614958,-0.0150882980731438,0.987961736685674,-1518.93510604304,1495.72747165737
"edge_187","fixed",NA,"onset_timeline_combinedt0-24",1.5018362693681,2.05442563807553,0.731024886729379,0.464763952050672,-2.52476399017566,5.52843652891185
"edge_187","fixed",NA,"onset_timeline_combinedt0-30",2.32880084995786,1.89743559217404,1.22734118594749,0.21969438182846,-1.39010457368769,6.0477062736034
"edge_187","fixed",NA,"onset_timeline_combinedt0-36",1.93159222282423,1.8604187375023,1.03825670204628,0.299150560690954,-1.71476149884374,5.57794594449221
"edge_187","fixed",NA,"onset_timeline_combinedt0-over42",0.869190238321092,2.16997875712487,0.400552418067323,0.688749683591783,-3.38388997286065,5.12227044950283
"edge_187","fixed",NA,"SexMale",-1.04458868824357,1.64847670250351,-0.633669063479742,0.526296818593516,-4.27554365450379,2.18636627801665
"edge_187","fixed",NA,"Age.at.Gluten.Introduction..months.",0.00975601427793027,0.12524115239975,0.0778978322300216,0.937909323802687,-0.235712133807871,0.255224162363732
"edge_187","fixed",NA,"HLA.CategoryHigh Risk",0.598770806504084,1.21606101885374,0.492385494823677,0.622446851459113,-1.78466499345233,2.9822066064605
"edge_187","fixed",NA,"HLA.CategoryLow/No Risk",-0.708171387290195,2.4215869915351,-0.292441027213013,0.769949443331589,-5.4543946761297,4.03805190154931
"edge_187","fixed",NA,"feeding_first_yearFormula",1.26237564114258,1.40837975995754,0.896331853832264,0.37007555126356,-1.49799796492936,4.02274924721452
"edge_187","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.0733001705666647,1.25385329961886,0.0584599255662097,0.953382282639669,-2.384207138583,2.53080747971633
"edge_187","fixed",NA,"Delivery.ModeC-Section",0.543563765586263,1.26573864382661,0.42944392054188,0.667600196859248,-1.93723839015447,3.02436592132699
"edge_187","fixed",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-40.2151845469562,21221686.1426479,-1.89500420827251e-06,0.9999984880054,-41593780.7459872,41593700.3156181
"edge_187","fixed",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",19.3132968635221,14213.3141111519,0.00135881728304088,0.998915821002545,-27838.2704619492,27876.8970556763
