"contig_id","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_187","(Intercept)",-3.54798406754167,2.44990942240267e-15,2.09731308242629e+30,0,-3.54798406754167,-3.54798406754166
"edge_187","Dx.StatusCELIAC",0.647110923534078,6.37215787042872e-16,1.03129855231371e+30,0,0.647110923534077,0.647110923534079
"edge_187","onset_timeline_combinedt0-6",1.79049061953873,1.0873894400529e-15,2.71127692475514e+30,0,1.79049061953873,1.79049061953873
"edge_187","onset_timeline_combinedt0-12",-40.0779957415209,0.849999999999995,2223.17749848773,0,-41.7439651283799,-38.4120263546619
"edge_187","onset_timeline_combinedt0-18",-40.662752982602,0.840909090909094,2338.27432689573,0,-42.3109045150562,-39.0146014501479
"edge_187","onset_timeline_combinedt0-24",0.885005394776573,7.27329944674933e-16,1.48056984513906e+30,0,0.885005394776571,0.885005394776574
"edge_187","onset_timeline_combinedt0-30",1.68493371339877,1.09996658083125e-15,2.3464249009757e+30,0,1.68493371339877,1.68493371339878
"edge_187","onset_timeline_combinedt0-36",1.38440044182791,6.73531323709772e-16,4.22481661266919e+30,0,1.38440044182791,1.38440044182792
"edge_187","onset_timeline_combinedt0-over42",0.619496404485707,3.50125178973072e-16,3.1306238719803e+30,0,0.619496404485706,0.619496404485708
"edge_187","SexMale",-0.783325644212727,1.18763873368272e-15,4.35026769871687e+29,0,-0.783325644212729,-0.783325644212724
"edge_187","Age.at.Gluten.Introduction..months.",0.0085733844283081,6.00365890087643e-17,2.03925988493022e+28,0,0.00857338442830798,0.00857338442830822
"edge_187","HLA.CategoryHigh Risk",0.237714117692737,1.56730703427105e-15,2.3003916600237e+28,0,0.237714117692733,0.23771411769274
"edge_187","HLA.CategoryLow/No Risk",-0.812237593455853,9.31166699105583e-16,7.6087147130741e+29,0,-0.812237593455855,-0.812237593455852
"edge_187","feeding_first_yearFormula",0.79220254521908,1.01691695104407e-15,6.06878138777206e+29,0,0.792202545219078,0.792202545219082
"edge_187","feeding_first_yearBreastmilk_and_formula",0.141226221747737,8.45125722816419e-17,2.79246694019033e+30,0,0.141226221747737,0.141226221747737
"edge_187","Delivery.ModeC-Section",0.305290075312088,7.76715968197447e-16,1.54490189038233e+29,0,0.305290075312086,0.305290075312089
"edge_187","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-44.0980123186732,1,1944.63469045785,0,-46.0579763032133,-42.1380483341332
"edge_187","Dx.StatusCELIAC:onset_timeline_combinedt0-12",40.6677156808601,0.84999999999999,2289.08387363226,0,39.001746294001,42.3336850677191
"edge_187","Dx.StatusCELIAC:onset_timeline_combinedt0-18",42.3411247634724,0.840909090909088,2535.2844107471,0,40.6929732310182,43.9892762959265
"edge_187","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-42.5904061913958,1,1813.94269954808,0,-44.5503701759358,-40.6304422068557
"edge_187","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-43.4285776334922,1,1886.04135526825,0,-45.3885416180322,-41.4686136489521
"edge_187","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-42.9883144528346,1,1847.99517949578,0,-44.9482784373747,-41.0283504682946
"edge_187","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",0.767458782629532,NA,NA,NA,NA,NA
"edge_1980","(Intercept)",-27.2842689319595,1.00017977445077,744.163743844308,0,-29.2445852679484,-25.3239525959706
"edge_1980","Dx.StatusCELIAC",23.6804596374414,1.00017977445077,560.562600856375,0,21.7201433014525,25.6407759734303
"edge_1980","onset_timeline_combinedt0-6",25.4824031751439,1.00017977445077,649.119460412829,0,23.522086839155,27.4427195111329
"edge_1980","onset_timeline_combinedt0-12",-19.0789255407959,NA,NA,NA,NA,NA
"edge_1980","onset_timeline_combinedt0-18",-20.0417293153425,0.000179773675321329,12428484924.5495,0,-20.0420816652715,-20.0413769654135
"edge_1980","onset_timeline_combinedt0-24",25.4592580113723,1.00017977445077,647.940831134827,0,23.4989416753834,27.4195743473612
"edge_1980","onset_timeline_combinedt0-30",-19.6159459088827,0.00017977367412821,11906012158.1181,0,-19.6162982588093,-19.615593558956
"edge_1980","onset_timeline_combinedt0-36",24.3769957210512,1.00017977445077,594.024320394079,0,22.4166793850623,26.3373120570401
"edge_1980","onset_timeline_combinedt0-over42",24.0758947029805,1.00017977445077,579.440349880853,0,22.1155783669916,26.0362110389694
"edge_1980","SexMale",2.3571355028241,7.06542588883497e-15,1.1129929354947e+29,0,2.35713550282409,2.35713550282411
"edge_1980","Age.at.Gluten.Introduction..months.",-0.00115782439011854,3.6798756654895e-16,9.89963306772003e+24,0,-0.00115782439011927,-0.00115782439011782
"edge_1980","HLA.CategoryHigh Risk",-1.98345812649809,2.73824452664712e-15,5.24688585390147e+29,0,-1.9834581264981,-1.98345812649809
"edge_1980","HLA.CategoryLow/No Risk",-0.135666727717702,4.71839040895211e-15,8.26720972432434e+26,0,-0.135666727717711,-0.135666727717693
"edge_1980","feeding_first_yearFormula",-0.726900474814827,3.01748848623572e-15,5.80308139094565e+28,0,-0.726900474814833,-0.726900474814821
