"contig_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high","p.adj"
"virus_comp_103_cycle_1","fixed","cond",NA,"(Intercept)",-22.7864722868034,5.18500472668495,-4.39468688804302,1.10932531767571e-05,-32.9488948107758,-12.624049762831,3.05064462360821e-05
"virus_comp_103_cycle_1","fixed","cond",NA,"Dx.StatusCELIAC",0.107356257146267,3.38702535287885,0.0316963252297531,0.974714225457741,-6.53109144922035,6.74580396351288,0.989659860578704
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-6",-2.07862169375771,2.66584615098111,-0.779723050781724,0.435553907873812,-7.3035841380054,3.14634075048999,0.798515497768654
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-12",-4.69594268619888,2.45421701137184,-1.91341786991118,0.0556945785018646,-9.50611963873322,0.114234266335452,0.204213454506837
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-18",-1.37147410239967,2.72672366010869,-0.502975098820613,0.614981779592292,-6.71575427200593,3.97280606720659,0.823243693071777
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-24",-0.82385594612407,2.95093114131151,-0.279185079783975,0.780102793199841,-6.60757470395231,4.95986281170417,0.995300096955868
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-30",-2.01566198234945,2.96898490187217,-0.6789061072956,0.497197355784952,-7.83476546066209,3.8034414959632,0.68364636420431
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-36",-26.4581830295498,1062.83046042348,-0.0248940767269764,0.980139451858738,-2109.5676071317,2056.6512410726,0.999996315628856
"virus_comp_103_cycle_1","fixed","cond",NA,"onset_timeline_combinedt0-over42",-7.48814910495475,2.97493260708826,-2.51708192888572,0.011833130959236,-13.3189098712816,-1.65738833862791,0.0591656547961801
"virus_comp_103_cycle_1","fixed","cond",NA,"SexMale",1.03191981776033,5.26412189303384,0.196028860791748,0.844587576573336,-9.28556950281481,11.3494091383355,0.922102978070834
"virus_comp_103_cycle_1","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.0797115222131169,0.485867643437824,0.164060157719306,0.869683786297722,-0.872571560178366,1.0319946046046,0.92636647132745
"virus_comp_103_cycle_1","fixed","cond",NA,"HLA.CategoryHigh Risk",2.83418356518721,3.19116012645282,0.888135804184037,0.374467705238995,-3.42037535156061,9.08874248193503,0.598011728122439
"virus_comp_103_cycle_1","fixed","cond",NA,"HLA.CategoryLow/No Risk",0.788755779772314,4.43984591970737,0.177653863227826,0.858994820570341,-7.91318231976124,9.49069387930587,0.997473955796984
"virus_comp_103_cycle_1","fixed","cond",NA,"feeding_first_yearFormula",-0.847710762242667,3.54545942604675,-0.239097578162918,0.811029919669472,-7.79668354594235,6.10126202145702,0.811029919669472
