"contig_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_209","fixed","cond",NA,"onset_timeline_combinedt0-30",1.6440144280931,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"onset_timeline_combinedt0-36",1.51676428783464,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"onset_timeline_combinedt0-over42",1.52410782534735,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"SexMale",0.719158660256425,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.230522823650297,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"HLA.CategoryHigh Risk",0.410778534563373,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"HLA.CategoryLow/No Risk",2.319682819484,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"feeding_first_yearFormula",-53.5002313168827,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.272564063356044,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"Delivery.ModeC-Section",0.0603740161973625,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-25.698408482381,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",69.1157203638715,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",82.4466562982538,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-3.83040386947279,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-42.8719330668349,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-38.5210950213696,NA,NA,NA,NA,NA
"edge_209","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",17.8809611223717,NA,NA,NA,NA,NA
"edge_209","ran_pars","cond","patientID","sd__(Intercept)",2.14101233278794e-05,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"(Intercept)",-3.72514577582302,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"Dx.StatusCELIAC",-21.5454607628852,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"onset_timeline_combinedt0-6",-19.3525002859913,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"onset_timeline_combinedt0-12",-30.8952472393392,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"onset_timeline_combinedt0-18",-21.821935660909,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"onset_timeline_combinedt0-24",1.23661085777981,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"onset_timeline_combinedt0-30",1.8339056954673,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"onset_timeline_combinedt0-36",0.852168124714595,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"onset_timeline_combinedt0-over42",-0.171159391887511,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"SexMale",-0.453246411751801,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.00608324431053192,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"HLA.CategoryHigh Risk",1.70850082314488,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"HLA.CategoryLow/No Risk",2.50408467781925,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"feeding_first_yearFormula",-0.122169748369161,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.11763063471023,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"Delivery.ModeC-Section",-2.48982310728212,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-0.293535684626361,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",52.4806120613373,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",-1.24880930325074,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-26.9781259506973,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",20.5180856806883,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-23.7189845751931,NA,NA,NA,NA,NA
"edge_2658","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",22.1239540166512,NA,NA,NA,NA,NA
"edge_2658","ran_pars","cond","patientID","sd__(Intercept)",1.39922632624969,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"(Intercept)",-3.38292399881375,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"Dx.StatusCELIAC",-22.9372500689663,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"onset_timeline_combinedt0-6",-60.9962776867345,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"onset_timeline_combinedt0-12",0.762541451883974,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"onset_timeline_combinedt0-18",3.51420930316301,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"onset_timeline_combinedt0-24",3.42694798147531,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"onset_timeline_combinedt0-30",-50.2695749299779,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"onset_timeline_combinedt0-36",-26.6805602199716,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"onset_timeline_combinedt0-over42",-15.2371250384122,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"SexMale",1.91869364178579,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.285064722392148,NA,NA,NA,NA,NA
"edge_305","fixed","cond",NA,"HLA.CategoryHigh Risk",-1.24056449694539,NA,NA,NA,NA,NA
