"contig_id","gene","timepoint","estimate","std.error","p.value","conf.low","conf.high","model","p.adj","n_tests_gene"
"edge_303","edge_303","t0-30",55.2768157170704,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_303","edge_303","t0-36",-1.9179584427612,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_305","edge_305","t0-6",103.619155151469,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_305","edge_305","t0-12",-28.2885229589575,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_305","edge_305","t0-18",-30.3689384081966,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_305","edge_305","t0-24",-77.055195538806,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_305","edge_305","t0-30",156.134362896138,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_305","edge_305","t0-36",-11.216883589846,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_306","edge_306","t0-6",101.646070247838,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_306","edge_306","t0-12",-26.4807967170658,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_306","edge_306","t0-18",-5.78571495900397,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_306","edge_306","t0-24",-0.774392932027039,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_306","edge_306","t0-30",-5.79794697803974,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_306","edge_306","t0-36",-1.52268003197149,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_311","edge_311","t0-6",32.8501484808368,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_311","edge_311","t0-12",-17.8774463720767,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_311","edge_311","t0-18",-10.7647475009337,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_311","edge_311","t0-24",0.127644626459333,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_311","edge_311","t0-30",52.8849319188555,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_311","edge_311","t0-36",-1.2402873982333,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_48666","edge_48666","t0-6",34.7003105625735,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_48666","edge_48666","t0-12",-19.7352618375552,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_48666","edge_48666","t0-18",-25.1120610516246,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_48666","edge_48666","t0-24",-10.5372125982668,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_48666","edge_48666","t0-30",99.1694648322516,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_48666","edge_48666","t0-36",-6.42047186229223,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_48806","edge_48806","t0-6",-28.6727123587236,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_48806","edge_48806","t0-12",-45.3773424163583,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_48806","edge_48806","t0-18",-14.1496398273849,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_48806","edge_48806","t0-24",0.140141077001058,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_48806","edge_48806","t0-30",-18.8422358328501,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_48806","edge_48806","t0-36",-4.08345538514479,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_957","edge_957","t0-6",-18.0335274957348,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_957","edge_957","t0-12",-3.96263120721173,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_957","edge_957","t0-18",-0.313643691018778,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_957","edge_957","t0-24",-0.211105717077896,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_957","edge_957","t0-30",-1.91058432251862,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_957","edge_957","t0-36",-0.694572553293,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_959","edge_959","t0-6",0.0674471615349445,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_959","edge_959","t0-12",-4.70381591780954,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_959","edge_959","t0-18",-0.306821795485597,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_959","edge_959","t0-24",-0.139604716658332,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_959","edge_959","t0-30",-1.95212379458961,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_959","edge_959","t0-36",-0.9710104767073,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_965","edge_965","t0-6",-41.8965832344963,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_965","edge_965","t0-12",-60.5358477125298,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_965","edge_965","t0-18",0.0408745658830161,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_965","edge_965","t0-24",-0.0374981889341648,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_965","edge_965","t0-30",1.01669537975249,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_965","edge_965","t0-36",2.99691374984975,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_967","edge_967","t0-6",1.6054071388552,NA,NA,NA,NA,"abundance_nbinom",NA,6
"edge_967","edge_967","t0-12",-7.08735290417248,NA,NA,NA,NA,"abundance_nbinom",NA,6
