"effect","component","term","estimate","std.error","statistic","p.value","gene","timepoint","comparison"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-73.9903953336555,NA,NA,NA,"edge_187","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-1256.40340409373,NA,NA,NA,"edge_1980","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-1451.05185723017,NA,NA,NA,"edge_1986","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",22.6270331653054,NA,NA,NA,"edge_2104","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-83.7780802108537,NA,NA,NA,"edge_2381","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-204.07413361309,NA,NA,NA,"edge_263","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-83.7780802108537,NA,NA,NA,"edge_2636","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",742.259414330348,NA,NA,NA,"edge_300","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",41.7032298965329,NA,NA,NA,"edge_303","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",57.3826743943776,NA,NA,NA,"edge_305","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",228.225413032908,NA,NA,NA,"edge_306","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",162.798470357902,NA,NA,NA,"edge_311","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",38.4350925982333,NA,NA,NA,"edge_48666","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-33.5304974008143,NA,NA,NA,"edge_48806","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-338.884652663395,NA,NA,NA,"edge_957","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",75.2947500875443,NA,NA,NA,"edge_959","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-29.7003252100421,NA,NA,NA,"edge_965","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",75.2947500875443,NA,NA,NA,"edge_967","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-8.99408464798776,NA,NA,NA,"virus_comp_10080_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",69.2248729309548,NA,NA,NA,"virus_comp_103_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-1.34892138098259,NA,NA,NA,"virus_comp_105_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-13.6827383564028,NA,NA,NA,"virus_comp_1069_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-3.0733228343316,NA,NA,NA,"virus_comp_10904_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",40.9580167008162,NA,NA,NA,"virus_comp_1105_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-1.87670338228312,NA,NA,NA,"virus_comp_1133_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",7.82630813640123,NA,NA,NA,"virus_comp_1146_cycle_3","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-53.3903343734756,NA,NA,NA,"virus_comp_1147_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",45.294475870109,NA,NA,NA,"virus_comp_12586_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-68.9697575576005,NA,NA,NA,"virus_comp_12691_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",31.8661122745135,NA,NA,NA,"virus_comp_13158_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",168.820236836283,NA,NA,NA,"virus_comp_13180_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-19.8885990940561,NA,NA,NA,"virus_comp_13210_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",89.2092719993614,114156618.234201,7.81463864112912e-07,0.999999376482048,"virus_comp_13432_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",24.7603476355161,NA,NA,NA,"virus_comp_138_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",11.1862618138785,NA,NA,NA,"virus_comp_13909_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",39.3735358202946,NA,NA,NA,"virus_comp_14513_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-126.701425588711,NA,NA,NA,"virus_comp_14666_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",35.0356525710419,NA,NA,NA,"virus_comp_14703_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-4.03670111832608,NA,NA,NA,"virus_comp_15056_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",51.3280539779906,NA,NA,NA,"virus_comp_15100_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",39.5439540450717,NA,NA,NA,"virus_comp_15228_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",30.1703118026838,NA,NA,NA,"virus_comp_1533_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-83.7780802108537,NA,NA,NA,"virus_comp_16041_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-0.963059465896508,NA,NA,NA,"virus_comp_16189_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",48.1597599830777,NA,NA,NA,"virus_comp_16215_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",20.6878486764423,NA,NA,NA,"virus_comp_16477_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",64.6228177683787,NA,NA,NA,"virus_comp_16559_cycle_1","t0-6","CELIAC_vs_CONTROL"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-22.0598233871346,NA,NA,NA,"virus_comp_16586_cycle_1","t0-6","CELIAC_vs_CONTROL"
